uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
70f1570c-c3ac-5a11-ba49-28993939fc72,district,Anirniq Ward,Anirniq Ward,,Erin,Rutherford,representative,Councillor,,,,780-496-8136,erin.rutherford@edmonton.ca,https://www.edmonton.ca/city_government/city_organization/ward-anirniq,https://www.edmonton.ca/sites/default/files/public-files/feature-images/Anirniq-councillor_800x494.jpg,https://www.edmonton.ca/city_government/city_organization/ward-anirniq,2026-06-04,erin-rutherford
00343358-a441-5a4e-a014-2d9037bea275,district,Dene Ward,Dene Ward,,Aaron,Paquette,representative,Councillor,,,,780-496-8138,aaron.paquette@edmonton.ca,https://www.edmonton.ca/city_government/city_organization/ward-dene,https://www.edmonton.ca/sites/default/files/public-files/feature-images/Dene-councillor_800x494.jpg,https://www.edmonton.ca/city_government/city_organization/ward-dene,2026-06-04,aaron-paquette
c5a74579-2012-5710-9f13-0ec68ab314ad,district,Ipiihkoohkanipiaohtsi Ward,Ipiihkoohkanipiaohtsi Ward,,Jon,Morgan,representative,Councillor,,,,780-496-8132,jon.morgan@edmonton.ca,https://www.edmonton.ca/city_government/city_organization/ward-ipiihkoohkanipiaohtsi,https://www.edmonton.ca/sites/default/files/public-files/feature-images/Ipiihkoohkanipiaohtsi-councillor_800x494.jpg,https://www.edmonton.ca/city_government/city_organization/ward-ipiihkoohkanipiaohtsi,2026-06-04,jon-morgan
b7f51f89-46a1-5398-9fca-ded59c76e724,district,Karhiio Ward,Karhiio Ward,,Keren,Tang,representative,Councillor,,,,780-496-8142,keren.tang@edmonton.ca,https://www.edmonton.ca/city_government/city_organization/ward-karhiio,https://www.edmonton.ca/sites/default/files/public-files/feature-images/Karhiio-councillor_800x494.jpg,https://www.edmonton.ca/city_government/city_organization/ward-karhiio,2026-06-04,keren-tang
3f9fcacd-6c06-50a4-a19f-0967e04ae4cb,district,Métis Ward,Métis Ward,,Ashley,Salvador,representative,Councillor,,,,780-496-8140,ashley.salvador@edmonton.ca,https://www.edmonton.ca/city_government/city_organization/ward-metis,https://www.edmonton.ca/sites/default/files/public-files/feature-images/M%C3%A9tis-councillor_800x494.jpg,https://www.edmonton.ca/city_government/city_organization/ward-metis,2026-06-04,ashley-salvador
9a6b8f7e-b45d-50d8-a6c7-3eca7d3d34cb,district,Nakota Isga Ward,Nakota Isga Ward,,Reed,Clarke,representative,Councillor,,,,780-496-8122,reed.clarke@edmonton.ca,https://www.edmonton.ca/city_government/city_organization/ward-nakota-isga,https://www.edmonton.ca/sites/default/files/public-files/feature-images/Nakota-Isga-councillor_800x494.jpg,https://www.edmonton.ca/city_government/city_organization/ward-nakota-isga,2026-06-04,reed-clarke
4d2dfdd7-7b42-56c2-a027-996ea0744331,district,O-day'min Ward,O-day'min Ward,,Anne,Stevenson,representative,Councillor,,,,780-496-8333,anne.stevenson@edmonton.ca,https://www.edmonton.ca/city_government/city_organization/ward-o-daymin,https://www.edmonton.ca/sites/default/files/public-files/feature-images/O-day%E2%80%99min-councillor_800x494.jpg,https://www.edmonton.ca/city_government/city_organization/ward-o-daymin,2026-06-04,anne-stevenson
9533d11a-1472-5d4c-8649-481bb001f38a,district,papastew Ward,papastew Ward,,Michael,Janz,representative,Councillor,,,,780-496-8146,michael.janz@edmonton.ca,https://www.edmonton.ca/city_government/city_organization/ward-papastew,https://www.edmonton.ca/sites/default/files/public-files/feature-images/papastew-councillor_800x494.jpg,https://www.edmonton.ca/city_government/city_organization/ward-papastew,2026-06-04,michael-janz
28668ab4-939f-534d-a11c-1851329edb8e,district,pihêsiwin Ward,pihêsiwin Ward,,Mike,Elliott,representative,Councillor,,,,780-496-8130,mike.elliott@edmonton.ca,https://www.edmonton.ca/city_government/city_organization/ward-pihesiwin,https://www.edmonton.ca/sites/default/files/public-files/feature-images/pih%C3%AAsiwin-councillor_800x494.jpg,https://www.edmonton.ca/city_government/city_organization/ward-pihesiwin,2026-06-04,mike-elliott
1ae6ef06-9862-5e56-a6db-ade7f3ee6e60,district,sipiwiyiniwak Ward,sipiwiyiniwak Ward,,Thu,Parmar,representative,Councillor,,,,780-496-8120,thu.parmar@edmonton.ca,https://www.edmonton.ca/city_government/city_organization/ward-sipiwiyiniwak,https://www.edmonton.ca/sites/default/files/public-files/feature-images/sipiwiyiniwak-councillor_800x494.jpg,https://www.edmonton.ca/city_government/city_organization/ward-sipiwiyiniwak,2026-06-04,thu-parmar
