uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
cf6971f0-076e-5114-a14e-113a286f95f9,district,Abbotsford South,Abbotsford South,Mr.,Bruce,Banman,representative,Member of the Legislative Assembly,Conservative Party of British Columbia,,,604-744-0700,Bruce.Banman.MLA@leg.bc.ca,https://www.leg.bc.ca/members/profile/Bruce-Banman,https://lims.leg.bc.ca/public/images/mla-headshots/42/medium/banman-bruce.jpg,https://www.leg.bc.ca/members,2026-05-29,bruce-banman
9d494f05-5b6d-513e-98be-5e750803923d,district,Abbotsford West,Abbotsford West,Mr.,Korky,Neufeld,representative,Member of the Legislative Assembly,Conservative Party of British Columbia,,,,Korky.Neufeld.MLA@leg.bc.ca,https://www.leg.bc.ca/members/profile/Korky-Neufeld,https://lims.leg.bc.ca/public/images/mla-headshots/43/medium/neufeld-korky.jpg,https://www.leg.bc.ca/members,2026-05-29,korky-neufeld
aa4fbe1c-fff4-5e87-9278-bd1bde8ab37d,district,Abbotsford-Mission,Abbotsford-Mission,,Reann,Gasper,representative,Member of the Legislative Assembly,Conservative Party of British Columbia,,,,Reann.Gasper.MLA@leg.bc.ca,https://www.leg.bc.ca/members/profile/Reann-Gasper,https://lims.leg.bc.ca/public/images/mla-headshots/43/medium/gasper-reann.jpg,https://www.leg.bc.ca/members,2026-05-29,reann-gasper
a885aca0-d391-5a56-b8c8-5fb00684a7c2,district,Boundary-Similkameen,Boundary-Similkameen,Ms.,Donegal,Wilson,representative,Member of the Legislative Assembly,Conservative Party of British Columbia,,,,Donegal.Wilson.MLA@leg.bc.ca,https://www.leg.bc.ca/members/profile/Donegal-Wilson,https://lims.leg.bc.ca/public/images/mla-headshots/43/medium/wilson-donegal.jpg,https://www.leg.bc.ca/members,2026-05-29,donegal-wilson
76318f83-5d12-532e-af34-892f0c7eb500,district,Bulkley Valley-Stikine,Bulkley Valley-Stikine,Ms.,Sharon,Hartwell,representative,Member of the Legislative Assembly,Conservative Party of British Columbia,,,778-640-1116,Sharon.Hartwell.MLA@leg.bc.ca,https://www.leg.bc.ca/members/profile/Sharon-Hartwell,https://lims.leg.bc.ca/public/images/mla-headshots/43/medium/hartwell-sharon.jpg,https://www.leg.bc.ca/members,2026-05-29,sharon-hartwell
f38228c0-95fb-5893-ba3b-da4d9b40152f,district,Burnaby Centre,Burnaby Centre,Ms.,Anne,Kang,representative,Member of the Legislative Assembly,BC NDP,,,,Anne.Kang.MLA@leg.bc.ca,https://www.leg.bc.ca/members/profile/Anne-Kang,https://lims.leg.bc.ca/public/images/mla-headshots/42/medium/kang-anne.jpg,https://www.leg.bc.ca/members,2026-05-29,anne-kang
a5beca4a-9c58-55d0-86fd-9b88a5b538fe,district,Burnaby East,Burnaby East,Mrs.,Rohini,Arora,representative,Member of the Legislative Assembly,BC NDP,,,,Rohini.Arora.MLA@leg.bc.ca,https://www.leg.bc.ca/members/profile/Rohini-Arora,https://lims.leg.bc.ca/public/images/mla-headshots/43/medium/arora-rohini.jpg,https://www.leg.bc.ca/members,2026-05-29,rohini-arora
d41daecf-07ac-52d1-8a95-2828cb3309eb,district,Burnaby North,Burnaby North,Ms.,Janet,Routledge,representative,Member of the Legislative Assembly,BC NDP,,,604-775-0778,Janet.Routledge.mla@leg.bc.ca,https://www.leg.bc.ca/members/profile/Janet-Routledge,https://lims.leg.bc.ca/public/images/mla-headshots/42/medium/routledge-janet.jpg,https://www.leg.bc.ca/members,2026-05-29,janet-routledge
e5fa4008-5a40-5f46-a29a-9d30ab9110e1,district,Burnaby South-Metrotown,Burnaby South-Metrotown,Mr.,Paul,Choi,representative,Member of the Legislative Assembly,BC NDP,,,604-660-0855,Paul.Choi.MLA@leg.bc.ca,https://www.leg.bc.ca/members/profile/Paul-Choi,https://lims.leg.bc.ca/public/images/mla-headshots/43/medium/choi-paul.jpg,https://www.leg.bc.ca/members,2026-05-29,paul-choi
97f16f2b-5350-5eb1-b5b3-86adcc00d40d,district,Burnaby-New Westminster,Burnaby-New Westminster,Mr.,Raj,Chouhan,representative,Member of the Legislative Assembly,BC NDP,,,604-660-7301,Raj.Chouhan.MLA@leg.bc.ca,https://www.leg.bc.ca/members/profile/Raj-Chouhan,https://lims.leg.bc.ca/public/images/mla-headshots/42/medium/chouhan-raj.jpg,https://www.leg.bc.ca/members,2026-05-29,raj-chouhan
151d6197-fadd-5a09-8285-e760114f791f,district,Cariboo-Chilcotin,Cariboo-Chilcotin,Mr.,Lorne,Doerkson,representative,Member of the Legislative Assembly,Conservative Party of British Columbia,,,,Lorne.Doerkson.MLA@leg.bc.ca,https://www.leg.bc.ca/members/profile/Lorne-Doerkson,https://lims.leg.bc.ca/public/images/mla-headshots/42/medium/doerkson-lorne.jpg,https://www.leg.bc.ca/members,2026-05-29,lorne-doerkson
55e2d06e-0f3d-56f5-9f10-a7403d202d2e,district,Chilliwack North,Chilliwack North,Ms.,Heather,Maahs,representative,Member of the Legislative Assembly,Conservative Party of British Columbia,,,,Heather.Maahs.MLA@leg.bc.ca,https://www.leg.bc.ca/members/profile/Heather-Maahs,https://lims.leg.bc.ca/public/images/mla-headshots/43/medium/maahs-heather.jpg,https://www.leg.bc.ca/members,2026-05-29,heather-maahs
