uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
902604d2-b538-510e-963a-894f4b935180,district,CITY LINE,City of Vancouver,,Rebecca,Bligh,representative,City Councillor,,2022-10-15,2026-10-17,604-873-7249,CLRbligh@vancouver.ca,https://vancouver.ca/your-government/rebecca-bligh.aspx,https://web.archive.org/web/20260213000517im_/https://vancouver.ca/images/cov/content/vancouver-city-councillor-rebecca-bligh-290x227.jpg,https://vancouver.ca/your-government/rebecca-bligh.aspx,2026-05-31,rebecca-bligh
be87fddf-803d-5601-919e-518947da3ba8,district,CITY LINE,City of Vancouver,,Lisa,Dominato,representative,City Councillor,,2022-10-15,2026-10-17,604-873-7248,CLRdominato@vancouver.ca,https://vancouver.ca/your-government/lisa-dominato.aspx,https://web.archive.org/web/20260213174312im_/https://vancouver.ca/images/cov/content/vancouver-city-councillor-lisa-dominato-290x227.jpg,https://vancouver.ca/your-government/lisa-dominato.aspx,2026-05-31,lisa-dominato
83274fb9-02d9-5735-8db2-ced0c28ec53e,district,CITY LINE,City of Vancouver,,Pete,Fry,representative,City Councillor,,2022-10-15,2026-10-17,604-873-7246,CLRfry@vancouver.ca,https://vancouver.ca/your-government/pete-fry.aspx,https://web.archive.org/web/20260210133147im_/https://vancouver.ca/images/cov/content/councillor-pete-fry-2018.jpg,https://vancouver.ca/your-government/pete-fry.aspx,2026-05-31,pete-fry
777cb08e-ef2a-5044-82c8-54d11863bfd3,district,CITY LINE,City of Vancouver,,Sarah,Kirby-Yung,representative,City Councillor,,2022-10-15,2026-10-17,604-873-7247,CLRkirby-yung@vancouver.ca,https://vancouver.ca/your-government/sarah-kirby-yung.aspx,https://web.archive.org/web/20260210130015im_/https://vancouver.ca/images/cov/content/vancouver-city-councillor-sarah-kirby-yung-290x227.jpg,https://vancouver.ca/your-government/sarah-kirby-yung.aspx,2026-05-31,sarah-kirby-yung
864bdba7-cbf5-560a-b9cf-b0113809102f,district,CITY LINE,City of Vancouver,,Mike,Klassen,representative,City Councillor,,2022-10-15,2026-10-17,604-873-7240,CLRklassen@vancouver.ca,https://vancouver.ca/your-government/mike-klassen.aspx,https://web.archive.org/web/20260213161801im_/https://vancouver.ca/images/cov/content/vancouver-city-councillor-mike-klassen-290x227.jpg,https://vancouver.ca/your-government/mike-klassen.aspx,2026-05-31,mike-klassen
c8f397a3-2737-5345-a3fa-0894c75befaa,district,CITY LINE,City of Vancouver,,Lucy,Maloney,representative,City Councillor,,2022-10-15,2026-10-17,604-873-7000,CLRmaloney@vancouver.ca,https://vancouver.ca/your-government/lucy-maloney.aspx,https://web.archive.org/web/20260215215127im_/https://vancouver.ca/images/cov/content/lucy-maloney-headshot-transparent-background.png,https://vancouver.ca/your-government/lucy-maloney.aspx,2026-05-31,lucy-maloney
b14376b0-303b-57fc-a6be-8cf26e40534e,district,CITY LINE,City of Vancouver,,Peter,Meiszner,representative,City Councillor,,2022-10-15,2026-10-17,604-873-7000,CLRmeiszner@vancouver.ca,https://vancouver.ca/your-government/peter-meiszner.aspx,https://web.archive.org/web/20260114173014im_/https://vancouver.ca/images/cov/content/vancouver-city-councillor-peter-meiszner-290x227.jpg,https://vancouver.ca/your-government/peter-meiszner.aspx,2026-05-31,peter-meiszner
d8ebfade-19a2-5c46-83c2-12c00b73e018,district,CITY LINE,City of Vancouver,,Brian,Montague,representative,City Councillor,,2022-10-15,2026-10-17,604-873-7000,CLRmontague@vancouver.ca,https://vancouver.ca/your-government/brian-montague.aspx,https://web.archive.org/web/20260219044811im_/https://vancouver.ca/images/cov/content/vancouver-city-councillor-brian-montague-290x227.jpg,https://vancouver.ca/your-government/brian-montague.aspx,2026-05-31,brian-montague
423b0807-b10c-536e-be5f-70a04856b69c,district,CITY LINE,City of Vancouver,,Sean,Orr,representative,City Councillor,,2022-10-15,2026-10-17,604-873-7242,CLRorr@vancouver.ca,https://vancouver.ca/your-government/sean-orr.aspx,https://web.archive.org/web/20260214133610im_/https://vancouver.ca/images/cov/content/sean-orr-headshot-transparent-background.png,https://vancouver.ca/your-government/sean-orr.aspx,2026-05-31,sean-orr
67d8c00d-924a-510b-a850-5863db670f3c,district,CITY LINE,City of Vancouver,,Lenny,Zhou,representative,City Councillor,,2022-10-15,2026-10-17,604-873-7241,CLRzhou@vancouver.ca,https://vancouver.ca/your-government/lenny-zhou.aspx,https://web.archive.org/web/20260211122515im_/https://vancouver.ca/images/cov/content/vancouver-city-councillor-lenny-zhou-290x227.jpg,https://vancouver.ca/your-government/lenny-zhou.aspx,2026-05-31,lenny-zhou
