uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
3d83f4c9-77e1-5698-8655-2b6bd9396bfc,district,Edmonton Manning,Edmonton Manning,,Ziad,Aboultaif,representative,Member of Parliament,Conservative,2025-04-28,,613-992-0946,ziad.aboultaif@parl.gc.ca,https://www.ourcommons.ca/Members/en/ziad-aboultaif(89156),https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/45/AboultaifZiad_CPC.jpg,https://www.ourcommons.ca/Members/en/ziad-aboultaif(89156),2026-05-28,ziad-aboultaif
f1287d33-fd15-5a6e-a59f-573ccacc6b6e,district,Oakville West,Oakville West,,Sima,Acan,representative,Member of Parliament,Liberal,2025-04-28,,613-992-1338,sima.acan@parl.gc.ca,https://www.ourcommons.ca/Members/en/sima-acan(123092),https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/45/AcanSima_Lib.jpg,https://www.ourcommons.ca/Members/en/sima-acan(123092),2026-05-28,sima-acan
a6626900-5ab1-530b-8587-85cd32935e83,district,Parry Sound—Muskoka,Parry Sound—Muskoka,,Scott,Aitchison,representative,Member of Parliament,Conservative,2025-04-28,,613-944-7740,Scott.Aitchison@parl.gc.ca,https://www.ourcommons.ca/Members/en/scott-aitchison(105340),https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/45/AitchisonScott_CPC.jpg,https://www.ourcommons.ca/Members/en/scott-aitchison(105340),2026-05-28,scott-aitchison
2c3901fc-122b-52dd-8133-36108d4764b4,district,Mississauga Centre,Mississauga Centre,,Fares,Al Soud,representative,Member of Parliament,Liberal,2025-04-28,,613-992-1301,fares.alsoud@parl.gc.ca,https://www.ourcommons.ca/Members/en/fares-al-soud(123033),https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/45/AlSoudFares_Lib.jpg,https://www.ourcommons.ca/Members/en/fares-al-soud(123033),2026-05-28,fares-al-soud
8e4ccef9-9b7f-56db-86ee-ce1e41df2d98,district,Okanagan Lake West—South Kelowna,Okanagan Lake West—South Kelowna,,Dan,Albas,representative,Member of Parliament,Conservative,2025-04-28,,613-995-1702,dan.albas@parl.gc.ca,https://www.ourcommons.ca/Members/en/dan-albas(72029),https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/AlbasDan_CPC.jpg,https://www.ourcommons.ca/Members/en/dan-albas(72029),2026-05-28,dan-albas
ef5fe151-db73-5d17-b908-c846dad2bc8b,district,Brampton—Chinguacousy Park,Brampton—Chinguacousy Park,Hon.,Shafqat,Ali,representative,Member of Parliament,Liberal,2025-04-28,,613-992-9105,shafqat.ali@parl.gc.ca,https://www.ourcommons.ca/Members/en/shafqat-ali(110339),https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/45/AliShafqat_Lib.jpg,https://www.ourcommons.ca/Members/en/shafqat-ali(110339),2026-05-28,shafqat-ali
9a6b2d0a-48db-5fb6-ab06-a703ed5eee4a,district,Niagara West,Niagara West,,Dean,Allison,representative,Member of Parliament,Conservative,2025-04-28,,613-995-2772,dean.allison@parl.gc.ca,https://www.ourcommons.ca/Members/en/dean-allison(25446),https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/45/AllisonDean_CPC.jpg,https://www.ourcommons.ca/Members/en/dean-allison(25446),2026-05-28,dean-allison
7ea07a01-6276-5658-8894-9afda287ab8e,district,Northwest Territories,Northwest Territories,Hon.,Rebecca,Alty,representative,Member of Parliament,Liberal,2025-04-28,,613-992-4587,rebecca.alty@parl.gc.ca,https://www.ourcommons.ca/Members/en/rebecca-alty(123675),https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/45/AltyRebecca_Lib.jpg,https://www.ourcommons.ca/Members/en/rebecca-alty(123675),2026-05-28,rebecca-alty
3223566c-6d6a-5314-860a-56f953423687,district,Oakville East,Oakville East,Hon.,Anita,Anand,representative,Member of Parliament,Liberal,2025-04-28,,613-995-4014,Anita.Anand@parl.gc.ca,https://www.ourcommons.ca/Members/en/anita-anand(96081),https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/45/AnandAnita_Lib.jpg,https://www.ourcommons.ca/Members/en/anita-anand(96081),2026-05-28,anita-anand
921924e4-b191-5f64-a3ad-06a448d99bce,district,Scarborough—Guildwood—Rouge Park,Scarborough—Guildwood—Rouge Park,Hon.,Gary,Anandasangaree,representative,Member of Parliament,Liberal,2025-04-28,,613-992-1351,gary.anand@parl.gc.ca,https://www.ourcommons.ca/Members/en/gary-anandasangaree(89449),https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/45/AnandasangareeGary_Lib.jpg,https://www.ourcommons.ca/Members/en/gary-anandasangaree(89449),2026-05-28,gary-anandasangaree
