uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
8c4ea94c-63df-5905-991f-5b8754a16938,role,,,,Jeff,Fawcett,executive,Mayor,,2022-10-26,2026-10-28,204-729-2202,mayor@brandon.ca,https://www.brandon.ca/city-hall/mayor-and-council/meet-the-mayor-and-councillors/the-mayor/,,https://www.brandon.ca/city-hall/mayor-and-council/meet-the-mayor-and-councillors/,2026-06-26,jeff-fawcett
583dfd4a-66a7-5899-af6f-48ab78c3fc2b,district,1,Assiniboine,,Heather,Karrouze,representative,Councillor,,2022-10-26,2026-10-28,,ward1@brandon.ca,https://www.brandon.ca/city-hall/mayor-and-council/meet-the-mayor-and-councillors/councillor-ward-1/,,https://www.brandon.ca/city-hall/mayor-and-council/meet-the-mayor-and-councillors/,2026-06-26,heather-karrouze
a27f08df-36c6-579c-82bc-5e6ef1d3f481,district,2,Rosser,,Kris,Desjarlais,representative,Councillor,,2022-10-26,2026-10-28,204-573-5717,ward2@brandon.ca,https://www.brandon.ca/city-hall/mayor-and-council/meet-the-mayor-and-councillors/councillor-ward-2/,,https://www.brandon.ca/city-hall/mayor-and-council/meet-the-mayor-and-councillors/,2026-06-26,kris-desjarlais
8bb27f36-c1c1-5359-b1ee-e28c900ad7fe,district,3,Victoria,,Barry,Cullen,representative,Councillor,,2022-10-26,2026-10-28,204-728-8156,ward3@brandon.ca,https://www.brandon.ca/city-hall/mayor-and-council/meet-the-mayor-and-councillors/councillor-ward-3/,,https://www.brandon.ca/city-hall/mayor-and-council/meet-the-mayor-and-councillors/,2026-06-26,barry-cullen
9f052bf6-e372-577f-988d-7f0654bdc353,district,4,University,,Shaun,Cameron,representative,Councillor,,2022-10-26,2026-10-28,204-724-0334,ward4@brandon.ca,https://www.brandon.ca/city-hall/mayor-and-council/meet-the-mayor-and-councillors/councillor-ward-4/,,https://www.brandon.ca/city-hall/mayor-and-council/meet-the-mayor-and-councillors/,2026-06-26,shaun-cameron
1f9ac160-0ee8-5298-9a6d-c989a82a5fd8,district,5,Meadows - Waverly,,Greg,Hildebrand,representative,Councillor,,2022-10-26,2026-10-28,204-720-0937,ward5@brandon.ca,https://www.brandon.ca/city-hall/mayor-and-council/meet-the-mayor-and-councillors/councillor-ward-5/,,https://www.brandon.ca/city-hall/mayor-and-council/meet-the-mayor-and-councillors/,2026-06-26,greg-hildebrand
753bd97b-6b2c-5245-8b12-e8a78f70ca3e,district,6,South Centre,,Bruce,Luebke,representative,Councillor,,2022-10-26,2026-10-28,204-730-2142,ward6@brandon.ca,https://www.brandon.ca/city-hall/mayor-and-council/meet-the-mayor-and-councillors/councillor-ward-6/,,https://www.brandon.ca/city-hall/mayor-and-council/meet-the-mayor-and-councillors/,2026-06-26,bruce-luebke
98bd719d-e238-5a20-8fc1-d0a99116890c,district,7,Linden Lanes,,Shawn,Berry,representative,Councillor,,2022-10-26,2026-10-28,204-725-3480,ward7@brandon.ca,https://www.brandon.ca/city-hall/mayor-and-council/meet-the-mayor-and-councillors/councillor-ward-7/,,https://www.brandon.ca/city-hall/mayor-and-council/meet-the-mayor-and-councillors/,2026-06-26,shawn-berry
08a28562-264f-5731-b85a-cf935f440191,district,8,Richmond,,Jason,Splett,representative,Councillor,,2022-10-26,2026-10-28,,ward8@brandon.ca,https://www.brandon.ca/city-hall/mayor-and-council/meet-the-mayor-and-councillors/councillor-ward-8/,,https://www.brandon.ca/city-hall/mayor-and-council/meet-the-mayor-and-councillors/,2026-06-26,jason-splett
03212954-ba24-5a26-aa1c-955814267c1f,district,9,Riverview,,Glen,Parker,representative,Councillor,,2022-10-26,2026-10-28,204-727-4161,ward9@brandon.ca,https://www.brandon.ca/city-hall/mayor-and-council/meet-the-mayor-and-councillors/councillor-ward-9/,,https://www.brandon.ca/city-hall/mayor-and-council/meet-the-mayor-and-councillors/,2026-06-26,glen-parker
08a0bf6a-2562-5e15-a433-d28c56bbe142,district,10,Green Acres,,Tyson,Tame,representative,Councillor,,2022-10-26,2026-10-28,204-570-3378,ward10@brandon.ca,https://www.brandon.ca/city-hall/mayor-and-council/meet-the-mayor-and-councillors/councillor-ward-10/,,https://www.brandon.ca/city-hall/mayor-and-council/meet-the-mayor-and-councillors/,2026-06-26,tyson-tame
