uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
95efc04a-b02c-50c5-bdda-c1c5f5e00b76,district,Albert-Riverview,Albert-Riverview,,Sherry,Wilson,representative,Member of the Legislative Assembly,Progressive Conservative Party,2024-10-21,,506-382-6567,Sherry.Wilson@legnb.ca,https://www.legnb.ca/en/members/current/33/wilson-sherry,https://www.legnb.ca/content/members/portraits/61-1/Sherry_Wilson_lg.jpg,https://www.legnb.ca/en/members/current/33/wilson-sherry,2026-06-06,sherry-wilson
94d83974-40e9-582a-a694-f75000d7a470,district,Arcadia-Butternut Valley-Maple Hills,Arcadia-Butternut Valley-Maple Hills,,Don,Monahan,representative,Member of the Legislative Assembly,Progressive Conservative Party,2024-10-21,,506-300-5333,Don.Monahan@legnb.ca,https://www.legnb.ca/en/members/current/198/monahan-don,https://www.legnb.ca/content/members/portraits/61-1/Don_Monahan_lg.jpg,https://www.legnb.ca/en/members/current/198/monahan-don,2026-06-06,don-monahan
3a3bfac6-5796-5502-9384-869003d0ffc4,district,Bathurst,Bathurst,Hon.,René,Legacy,representative,Member of the Legislative Assembly,Liberal Party,2024-10-21,,506-549-5329,,https://www.legnb.ca/en/members/current/157/legacy-rene,https://www.legnb.ca/content/members/portraits/61-1/RENE_LEGACY_lg.jpg,https://www.legnb.ca/en/members/current/157/legacy-rene,2026-06-06,rene-legacy
5e67e64a-5dab-5a38-9790-e215c265305c,district,Beausoleil-Grand-Bouctouche-Kent,Beausoleil-Grand-Bouctouche-Kent,,Benoît,Bourque,representative,Member of the Legislative Assembly,Liberal Party,2024-10-21,,506-743-0335,Benoit.Bourque@legnb.ca,https://www.legnb.ca/en/members/current/23/bourque-benoit,https://www.legnb.ca/content/members/portraits/61-1/Benoit_Bourque_lg.jpg,https://www.legnb.ca/en/members/current/23/bourque-benoit,2026-06-06,benoit-bourque
c6b2d948-2bbe-5c58-8834-5410ee0fdd2c,district,Belle-Baie-Belledune,Belle-Baie-Belledune,,Marco,LeBlanc,representative,Member of the Legislative Assembly,Liberal Party,2024-10-21,,506-252-5258,Marco.LeBlanc@legnb.ca,https://www.legnb.ca/en/members/current/180/leblanc-marco,https://www.legnb.ca/content/members/portraits/61-1/Marco_LeBlanc_lg.jpg,https://www.legnb.ca/en/members/current/180/leblanc-marco,2026-06-06,marco-leblanc
fd2923cc-4f41-5204-b653-f5bc46ee8d05,district,Caraquet,Caraquet,Hon.,Isabelle,Thériault,representative,Member of the Legislative Assembly,Liberal Party,2024-10-21,,506-724-1041,Isabelle.Theriault@gnb.ca,https://www.legnb.ca/en/members/current/5/theriault-isabelle,https://www.legnb.ca/content/members/portraits/61-1/Isabelle_Theriault_lg.jpg,https://www.legnb.ca/en/members/current/5/theriault-isabelle,2026-06-06,isabelle-theriault
6a372876-313e-5fb9-ae04-acbaf57e252e,district,Carleton-Victoria,Carleton-Victoria,,Margaret,Johnson,representative,Member of the Legislative Assembly,Progressive Conservative Party,2024-10-21,,506-276-4045,Margaret.Johnson@legnb.ca,https://www.legnb.ca/en/members/current/167/johnson-margaret,https://www.legnb.ca/content/members/portraits/61-1/Margaret_Johnson_lg.jpg,https://www.legnb.ca/en/members/current/167/johnson-margaret,2026-06-06,margaret-johnson
20a2c03c-16e4-5a37-b909-f2443c164271,district,Carleton-York,Carleton-York,,Richard,Ames,representative,Member of the Legislative Assembly,Progressive Conservative Party,2024-10-21,,506-575-6088,Richard.Ames@legnb.ca,https://www.legnb.ca/en/members/current/165/ames-richard,https://www.legnb.ca/content/members/portraits/61-1/Richard_Ames_lg.jpg,https://www.legnb.ca/en/members/current/165/ames-richard,2026-06-06,richard-ames
9e00e4aa-9dca-52e1-9b90-936ebb7c318b,district,Champdoré-Irishtown,Champdoré-Irishtown,Hon.,Lyne Chantal,Boudreau,representative,Member of the Legislative Assembly,Liberal Party,2024-10-21,,506-889-2572,LyneChantal.Boudreau@gnb.ca,https://www.legnb.ca/en/members/current/208/boudreau-lyne-chantal,https://www.legnb.ca/content/members/portraits/61-1/Lyne_Chantal_Boudreau_lg.jpg,https://www.legnb.ca/en/members/current/208/boudreau-lyne-chantal,2026-06-06,lyne-chantal-boudreau
57e7a11a-b1e1-5c24-b140-cdb3df620d29,district,Dieppe-Memramcook,Dieppe-Memramcook,,Natacha,Vautour,representative,Member of the Legislative Assembly,Liberal Party,2024-10-21,,506-869-7000,Natacha.Vautour@legnb.ca,https://www.legnb.ca/en/members/current/193/vautour-natacha,https://www.legnb.ca/content/members/portraits/61-1/Natacha_Vautour_sm.jpg,https://www.legnb.ca/en/members/current/193/vautour-natacha,2026-06-06,natacha-vautour
a34bf20c-9e93-562b-ae17-752498dc4493,district,Edmundston-Vallée-des-Rivières,Edmundston-Vallée-des-Rivières,Hon.,Jean-Claude,D'Amours,representative,Member of the Legislative Assembly,Liberal Party,2024-10-21,,506-838-1031,Jean-Claude.D'Amours@gnb.ca,https://www.legnb.ca/en/members/current/9/damours-jean-claude,https://www.legnb.ca/content/members/portraits/61-1/JC_DAmours_lg.jpg,https://www.legnb.ca/en/members/current/9/damours-jean-claude,2026-06-06,jean-claude-damours
81231e0e-5bf5-526a-91aa-c37ad9d8d083,district,Fredericton Lincoln,Fredericton Lincoln,,David,Coon,representative,Member of the Legislative Assembly,Green Party,2024-10-21,,506-455-0936,David.Coon@legnb.ca,https://www.legnb.ca/en/members/current/14/coon-david,https://www.legnb.ca/content/members/portraits/61-1/David_Coon_lg.jpg,https://www.legnb.ca/en/members/current/14/coon-david,2026-06-06,david-coon
574d96b5-c736-5077-946c-f6b8b1fc4411,district,Fredericton North,Fredericton North,Hon.,Luke,Randall,representative,Member of the Legislative Assembly,Liberal Party,2024-10-21,,506-260-6326,Luke.Randall@gnb.ca,https://www.legnb.ca/en/members/current/206/randall-luke,https://www.legnb.ca/content/members/portraits/61-1/Luke_Randall_lg.jpg,https://www.legnb.ca/en/members/current/206/randall-luke,2026-06-06,luke-randall
08298086-bfb6-5e19-ad95-9a77e054c917,district,Fredericton South-Silverwood,Fredericton South-Silverwood,Hon.,Susan,Holt,representative,Member of the Legislative Assembly,Liberal Party,2024-10-21,,506-259-5700,Susan.Holt@gnb.ca,https://www.legnb.ca/en/members/current/182/holt-susan,https://www.legnb.ca/content/members/portraits/61-1/Susan_Holt__sm.jpg,https://www.legnb.ca/en/members/current/182/holt-susan,2026-06-06,susan-holt
a77be744-d61a-59f7-bdba-52772b74af0d,district,Fredericton-Grand Lake,Fredericton-Grand Lake,,Kris,Austin,representative,Member of the Legislative Assembly,Progressive Conservative Party,2024-10-21,,506-440-9542,Kris.Austin@legnb.ca,https://www.legnb.ca/en/members/current/16/austin-kris,https://www.legnb.ca/content/members/portraits/61-1/Kris_Austin_lg.jpg,https://www.legnb.ca/en/members/current/16/austin-kris,2026-06-06,kris-austin
6fa30c9b-decd-56af-8c38-b0d14e0d6e9d,district,Fredericton-York,Fredericton-York,,Ryan,Cullins,representative,Member of the Legislative Assembly,Progressive Conservative Party,2024-10-21,,506-444-3952,Ryan.Cullins@legnb.ca,https://www.legnb.ca/en/members/current/164/cullins-ryan,https://www.legnb.ca/content/members/portraits/61-1/Ryan_Cullins_sm.jpg,https://www.legnb.ca/en/members/current/164/cullins-ryan,2026-06-06,ryan-cullins
221f6d5e-2aca-551b-9967-4cd8f3389b19,district,Fundy-The Isles-Saint John Lorneville,Fundy-The Isles-Saint John Lorneville,,Ian,Lee,representative,Member of the Legislative Assembly,Progressive Conservative Party,2024-10-21,,506-755-4149,Ian.Lee@legnb.ca,https://www.legnb.ca/en/members/current/205/lee-ian,https://www.legnb.ca/content/members/portraits/61-1/Ian_Lee_sm.jpg,https://www.legnb.ca/en/members/current/205/lee-ian,2026-06-06,ian-lee
e872c268-4fe4-5695-94b0-d2da53b138e0,district,Grand Falls-Vallée-des-Rivières-Saint-Quentin,Grand Falls-Vallée-des-Rivières-Saint-Quentin,Hon.,Chuck,Chiasson,representative,Member of the Legislative Assembly,Liberal Party,2024-10-21,,506-475-1124,Chuck.Chiasson@gnb.ca,https://www.legnb.ca/en/members/current/11/chiasson-chuck,https://www.legnb.ca/content/members/portraits/61-1/Chuck_Chiasson_lg.jpg,https://www.legnb.ca/en/members/current/11/chiasson-chuck,2026-06-06,chuck-chiasson
f3575695-b0bf-5635-960a-97de15e22ff1,district,Hampton-Fundy-St. Martins,Hampton-Fundy-St. Martins,Hon.,John,Herron,representative,Member of the Legislative Assembly,Liberal Party,2024-10-21,,,John.Herron@gnb.ca,https://www.legnb.ca/en/members/current/199/herron-john,https://www.legnb.ca/content/members/portraits/61-1/john_herron_lg.jpg,https://www.legnb.ca/en/members/current/199/herron-john,2026-06-06,john-herron
573055bc-8435-5cd2-8f6e-ab26cc23125b,district,Hanwell-New Maryland,Hanwell-New Maryland,Hon.,Cindy,Miles,representative,Member of the Legislative Assembly,Liberal Party,2024-10-21,,506-462-5524,Cindy.Miles@gnb.ca,https://www.legnb.ca/en/members/current/207/miles-cindy,https://www.legnb.ca/content/members/portraits/61-1/Cindy_Miles_sm.jpg,https://www.legnb.ca/en/members/current/207/miles-cindy,2026-06-06,cindy-miles
