uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
4edf645f-3af0-5411-b3c7-fd2232bb39e0,district,Ward 1,Ward 1,,Diane,Bélanger-Nadeau,representative,Councillor,,2026-05-11,,,diane.belanger-nadeau@edmundston.ca,https://edmundston.ca/en/city-hall/city-council,https://edmundston.ca/application/files/thumbnails/carre/9617/8058/3875/MambreConseil_diane-belanger-nadeau-2026.png,https://edmundston.ca/en/city-hall/city-council,2026-06-12,diane-belanger-nadeau
61e42756-a7b4-50ee-95b6-b44fdc7fd948,district,Ward 1,Ward 1,,Sylvie,St-Onge Morneau,representative,Councillor,,2026-05-11,,,sylvie.stonge-morneau@edmundston.ca,https://edmundston.ca/en/city-hall/city-council,https://edmundston.ca/application/files/thumbnails/carre/6217/8058/3614/MambreConseil_sylvie-st-onge-morneau-2026.png,https://edmundston.ca/en/city-hall/city-council,2026-06-12,sylvie-st-onge-morneau
98ddf8e7-f883-5d0f-80ed-654a37ef9005,district,Ward 1,Ward 1,,Gilles,Duval,representative,Councillor,,2026-05-11,,,gilles.duval@edmundston.ca,https://edmundston.ca/en/city-hall/city-council,https://edmundston.ca/application/files/thumbnails/carre/5317/8058/3244/MambreConseil_gilles-duval-2026.png,https://edmundston.ca/en/city-hall/city-council,2026-06-12,gilles-duval
b7ecd5fa-1d95-541c-a4dc-93e39528993d,district,Ward 2,Ward 2,,Richard,Couturier,representative,Councillor,,2026-05-11,,,richard.couturier@edmundston.ca,https://edmundston.ca/en/city-hall/city-council,https://edmundston.ca/application/files/thumbnails/carre/1917/8058/3323/MambreConseil_richard-couturier-2026.png,https://edmundston.ca/en/city-hall/city-council,2026-06-12,richard-couturier
7f8fdfb7-0dc8-5d90-a8ab-d4dff6ca2555,district,Ward 2,Ward 2,,Pierre,Couturier,representative,Councillor,,2026-05-11,,,pierre.couturier@edmundston.ca,https://edmundston.ca/en/city-hall/city-council,https://edmundston.ca/application/files/thumbnails/carre/6217/8058/3307/MambreConseil_pierre-couturier-2026.png,https://edmundston.ca/en/city-hall/city-council,2026-06-12,pierre-couturier
2230f2c5-0566-5aa4-a2ae-5e05cbbe1bdc,district,Ward 2,Ward 2,,Denise,Landry-Nadeau,representative,Councillor,,2026-05-11,,,denise.landry-nadeau@edmundston.ca,https://edmundston.ca/en/city-hall/city-council,https://edmundston.ca/application/files/thumbnails/carre/9217/8058/3968/MambreConseil_denise-landry-nadeau-2026.png,https://edmundston.ca/en/city-hall/city-council,2026-06-12,denise-landry-nadeau
dc0af34a-2fb4-59e4-9b2c-3f1f95e72f6f,district,Ward 3,Ward 3,,Eric,McGuire,representative,Councillor,,2026-05-11,,,eric.mcguire@edmundston.ca,https://edmundston.ca/en/city-hall/city-council,https://edmundston.ca/application/files/thumbnails/carre/7817/8058/3925/MambreConseil_eric-mcguire-2026.png,https://edmundston.ca/en/city-hall/city-council,2026-06-12,eric-mcguire
858213c5-9f06-5984-8828-a78c7643597e,district,Ward 3,Ward 3,,Karen,Power,representative,Councillor,,2026-05-11,,,karen.power@edmundston.ca,https://edmundston.ca/en/city-hall/city-council,https://edmundston.ca/application/files/thumbnails/carre/1317/8058/4009/MambreConseil_karen-power-2026.png,https://edmundston.ca/en/city-hall/city-council,2026-06-12,karen-power
38754bad-cd3c-5015-944b-514954f7c45d,district,Ward 3,Ward 3,,Jean Luc,Michaud,representative,Councillor,,2026-05-11,,,jeanluc.michaud@edmundston.ca,https://edmundston.ca/en/city-hall/city-council,https://edmundston.ca/application/files/thumbnails/carre/6317/8058/3260/MambreConseil_jean-luc-michaud-2026.png,https://edmundston.ca/en/city-hall/city-council,2026-06-12,jean-luc-michaud
46fb5773-4965-5c72-a390-f049bc55ef6b,role,,,,Eric,Marquis,executive,Mayor,,2026-05-11,,(506) 739-2115,eric.marquis@edmundston.ca,https://edmundston.ca/en/city-hall/city-council,https://edmundston.ca/application/files/thumbnails/carre/4617/8058/3563/MambreConseil_eric-marquis-2026.png,https://edmundston.ca/en/city-hall/city-council,2026-06-12,eric-marquis
