uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
4ed1219d-a345-52f9-955e-c8ebc7196eb9,district,Ward 1,Ward 1,,Patrick,Legault,representative,Councillor,,,,506-394-4020,patrick.legault@tracadienb.ca,https://tracadienb.ca/en/town-hall/municipal-council,,https://tracadienb.ca/en/town-hall/municipal-council,2026-06-12,patrick-legault
a9ff56e4-3efa-5e53-851b-115a082ed260,district,Ward 2,Ward 2,,Norma,McGraw,representative,Councillor,,,,506-394-4020,norma.mcgraw@tracadienb.ca,https://tracadienb.ca/en/town-hall/municipal-council,,https://tracadienb.ca/en/town-hall/municipal-council,2026-06-12,norma-mcgraw
cb8ba3d2-d9b6-5739-986e-c7ee031004b7,district,Ward 3,Ward 3,,Marc,Jean,representative,Councillor,,,,506-394-4020,marc.jean@tracadienb.ca,https://tracadienb.ca/en/town-hall/municipal-council,,https://tracadienb.ca/en/town-hall/municipal-council,2026-06-12,marc-jean
f01d62f4-cc97-54d9-9860-d2df0a86a281,district,Ward 4,Ward 4,,Éric,LeBreton,representative,Councillor,,,,506-394-4020,eric.lebreton@tracadienb.ca,https://tracadienb.ca/en/town-hall/municipal-council,,https://tracadienb.ca/en/town-hall/municipal-council,2026-06-12,eric-lebreton
69df8221-09c9-56ce-8fca-55871ded6faa,district,Ward 5,Ward 5,,Diane,Robichaud,representative,Councillor,,,,506-394-4020,diane.robichaud@tracadienb.ca,https://tracadienb.ca/en/town-hall/municipal-council,,https://tracadienb.ca/en/town-hall/municipal-council,2026-06-12,diane-robichaud
d1006230-caf5-5e46-b9f4-52504e492179,district,Ward 6,Ward 6,,Fernand,Thibodeau,representative,Councillor,,,,506-394-4020,fernand.thibodeau@tracadienb.ca,https://tracadienb.ca/en/town-hall/municipal-council,,https://tracadienb.ca/en/town-hall/municipal-council,2026-06-12,fernand-thibodeau
525f0583-0d48-5a09-b4c0-77d3d6a58d20,district,Ward 7,Ward 7,,Pierre,Morais,representative,Councillor,,,,506-394-4020,pierre.morais@tracadienb.ca,https://tracadienb.ca/en/town-hall/municipal-council,,https://tracadienb.ca/en/town-hall/municipal-council,2026-06-12,pierre-morais
8842ba08-2e57-5baa-b0a3-930ad6e53b44,district,Ward 7,Ward 7,,Isabelle,Richard Basque,representative,Councillor,,,,506-394-4020,isabelle.richardbasque@tracadienb.ca,https://tracadienb.ca/en/town-hall/municipal-council,,https://tracadienb.ca/en/town-hall/municipal-council,2026-06-12,isabelle-richard-basque
7acd59de-f829-5fcd-acb4-a83426c0558d,district,Ward 8,Ward 8,,Jean Francis,Basque,representative,Councillor,,,,506-394-4020,jeanfrancis.basque@tracadienb.ca,https://tracadienb.ca/en/town-hall/municipal-council,,https://tracadienb.ca/en/town-hall/municipal-council,2026-06-12,jean-francis-basque
8a4dde46-88c6-5fea-8ada-40b5c5886084,district,Ward 8,Ward 8,,Nathalie,Brideau,representative,Councillor,,,,506-394-4020,nathalie.brideau@tracadienb.ca,https://tracadienb.ca/en/town-hall/municipal-council,,https://tracadienb.ca/en/town-hall/municipal-council,2026-06-12,nathalie-brideau
4611ec83-e3b5-54ff-a144-f3f71749e4c6,role,,,,Clifford,Robichaud,executive,Mayor,,2026-05-11,,506-394-4020,clifford.robichaud@tracadienb.ca,https://tracadienb.ca/en/town-hall/municipal-council,,https://tracadienb.ca/en/town-hall/municipal-council,2026-06-12,clifford-robichaud
