uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
677cee20-d0f8-59b6-8077-64f7a1dfe8b1,district,Carbonear - Trinity - Bay de Verde,Carbonear - Trinity - Bay de Verde,,Riley,Balsom,representative,Member of the House of Assembly,Progressive Conservative Party of Newfoundland and Labrador,2025-10-14,,(709) 596-8195,MHARileyBalsom@assembly.nl.ca,https://www.assembly.nl.ca/Members/YourMember/BalsomRiley.aspx,https://www.assembly.nl.ca/Members/YourMember/BioPhotos/BalsomRiley.jpg,https://www.assembly.nl.ca/Members/YourMember/BalsomRiley.aspx,2026-06-04,riley-balsom
f9b4eafd-1263-56e0-9308-f1e6322d3f3e,district,St. Barbe - L'Anse aux Meadows,St. Barbe - L'Anse aux Meadows,Hon.,Andrea,Barbour,representative,Member of the House of Assembly,Progressive Conservative Party of Newfoundland and Labrador,2025-10-14,,(709) 454-2633,MHAAndreaBarbour@assembly.nl.ca,https://www.assembly.nl.ca/Members/YourMember/BarbourAndrea.aspx,https://www.assembly.nl.ca/Members/YourMember/BioPhotos/BarbourAndrea.jpg,https://www.assembly.nl.ca/Members/YourMember/BarbourAndrea.aspx,2026-06-04,andrea-barbour
628f8a4b-81a6-5664-b5b6-14c12d082370,district,Lewisporte - Twillingate,Lewisporte - Twillingate,,Mark,Butt,representative,Member of the House of Assembly,Progressive Conservative Party of Newfoundland and Labrador,2025-10-14,,(709) 535-2131,MHAMarkButt@assembly.nl.ca,https://www.assembly.nl.ca/Members/YourMember/ButtMark.aspx,https://www.assembly.nl.ca/Members/YourMember/BioPhotos/ButtMark.jpg,https://www.assembly.nl.ca/Members/YourMember/ButtMark.aspx,2026-06-04,mark-butt
faac4d55-1820-5a8e-902a-d6b35a16c356,district,Harbour Main,Harbour Main,Hon.,Helen,Conway Ottenheimer,representative,Member of the House of Assembly,Progressive Conservative Party of Newfoundland and Labrador,2025-10-14,,(709) 229-0160,MHAHelenOttenheimer@assembly.nl.ca,https://www.assembly.nl.ca/Members/YourMember/ConwayOttenheimerHelen.aspx,https://www.assembly.nl.ca/Members/YourMember/BioPhotos/ConwayOttenheimerHelen.jpg,https://www.assembly.nl.ca/Members/YourMember/ConwayOttenheimerHelen.aspx,2026-06-04,helen-conway-ottenheimer
86afd459-1d1a-509c-b54b-aa0146e9033b,district,St. George's - Humber,St. George's - Humber,,Hal,Cormier,representative,Member of the House of Assembly,Progressive Conservative Party of Newfoundland and Labrador,2025-10-14,,(709) 646-3108,MHAHalCormier@assembly.nl.ca,https://www.assembly.nl.ca/Members/YourMember/CormierHal.aspx,https://www.assembly.nl.ca/Members/YourMember/BioPhotos/CormierHal.jpg,https://www.assembly.nl.ca/Members/YourMember/CormierHal.aspx,2026-06-04,hal-cormier
2bd371ae-5076-5ee1-8c05-d7b654148f3e,district,Virginia Waters - Pleasantville,Virginia Waters - Pleasantville,,Bernard,Davis,representative,Member of the House of Assembly,Liberal Party of Newfoundland and Labrador,2025-10-14,,(709) 729-5980,MHABernardDavis@assembly.nl.ca,https://www.assembly.nl.ca/Members/YourMember/DavisBernard.aspx,https://www.assembly.nl.ca/Members/YourMember/BioPhotos/DavisBernard.jpg,https://www.assembly.nl.ca/Members/YourMember/DavisBernard.aspx,2026-06-04,bernard-davis
e913d89d-d517-5efd-a514-87a99be0cb09,district,Cartwright - L'Anse aux Clair,Cartwright - L'Anse aux Clair,,Lisa,Dempster,representative,Member of the House of Assembly,Liberal Party of Newfoundland and Labrador,2025-10-14,,(709) 931-2118,MHALisaDempster@assembly.nl.ca,https://www.assembly.nl.ca/Members/YourMember/DempsterLisa.aspx,https://www.assembly.nl.ca/Members/YourMember/BioPhotos/DempsterLisa.jpg,https://www.assembly.nl.ca/Members/YourMember/DempsterLisa.aspx,2026-06-04,lisa-dempster
000ba27d-5f65-5df5-91a5-4379a8fd633f,district,St. John's Centre,St. John's Centre,,James,Dinn,representative,Member of the House of Assembly,New Democratic Party,2025-10-14,,(709) 729-2638,MHAJamesDinn@assembly.nl.ca,https://www.assembly.nl.ca/Members/YourMember/DinnJames.aspx,https://www.assembly.nl.ca/Members/YourMember/BioPhotos/DinnJames.jpg,https://www.assembly.nl.ca/Members/YourMember/DinnJames.aspx,2026-06-04,james-dinn
a15b2fff-9a13-59af-b796-7d91e0f835c9,district,Topsail - Paradise,Topsail - Paradise,Hon.,Paul,Dinn,representative,Member of the House of Assembly,Progressive Conservative Party of Newfoundland and Labrador,2025-10-14,,(709) 729-6670,MHAPaulDinn@assembly.nl.ca,https://www.assembly.nl.ca/Members/YourMember/DinnPaul.aspx,https://www.assembly.nl.ca/Members/YourMember/BioPhotos/DinnPaul.jpg,https://www.assembly.nl.ca/Members/YourMember/DinnPaul.aspx,2026-06-04,paul-dinn
b89e9e58-83fb-5212-a110-8b9c5aceff89,district,Placentia West - Bellevue,Placentia West - Bellevue,,Jeff,Dwyer,representative,Member of the House of Assembly,Progressive Conservative Party of Newfoundland and Labrador,2025-10-14,,(709) 279-2912,MHAJeffDwyer@assembly.nl.ca,https://www.assembly.nl.ca/Members/YourMember/DwyerJeff.aspx,https://www.assembly.nl.ca/Members/YourMember/BioPhotos/DwyerJeff.jpg,https://www.assembly.nl.ca/Members/YourMember/DwyerJeff.aspx,2026-06-04,jeff-dwyer
4962ba87-c44f-51de-aa59-4e6434379d13,district,Torngat Mountains,Torngat Mountains,Hon.,Lela,Evans,representative,Member of the House of Assembly,Progressive Conservative Party of Newfoundland and Labrador,2025-10-14,,(877) 923-2471,MHALelaEvans@assembly.nl.ca,https://www.assembly.nl.ca/Members/YourMember/EvansLela.aspx,https://www.assembly.nl.ca/Members/YourMember/BioPhotos/EvansLela.jpg,https://www.assembly.nl.ca/Members/YourMember/EvansLela.aspx,2026-06-04,lela-evans
ec88ef6e-3c4b-5188-9c8e-3e9c3eafd3e7,district,Gander,Gander,,Bettina,Ford,representative,Member of the House of Assembly,Liberal Party of Newfoundland and Labrador,2025-10-14,,(709) 256-3729,MHABettinaFord@assembly.nl.ca,https://www.assembly.nl.ca/Members/YourMember/FordBettina.aspx,https://www.assembly.nl.ca/Members/YourMember/BioPhotos/FordBettina.jpg,https://www.assembly.nl.ca/Members/YourMember/FordBettina.aspx,2026-06-04,bettina-ford
745570ed-32fc-5457-8b43-13baf24c8555,district,Exploits,Exploits,Hon.,Pleaman,Forsey,representative,Member of the House of Assembly,Progressive Conservative Party of Newfoundland and Labrador,2025-10-14,,(709) 258-2519,MHAPleamanForsey@assembly.nl.ca,https://www.assembly.nl.ca/Members/YourMember/ForseyPleaman.aspx,https://www.assembly.nl.ca/Members/YourMember/BioPhotos/ForseyPleaman.jpg,https://www.assembly.nl.ca/Members/YourMember/ForseyPleaman.aspx,2026-06-04,pleaman-forsey
