uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
a3747eeb-4ed4-5f1e-9682-c18c596be898,district,Eastern Passage,Eastern Passage,Hon.,Barbara,Adams,representative,Member of the Legislative Assembly,Progressive Conservative Association of Nova Scotia,2024-11-26,,902-406-0656,barbadamsmla@gmail.com,https://nslegislature.ca/members/profiles/barbara-adams,https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/BarbaraAdams.jpg?itok=Nd0parOA,https://nslegislature.ca/members/profiles/barbara-adams,2026-06-06,barbara-adams
f0bd1d27-4d99-5e96-94a6-c4be13aa2f30,district,Colchester-Musquodoboit Valley,Colchester-Musquodoboit Valley,Hon.,Scott,Armstrong,representative,Member of the Legislative Assembly,Progressive Conservative Association of Nova Scotia,2024-11-26,,902-639-8679,mlascottarmstrong@gmail.com,https://nslegislature.ca/members/profiles/scott-armstrong,https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/ScottArmstrong.jpg?itok=3z_nQYmz,https://nslegislature.ca/members/profiles/scott-armstrong,2026-06-06,scott-armstrong
4181b5fd-84a2-51fc-b55e-e9da32a3683d,district,Digby-Annapolis,Digby-Annapolis,Hon.,Jill,Balser,representative,Member of the Legislative Assembly,Progressive Conservative Association of Nova Scotia,2024-11-26,,902-308-1992,hello@digbyannapolis.ca,https://nslegislature.ca/members/profiles/jill-balser,https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/Jill_Balser.jpg?itok=blm1Ezsw,https://nslegislature.ca/members/profiles/jill-balser,2026-06-06,jill-balser
23f00ca9-86eb-58ee-8e90-f89445ff75b3,district,Chester-St. Margaret's,Chester-St. Margaret's,Hon.,Danielle,Barkhouse,representative,Member of the Legislative Assembly,Progressive Conservative Association of Nova Scotia,2024-11-26,,902-275-2501,barkhousemla@gmail.com,https://nslegislature.ca/members/profiles/danielle-barkhouse,https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/DanielleBarkhouse.jpg?itok=Ibpptyml,https://nslegislature.ca/members/profiles/danielle-barkhouse,2026-06-06,danielle-barkhouse
c9b7627a-0c18-546b-8c8b-f595c8aacec2,district,Richmond,Richmond,Hon.,Trevor,Boudreau,representative,Member of the Legislative Assembly,Progressive Conservative Association of Nova Scotia,2024-11-26,,902-535-2297,Info@trevorboudreau.ca,https://nslegislature.ca/members/profiles/trevor-boudreau,https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/TrevorBoudreau.jpg?itok=9GNdKpJ8,https://nslegislature.ca/members/profiles/trevor-boudreau,2026-06-06,trevor-boudreau
21a875f0-aa93-5ebf-9c3b-7175fca54d8c,district,Annapolis,Annapolis,,David,Bowlby,representative,Member of the Legislative Assembly,Progressive Conservative Association of Nova Scotia,2024-11-26,,902-526-3283,mladavidbowlby@gmail.com,https://nslegislature.ca/members/profiles/david-bowlby,https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/DavidBowlby.jpg?itok=FSjw6qmB,https://nslegislature.ca/members/profiles/david-bowlby,2026-06-06,david-bowlby
34088bb8-2381-535e-9ec4-ee75bf898b72,district,Hammonds Plains-Lucasville,Hammonds Plains-Lucasville,,Rick,Burns,representative,Member of the Legislative Assembly,Progressive Conservative Association of Nova Scotia,2024-11-26,,902-404-4393,info@rickburnsmla.ca,https://nslegislature.ca/members/profiles/rick-burns,https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/RickBurns-Square.jpg?itok=eroAccYP,https://nslegislature.ca/members/profiles/rick-burns,2026-06-06,rick-burns
2833e882-2351-561d-8c1f-a5d68080a8b6,district,Dartmouth South,Dartmouth South,,Claudia,Chender,representative,Member of the Legislative Assembly,Nova Scotia New Democratic Party,2024-11-26,,902-406-2301,claudiachender@nsmla.ca,https://nslegislature.ca/members/profiles/claudia-chender,https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/ClaudiaChender-Square.jpg?itok=h03UyCUw,https://nslegislature.ca/members/profiles/claudia-chender,2026-06-06,claudia-chender
639ab586-a7ef-5dd1-a18f-5d43758fc58b,district,Cape Breton East,Cape Breton East,Hon.,Brian,Comer,representative,Member of the Legislative Assembly,Progressive Conservative Association of Nova Scotia,2024-11-26,,902-564-8679,briancomermla@gmail.com,https://nslegislature.ca/members/profiles/brian-comer,https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/BrianComer.jpg?itok=cnZzs10X,https://nslegislature.ca/members/profiles/brian-comer,2026-06-06,brian-comer
0852db3b-d72c-584d-a42c-df80446710bd,district,Cape Breton Centre-Whitney Pier,Cape Breton Centre-Whitney Pier,,Kendra,Coombes,representative,Member of the Legislative Assembly,Nova Scotia New Democratic Party,2024-11-26,,902-567-1339,kendracoombes@nsmla.ca,https://nslegislature.ca/members/profiles/kendra-coombes,https://nslegislature.ca/sites/default/files/styles/photo_thumbnail/public/mla-thumbnails/KendraCoombes.jpg?itok=DafgqeV5,https://nslegislature.ca/members/profiles/kendra-coombes,2026-06-06,kendra-coombes
