uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
db90244b-606c-5890-a081-bd1d147878dd,district,District 1,District 1,,Gordon,MacDonald,representative,Councillor,,,,902-574-3924,gdmacdonald@cbrm.ns.ca,https://cbrm.ns.ca/city-hall/councillors/district-1/,https://cbrm.ns.ca/wp-content/uploads/2025/11/Gordon-MacDonald.jpg,https://cbrm.ns.ca/city-hall/councillors/district-1/,2026-06-14,gordon-macdonald
55cb3cda-b3a1-56dd-ac74-c1a26a86ff79,district,District 2,District 2,,Earlene,MacMullin,representative,Councillor,,,,902-574-1822,edmacmullin@cbrm.ns.ca,https://cbrm.ns.ca/city-hall/councillors/district-2/,https://cbrm.ns.ca/wp-content/uploads/2025/11/Earlene-MacMullin.jpg,https://cbrm.ns.ca/city-hall/councillors/district-2/,2026-06-14,earlene-macmullin
21adacc8-0dd3-5378-9e09-a85274b1c73e,district,District 3,District 3,,"Esmond ""Blue""",Marshall,representative,Councillor,,,,902-574-1869,epmarshall@cbrm.ns.ca,https://cbrm.ns.ca/city-hall/councillors/district-3/,https://cbrm.ns.ca/wp-content/uploads/2025/11/Esmond-Blue-Marshall.jpg,https://cbrm.ns.ca/city-hall/councillors/district-3/,2026-06-14,esmond-blue-marshall
79e87517-9458-57a0-b820-ef6b784ebc94,district,District 4,District 4,,Steve,Gillespie,representative,Councillor,,,,902-539-2144,sdgillespie@cbrm.ns.ca,https://cbrm.ns.ca/city-hall/councillors/district-4/,https://cbrm.ns.ca/wp-content/uploads/2025/11/Steve-Gillespie.jpg,https://cbrm.ns.ca/city-hall/councillors/district-4/,2026-06-14,steve-gillespie
d61b765f-231f-5235-92e0-cf0df90f8364,district,District 5,District 5,,Eldon,MacDonald,representative,Councillor,,,,902-574-3358,emacdonald@cbrm.ns.ca,https://cbrm.ns.ca/city-hall/councillors/district-5/,https://cbrm.ns.ca/wp-content/uploads/2025/11/Eldon-MacDonald.jpg,https://cbrm.ns.ca/city-hall/councillors/district-5/,2026-06-14,eldon-macdonald
80cf6199-8ecf-53eb-9ae6-5579e305d113,district,District 6,District 6,,Glenn,Paruch,representative,Councillor,,,,902-574-3854,gmparuch@cbrm.ns.ca,https://cbrm.ns.ca/city-hall/councillors/district-6/,https://cbrm.ns.ca/wp-content/uploads/2025/11/Glenn-Paruch.jpg,https://cbrm.ns.ca/city-hall/councillors/district-6/,2026-06-14,glenn-paruch
6a6d0797-4a83-5352-82f3-da5929ab50ad,district,District 7,District 7,,Steve,Parsons,representative,Councillor,,,,902-549-5470,stparsons@cbrm.ns.ca,https://cbrm.ns.ca/city-hall/councillors/district-7/,https://cbrm.ns.ca/wp-content/uploads/2025/11/Steve-Parsons.jpg,https://cbrm.ns.ca/city-hall/councillors/district-7/,2026-06-14,steve-parsons
0cb30dba-d133-5020-919b-026e245d489a,district,District 8,District 8,,Steven,MacNeil,representative,Councillor,,,,902-574-1870,sjmacneil@cbrm.ns.ca,https://cbrm.ns.ca/city-hall/councillors/district-8/,https://cbrm.ns.ca/wp-content/uploads/2025/11/Steven-MacNeil.jpg,https://cbrm.ns.ca/city-hall/councillors/district-8/,2026-06-14,steven-macneil
ae99c210-16f0-5b45-a636-f86a9ddadeaf,district,District 9,District 9,,Dave,MacKeigan,representative,Councillor,,,,902-574-1910,dbmackeigan@cbrm.ns.ca,https://cbrm.ns.ca/city-hall/councillors/district-9/,https://cbrm.ns.ca/wp-content/uploads/2025/11/Dave-MacKeigan.jpg,https://cbrm.ns.ca/city-hall/councillors/district-9/,2026-06-14,dave-mackeigan
a76cd0a2-f02a-506b-acd0-0efe6ce5c5d5,district,District 10,District 10,,Paul,Nickituk,representative,Councillor,,,,902-574-4319,pgnickituk@cbrm.ns.ca,https://cbrm.ns.ca/city-hall/councillors/district-10/,https://cbrm.ns.ca/wp-content/uploads/2025/11/Paul-Nickituk.jpg,https://cbrm.ns.ca/city-hall/councillors/district-10/,2026-06-14,paul-nickituk
978c104a-7347-5f10-99a4-15d47c4913cd,district,District 11,District 11,,Darren,O’Quinn,representative,Councillor,,,,902-574-3876,dfoquinn@cbrm.ns.ca,https://cbrm.ns.ca/city-hall/councillors/district-11/,https://cbrm.ns.ca/wp-content/uploads/2025/11/Darren-OQuinn-e1762357773293.jpg,https://cbrm.ns.ca/city-hall/councillors/district-11/,2026-06-14,darren-oquinn
478b4dfd-2fc4-54d8-8578-1c85197817f6,district,District 12,District 12,,Kim,Sheppard-Campbell,representative,Councillor,,,,902-574-2750,kasheppard@cbrm.ns.ca,https://cbrm.ns.ca/city-hall/councillors/district-12/,https://cbrm.ns.ca/wp-content/uploads/2025/11/Kim-Sheppard-Campbell.jpg,https://cbrm.ns.ca/city-hall/councillors/district-12/,2026-06-14,kim-sheppard-campbell
f9b6b788-7ae0-5e6d-86b9-dd3ac3bdb1e2,role,,,,Cecil P.,Clarke,executive,Mayor,,2024-10-19,,902-563-5000,mayor@cbrm.ns.ca,https://cbrm.ns.ca/city-hall/mayors-office/,https://cbrm.ns.ca/wp-content/uploads/2026/01/Mayor-Cecil-Clarke-e1768852597874.jpg,https://cbrm.ns.ca/city-hall/mayors-office/,2026-06-14,cecil-p-clarke
