uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
e2981e05-c768-5a34-a893-166149b38f60,district,District 1,Waverley - Fall River - Musquodoboit Valley,,Cathy,Deagle Gammon,representative,Councillor,,2024-10-19,,902-717-2718,cathy.deaglegammon@halifax.ca,https://www.halifax.ca/city-hall/districts-councillors/district-1,https://cdn.halifax.ca/sites/default/files/styles/district_index_councillor_image/public/2024-11/councillor-cathy-deagle-gammon.jpg?itok=d1pND8Pz,https://www.halifax.ca/city-hall/districts-councillors/district-1,2026-06-14,cathy-deagle-gammon
f131b27f-a981-5cb7-8062-b73434ced73e,district,District 2,Lawrencetown - The Lakes - Chezzetcook - Eastern Shore,,David,Hendsbee,representative,Councillor,,2024-10-19,,902-483-0705,david.hendsbee@halifax.ca,https://www.halifax.ca/city-hall/districts-councillors/district-2,https://cdn.halifax.ca/sites/default/files/styles/district_index_councillor_image/public/2017-05/District2_Hendsbee.jpg?itok=5xrKVil4,https://www.halifax.ca/city-hall/districts-councillors/district-2,2026-06-14,david-hendsbee
a184e4b8-2f5d-5cd6-8856-0dae6549b627,district,District 3,Dartmouth South - Woodside - Eastern Passage,,Becky,Kent,representative,Councillor,,2024-10-19,,902-478-5368,becky.kent@halifax.ca,https://www.halifax.ca/city-hall/districts-councillors/district-3,https://cdn.halifax.ca/sites/default/files/styles/district_index_councillor_image/public/2023-04/councillor-becky-kent-district-3.jpg?itok=zYoK0VbL,https://www.halifax.ca/city-hall/districts-councillors/district-3,2026-06-14,becky-kent
fec8673f-2e33-53a7-803f-e81666b61161,district,District 4,Cole Harbour - Preston - Westphal - Cherry Brook,,Trish,Purdy,representative,Councillor,,2024-10-19,,902-240-3067,trish.purdy@halifax.ca,https://www.halifax.ca/city-hall/districts-councillors/district-4,https://cdn.halifax.ca/sites/default/files/styles/district_index_councillor_image/public/2025-03/purdy_t_18d-min.jpg?itok=VS3_nGdQ,https://www.halifax.ca/city-hall/districts-councillors/district-4,2026-06-14,trish-purdy
435d86b7-53db-5f6a-8aa5-d7c1369c6362,district,District 5,Dartmouth Centre,,Sam,Austin,representative,Councillor,,2024-10-19,,902-579-6814,sam.austin@halifax.ca,https://www.halifax.ca/city-hall/districts-councillors/district-5,https://cdn.halifax.ca/sites/default/files/styles/district_index_councillor_image/public/2022-11/2019-10-08-austin-crop-web-resolution.jpg?itok=DI5hv24q,https://www.halifax.ca/city-hall/districts-councillors/district-5,2026-06-14,sam-austin
9d6d0142-2a95-51f7-903e-c297e4f198ea,district,District 6,Dartmouth East - Burnside,,Tony,Mancini,representative,Councillor,,2024-10-19,,902-292-4823,tony.mancini@halifax.ca,https://www.halifax.ca/city-hall/districts-councillors/district-6,https://cdn.halifax.ca/sites/default/files/styles/district_index_councillor_image/public/2025-01/councillor-tony-mancini.jpg?itok=JlO8K7cC,https://www.halifax.ca/city-hall/districts-councillors/district-6,2026-06-14,tony-mancini
2315cecc-b82e-5b17-9922-4f96ff1bc67d,district,District 7,Halifax South Downtown,,Laura,White,representative,Councillor,,2024-10-19,,902-471-2273,laura.white@halifax.ca,https://www.halifax.ca/city-hall/districts-councillors/district-7,https://cdn.halifax.ca/sites/default/files/styles/district_index_councillor_image/public/2024-11/councillor-laura-white.jpg?itok=x_n21WIv,https://www.halifax.ca/city-hall/districts-councillors/district-7,2026-06-14,laura-white
6abff933-d2cf-53b2-9a1a-4517beae3fb2,district,District 8,Halifax Peninsula North,,Virginia,Hinch,representative,Councillor,,2024-10-19,,902-237-8373,virginia.hinch@halifax.ca,https://www.halifax.ca/city-hall/districts-councillors/district-8,https://cdn.halifax.ca/sites/default/files/styles/district_index_councillor_image/public/2024-11/councillor-virginia-hinch.jpg?itok=mbb8NwOJ,https://www.halifax.ca/city-hall/districts-councillors/district-8,2026-06-14,virginia-hinch
a48c18e4-4009-5b74-bde8-ba9e405fefff,district,District 9,Halifax West Armdale,,Shawn,Cleary,representative,Councillor,,2024-10-19,,902-579-6746,shawn.cleary@halifax.ca,https://www.halifax.ca/city-hall/districts-councillors/district-9,https://cdn.halifax.ca/sites/default/files/styles/district_index_councillor_image/public/2019-11/ShawnCleary.jpg?itok=a_t3WpZE,https://www.halifax.ca/city-hall/districts-councillors/district-9,2026-06-14,shawn-cleary
25391260-db1d-5a2f-b659-47fd80c5b7bc,district,District 10,Halifax - Bedford Basin West,,Kathryn,Morse,representative,Councillor,,2024-10-19,,902-497-7278,kathryn.morse@halifax.ca,https://www.halifax.ca/city-hall/districts-councillors/district-10,https://cdn.halifax.ca/sites/default/files/styles/district_index_councillor_image/public/2024-07/morse-halifax.ca-meta-image-headshot-1.jpg?itok=-J3NtFb2,https://www.halifax.ca/city-hall/districts-councillors/district-10,2026-06-14,kathryn-morse
5ad85599-deff-56bf-816a-d77179113560,district,District 11,Spryfield - Sambro Loop,,Patty,Cuttell,representative,Councillor,,2024-10-19,,902-221-6893,patty.cuttell@halifax.ca,https://www.halifax.ca/city-hall/districts-councillors/district-11,https://cdn.halifax.ca/sites/default/files/styles/district_index_councillor_image/public/2023-04/councillor-becky-kent-district-3-1.jpg?itok=EacbLB5D,https://www.halifax.ca/city-hall/districts-councillors/district-11,2026-06-14,patty-cuttell
5dbef474-0471-543b-a7dc-ee53a8a08bba,district,District 12,Timberlea - Beechville - Clayton Park - Wedgewood,,Janet,Steele,representative,Councillor,,2024-10-19,,902-471-3123,janet.steele@halifax.ca,https://www.halifax.ca/city-hall/districts-councillors/district-12,https://cdn.halifax.ca/sites/default/files/styles/district_index_councillor_image/public/2024-11/councillor-janet-steele_0.jpg?itok=7MpfXPt3,https://www.halifax.ca/city-hall/districts-councillors/district-12,2026-06-14,janet-steele
ce9d1e43-bb98-5828-912f-ffc39cc4e2a2,district,District 13,Prospect Road - St. Margarets,,Nancy,Hartling,representative,Councillor,,2024-10-19,,902-476-3787,nancy.hartling@halifax.ca,https://www.halifax.ca/city-hall/districts-councillors/district-13,https://cdn.halifax.ca/sites/default/files/styles/district_index_councillor_image/public/2024-11/councillor-nancy-hartling.jpg?itok=BGBpY0Ke,https://www.halifax.ca/city-hall/districts-councillors/district-13,2026-06-14,nancy-hartling
fe3c868b-d970-5b36-a456-1aa36bb8a67c,district,District 14,Hammonds Plains - Upper Hammonds Plains - Lucasville - Middle & Upper Sackville,,John,Young,representative,Councillor,,2024-10-19,,902-943-9241,john.young@halifax.ca,https://www.halifax.ca/city-hall/districts-councillors/district-14,https://cdn.halifax.ca/sites/default/files/styles/district_index_councillor_image/public/2024-11/councillor-john-a-young.jpg?itok=MnvWKA9I,https://www.halifax.ca/city-hall/districts-councillors/district-14,2026-06-14,john-young
437ddbca-e4f5-5d47-9a91-d7f73fd27063,district,District 15,Lower Sackville - Beaver Bank,,Billy,Gillis,representative,Councillor,,2024-10-19,,902-471-6906,billy.gillis@halifax.ca,https://www.halifax.ca/city-hall/districts-councillors/district-15,https://cdn.halifax.ca/sites/default/files/styles/district_index_councillor_image/public/2024-11/d15-2024-darrow-headshot.jpg?itok=OTmnmGPx,https://www.halifax.ca/city-hall/districts-councillors/district-15,2026-06-14,billy-gillis
06ce2759-85fa-5d50-96aa-b0a0df98f0cc,district,District 16,Bedford - Wentworth,,Jean,St-Amand,representative,Councillor,,2024-10-19,,902-476-2484,jean.st-amand@halifax.ca,https://www.halifax.ca/city-hall/districts-councillors/district-16,https://cdn.halifax.ca/sites/default/files/styles/district_index_councillor_image/public/2024-11/councillor-jean-st.amand_.jpg?itok=2E1Yklqo,https://www.halifax.ca/city-hall/districts-councillors/district-16,2026-06-14,jean-st-amand
