uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
46b9241b-5aff-5074-a0b0-209e4598a7de,district,District 1,District 1,,Everett,MacPherson,representative,Deputy Mayor,,,,902-698-3951,councillor.macpherson@countyofkings.ca,https://www.countyofkings.ca/government/council/profiles/District-1,https://www.countyofkings.ca/images/government/council/Everett%20MacPherson.jpg,https://www.countyofkings.ca/government/council/profiles/District-1,2026-06-14,everett-macpherson
40d2e360-a759-5be1-a225-8872381f525c,district,District 2,District 2,,Doug,Gates,representative,Councillor,,,,902-300-9548,councillor.gates@countyofkings.ca,https://www.countyofkings.ca/government/council/profiles/District-2,https://www.countyofkings.ca/images/government/council/Doug%20Gates.jpg,https://www.countyofkings.ca/government/council/profiles/District-2,2026-06-14,doug-gates
40744428-f12a-5549-b3a2-a6246e9a533b,district,District 3,District 3,,Robbie,Hiltz,representative,Councillor,,,,902-389-1221,councillor.hiltz@countyofkings.ca,https://www.countyofkings.ca/government/council/profiles/District-3,https://www.countyofkings.ca/images/government/council/Robbie%20Hiltz.jpg,https://www.countyofkings.ca/government/council/profiles/District-3,2026-06-14,robbie-hiltz
127da50f-9703-596d-9b97-164286d355b8,district,District 4,District 4,,Riley,Peckford,representative,Councillor,,,,902-321-3232,councillor.peckford@countyofkings.ca,https://www.countyofkings.ca/government/council/profiles/District-4,https://www.countyofkings.ca/images/government/council/Riley%20Peckford.jpg,https://www.countyofkings.ca/government/council/profiles/District-4,2026-06-14,riley-peckford
8df7225b-e022-565e-a1c6-49500e763234,district,District 5,District 5,,Tim,Harding,representative,Councillor,,,,902-670-6484,councillor.harding@countyofkings.ca,https://www.countyofkings.ca/government/council/profiles/District-5,https://www.countyofkings.ca/images/government/council/Tim%20Harding.jpg,https://www.countyofkings.ca/government/council/profiles/District-5,2026-06-14,tim-harding
fb18a680-d8f2-5a1b-ad65-61681e83c134,district,District 6,District 6,,Bob,Best,representative,Councillor,,,,902-679-2031,councillor.best@countyofkings.ca,https://www.countyofkings.ca/government/council/profiles/District-6,https://www.countyofkings.ca/images/government/council/Bobby%20Best.jpg,https://www.countyofkings.ca/government/council/profiles/District-6,2026-06-14,bob-best
cca4c79a-dd10-581d-914b-a1d626a85abc,district,District 7,District 7,,Emily,Lutz,representative,Councillor,,,,902-300-1776,councillor.lutz@countyofkings.ca,https://www.countyofkings.ca/government/council/profiles/District-7,https://www.countyofkings.ca/images/government/council/Emily%20Lutz.jpg,https://www.countyofkings.ca/government/council/profiles/District-7,2026-06-14,emily-lutz
42b47e11-35c7-5a08-878e-65f19c7c01e5,district,District 8,District 8,,Christina,Sappington,representative,Councillor,,,,902-670-1096,councillor.sappington@countyofkings.ca,https://www.countyofkings.ca/government/council/profiles/District-8,https://www.countyofkings.ca/images/government/council/Christina%20Sappington.jpg,https://www.countyofkings.ca/government/council/profiles/District-8,2026-06-14,christina-sappington
2d997ac2-707e-520a-9465-847449bb1024,district,District 9,District 9,,Peter,Allen,representative,Councillor,,,,902-692-1552,councillor.allen@countyofkings.ca,https://www.countyofkings.ca/government/council/profiles/District-9,https://www.countyofkings.ca/images/government/council/Peter%20Allen.jpg,https://www.countyofkings.ca/government/council/profiles/District-9,2026-06-14,peter-allen
8cd167e6-a095-5eaf-a508-14d0e70372ca,role,,,,Dave,Corkum,executive,Mayor,,,,902-690-6132,mayor.corkum@countyofkings.ca,https://www.countyofkings.ca/government/council/profiles/Mayor,https://www.countyofkings.ca/images/government/council/Dave%20Corkum.jpg,https://www.countyofkings.ca/government/council/,2026-06-14,dave-corkum
