uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
af9fd5fb-f9cb-59ce-8f8e-0bae667a5ef0,district,District 1,District 1,,Joe,MacDonald,representative,Councillor,,2024-10-19,,902-754-8422,joe.macdonald@munpict.ca,https://munpict.ca/council/council/district-1-coun-don-bulter/,https://munpict.ca/assets/MUNPICT24_MacDonald_Joe_6111-v3__ResizedImageWzMwMCwzNzVd.jpg,https://munpict.ca/council/council/,2026-06-14,joe-macdonald
0f363060-c2b2-5166-b5df-3a9c30c25bfc,district,District 2,District 2,,Deborah,Wadden,representative,Councillor,,2024-10-19,,902-752-1303,deborah.wadden@munpict.ca,https://munpict.ca/council/council/district-2-deborah-wadden/,https://munpict.ca/assets/MUNPICT24_Waden_Debi_6021__ResizedImageWzMwMCwzNzVd.jpg,https://munpict.ca/council/council/,2026-06-14,deborah-wadden
f6be0d2e-4fdd-5bd0-868b-1710dacd3e8a,district,District 3,District 3,,Darla,MacKeil,representative,Councillor,,2024-10-19,,902-759-2792,darla.mackeil@munpict.ca,https://munpict.ca/council/council/district-3-darla-mackeil/,https://munpict.ca/assets/MUNPICT24_MacKeil_Darla_6177-v2__ResizedImageWzMwMCwzNzVd.jpg,https://munpict.ca/council/council/,2026-06-14,darla-mackeil
a14361e7-148e-5b37-a162-e8fc12fc28ad,district,District 4,District 4,,Ronald,Baillie,representative,Councillor,,2024-10-19,,782-440-6716,ronald.baillie@munpict.ca,https://munpict.ca/council/council/district-4/,https://munpict.ca/assets/MUNPICT24_Baillie_Ron_6141-v3__ResizedImageWzMwMCwzNzVd.jpg,https://munpict.ca/council/council/,2026-06-14,ronald-baillie
abf91343-a9a4-521b-8584-c010da2fbbc3,district,District 5,District 5,,Wayne,Murray,representative,Councillor,,2024-10-19,,902-301-2400,wayne.murray@munpict.ca,https://munpict.ca/council/council/district/,https://munpict.ca/assets/MUNPICT24_Murray_Wayne_6199-v3__ResizedImageWzMwMCwzNzVd.jpg,https://munpict.ca/council/council/,2026-06-14,wayne-murray
b645be81-d181-5d34-9a31-b0c9f9c95264,district,District 6,District 6,,Robert,Parker,representative,Councillor,,2024-10-19,,902-925-2240,robert.parker@munpict.ca,https://munpict.ca/council/council/district-5/,https://munpict.ca/assets/MUNPICT24_Parker_Robert_6157-3b-v3__ResizedImageWzMwMCwzMDBd.jpg,https://munpict.ca/council/council/,2026-06-14,robert-parker
d0e35131-4edd-5fda-af13-dc61ce7a5cc2,district,District 7,District 7,,Donald,Parker,representative,Councillor,,2024-10-19,,902-485-4724,donald.parker@munpict.ca,https://munpict.ca/council/council/district-7/,https://munpict.ca/assets/MUNPICT24_Parker_Donnie_6052__ResizedImageWzMwMCwzNzVd.jpg,https://munpict.ca/council/council/,2026-06-14,donald-parker
aeec0778-4dcc-56cb-bc35-54124761a32a,district,District 8,District 8,,Larry,Turner,representative,Councillor,,2024-10-19,,902-921-1227,larry.turner@munpict.ca,https://munpict.ca/council/council/district-8-coun-larry-turner/,https://munpict.ca/assets/MUNPICT24_Turner_Larry_6027__ResizedImageWzMwMCwzNzVd.jpg,https://munpict.ca/council/council/,2026-06-14,larry-turner
fcefa1f2-f1ee-5ba9-93a9-255b18f7b4dc,district,District 9,District 9,,Peter,Boyles,representative,Councillor,,2024-10-19,,902-759-7976,peter.boyles@munpict.ca,https://munpict.ca/council/council/district-9-coun/,https://munpict.ca/assets/MUNPICT24_Boyles_Peter_5992-v2__ResizedImageWzMwMCwzNzVd.jpg,https://munpict.ca/council/council/,2026-06-14,peter-boyles
c1fcff05-14c6-5ccd-96a1-69bf570125f3,district,District 10,District 10,,Randy,Palmer,representative,Councillor,,2024-10-19,,902-922-2277,randy.palmer@munpict.ca,https://munpict.ca/council/council/district-10-coun-randy-palmer/,https://munpict.ca/assets/MUNPICT24_Palmer_Randy_6058-v3__ResizedImageWzMwMCwzNzVd.jpg,https://munpict.ca/council/council/,2026-06-14,randy-palmer
11ac52fd-da78-5dde-a029-d10ca3f21054,district,District 11,District 11,,Andy,Thompson,representative,Councillor,,2024-10-19,,902-754-0101,andy.thompson@munpict.ca,https://munpict.ca/council/council/district-11-coun-andy-thompson/,https://munpict.ca/assets/MUNPICT24_Thompson_Andy_6122__ResizedImageWzMwMCwzNzVd.jpg,https://munpict.ca/council/council/,2026-06-14,andy-thompson
0517d89c-b115-5493-83d8-6b87227afcc3,district,District 12,District 12,,Chester,Dewar,representative,Councillor,,2024-10-19,,902-923-2931,chester.dewar@munpict.ca,https://munpict.ca/council/council/district-12-coun-chester-dewar/,https://munpict.ca/assets/MUNPICT24_DeWar_Chester_6091__ResizedImageWzMwMCwzNzVd.jpg,https://munpict.ca/council/council/,2026-06-14,chester-dewar
b645be81-d181-5d34-9a31-b0c9f9c95264,role,,,,Robert,Parker,executive,Warden,,,,902-925-2240,robert.parker@munpict.ca,https://munpict.ca/council/council/district-5/,https://munpict.ca/assets/MUNPICT24_Parker_Robert_6157-3b-v3__ResizedImageWzMwMCwzMDBd.jpg,https://munpict.ca/council/council/,2026-06-14,robert-parker-2
