uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
d365f0f9-948a-5e3b-9af5-aee769fb417a,district,District 1,Walton - Cogmagun - Upper Burlington,,Rupert,Jannasch,representative,Councillor,,,,902-633-2358,councillor.jannasch@westhants.ca,https://www.westhants.ca/mayor-and-council.html,https://www.westhants.ca/images/government/council/Rupert_Jannasch.jpg,https://www.westhants.ca/mayor-and-council.html,2026-06-14,rupert-jannasch
ab8c0225-53a3-5f0a-84cc-05a70529a7c9,district,District 2,Mosherville - Avondale - Greenhill,,Scott,McLean,representative,Councillor,,,,902-790-3100,councillor.mclean@westhants.ca,https://www.westhants.ca/mayor-and-council.html,https://www.westhants.ca/images/government/council/Scott_McLean.jpg,https://www.westhants.ca/mayor-and-council.html,2026-06-14,scott-mclean
428fd145-7b34-58f0-ba18-03b59f58095c,district,District 3,"MacKay Sect., Wentworth Creek, Gypsum Mines, Newport",,Chrystal,Remme,representative,Councillor,,,,902-300-2356,councillor.remme@westhants.ca,https://www.westhants.ca/mayor-and-council.html,https://www.westhants.ca/images/government/council/Chrystal_Remme.jpg,https://www.westhants.ca/mayor-and-council.html,2026-06-14,chrystal-remme
ae43121d-b5c9-5c34-b4ab-d0b77392e49a,district,District 4,St. Croix - Hillsvale - Ellershouse,,Paul,Wheadon,representative,Councillor,,,,902-799-0009,councillor.wheadon@westhants.ca,https://www.westhants.ca/mayor-and-council.html,https://www.westhants.ca/images/government/council/Paul_Wheadon.jpg,https://www.westhants.ca/mayor-and-council.html,2026-06-14,paul-wheadon
6e1a1e70-658e-5b71-91f5-e640aa2341f3,district,District 5,"Newport Station, Three Mile Plains, Mill Section",,Debbie,Francis,representative,Councillor,,,,902-790-1885,councillor.francis@westhants.ca,https://www.westhants.ca/mayor-and-council.html,https://www.westhants.ca/images/government/council/Debbie_Francis.jpg,https://www.westhants.ca/mayor-and-council.html,2026-06-14,debbie-francis
47994da1-840a-598c-ac73-7c7976aa252b,district,District 6,Garlands Crossing - Currys Corner - Martock,,Bob,Morton,representative,Councillor,,,,902-790-6490,councillor.bmorton@westhants.ca,https://www.westhants.ca/mayor-and-council.html,https://www.westhants.ca/images/government/council/Bob_Morton.jpg,https://www.westhants.ca/mayor-and-council.html,2026-06-14,bob-morton
271ee944-25d3-566a-8b72-a9d5aea211c3,district,District 7,Vaughan - Upper Falmouth,,Kayla,Leary-Pinch,representative,Councillor,,,,902-799-0447,councillor.leary-pinch@westhants.ca,https://www.westhants.ca/mayor-and-council.html,https://www.westhants.ca/images/government/council/Kayla_Leary-Pinch.jpg,https://www.westhants.ca/mayor-and-council.html,2026-06-14,kayla-leary-pinch
135a5276-3118-5120-945e-4bcee84d8deb,district,District 8,"Hantsport, Mount Denson, Falmouth, Bishopville",,Paul,Morton,representative,Councillor,,,,902-684-9415,councillor.pmorton@westhants.ca,https://www.westhants.ca/mayor-and-council.html,https://www.westhants.ca/images/government/council/Paul_Morton.jpg,https://www.westhants.ca/mayor-and-council.html,2026-06-14,paul-morton
ffee8684-614d-56f2-a66c-8562ce900730,district,District 9,Falmouth,,John A.,Smith,representative,Councillor,,,,902-790-4790,councillor.jsmith@westhants.ca,https://www.westhants.ca/mayor-and-council.html,https://www.westhants.ca/images/government/council/John_Smith.jpg,https://www.westhants.ca/mayor-and-council.html,2026-06-14,john-a-smith
4a2c9a9b-2936-5717-afc0-920f2f21735f,district,District 10,North Windsor,,Bonnie,Smith,representative,Councillor,,,,902-790-2209,councillor.bsmith@westhants.ca,https://www.westhants.ca/mayor-and-council.html,https://www.westhants.ca/images/government/council/Bonnie_Smith.jpg,https://www.westhants.ca/mayor-and-council.html,2026-06-14,bonnie-smith
5c00231c-7333-5f20-9bc0-2f988657fea1,district,District 11,South Windsor,,Jim,Ivey,representative,Councillor,,,,902-791-0371,councillor.ivey@westhants.ca,https://www.westhants.ca/mayor-and-council.html,https://www.westhants.ca/images/government/council/Jim_Ivey.jpg,https://www.westhants.ca/mayor-and-council.html,2026-06-14,jim-ivey
93787784-6520-5324-a2f6-415a3419bfbc,role,,,,Abraham,Zebian,executive,Mayor,,,,902-790-1566,mayor.zebian@westhants.ca,https://www.westhants.ca/mayor-and-council.html,https://www.westhants.ca/images/government/council/Abraham_Zebian.jpg,https://www.westhants.ca/mayor-and-council.html,2026-06-14,abraham-zebian
