uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
a9c9e40d-23a5-5b5f-abd1-8782b79cd879,district,SOUTH BAFFIN,South Baffin,Hon.,David,Joanasie,representative,Member of the Legislative Assembly,,2025-10-27,2029-10-27,(867) 975-5014,djoanasie@assembly.nu.ca,https://www.assembly.nu.ca/node/2669,https://www.assembly.nu.ca/sites/default/files/styles/member_image/public/Leg%20Portrait-330-Edit%20copy.jpg?itok=k0W7xWFY,https://www.assembly.nu.ca/node/2669,2026-06-03,david-joanasie
1ca883f2-5117-5e33-ae80-5b7f5d60b141,district,ARVIAT NORTH-WHALE COVE,Arviat North-Whale Cove,Hon.,John,Main,representative,Member of the Legislative Assembly,,2025-10-27,2029-10-27,867-975-5050,jmain7@gov.nu.ca,https://www.assembly.nu.ca/node/6485,https://www.assembly.nu.ca/sites/default/files/styles/member_image/public/Minister%20Main%20Portrait-083-Edit%20copy_2.jpg?itok=iWdet3J6,https://www.assembly.nu.ca/node/6485,2026-06-03,john-main
94fc97cb-9195-54ae-9468-a457e6f53ad7,district,IQALUIT-MANIRAJAK,Iqaluit-Manirajak,Hon. Dr.,Gwen,Healey Akearok,representative,Member of the Legislative Assembly,,2025-10-27,2029-10-27,(867) 975-5020,ghealeyakearok7@gov.nu.ca,https://www.assembly.nu.ca/node/6489,https://www.assembly.nu.ca/sites/default/files/styles/member_image/public/Leg%20Portrait-241-Edit%20copy.jpg?itok=ZV561fCK,https://www.assembly.nu.ca/node/6489,2026-06-03,gwen-healey-akearok
a6bfbceb-ce3c-58f7-bf7a-902fb97131b6,district,IQALUIT-NIAQUNNGUU,Iqaluit-Niaqunnguu,Hon.,David,Akeeagok,representative,Member of the Legislative Assembly,,2025-10-27,2029-10-27,(867) 975-5026,dakeeagok7@gov.nu.ca,https://www.assembly.nu.ca/node/9703,https://www.assembly.nu.ca/sites/default/files/styles/member_image/public/Leg%20Portrait-092-Edit%20copy.jpg?itok=pRvZ6B4I,https://www.assembly.nu.ca/node/9703,2026-06-03,david-akeeagok
1954da09-6509-53f4-9d17-e74f2fa01105,district,IQALUIT-SINAA,Iqaluit-Sinaa,Hon.,Janet Pitsiulaaq,Brewster,representative,Member of the Legislative Assembly,,2025-10-27,2029-10-27,(867) 975-5151,jbrewster7@gov.nu.ca,https://www.assembly.nu.ca/node/9716,https://www.assembly.nu.ca/sites/default/files/styles/member_image/public/Leg%20Portrait-418-Edit%20copy.jpg?itok=SMUwnXbu,https://www.assembly.nu.ca/node/9716,2026-06-03,janet-pitsiulaaq-brewster
01978608-2595-5230-a42d-42e2ff9a9fac,district,IQALUIT-TASILUK,Iqaluit-Tasiluk,Hon.,George,Hickes,representative,Member of the Legislative Assembly,,2025-10-27,2029-10-27,(867) 975-5023,ghickes7@gov.nu.ca,https://www.assembly.nu.ca/node/2668,https://www.assembly.nu.ca/sites/default/files/styles/member_image/public/Leg%20Portrait-352-Edit%20copy.jpg?itok=NAfl65-2,https://www.assembly.nu.ca/node/2668,2026-06-03,george-hickes
0e9d5684-0e24-553b-8ded-23c998ac5490,district,TUNUNIQ,Tununiq,Hon.,Brian,Koonoo,representative,Member of the Legislative Assembly,,2025-10-27,2029-10-27,(867) 975-5074,bkoonoo7@gov.nu.ca,https://www.assembly.nu.ca/node/9717,https://www.assembly.nu.ca/sites/default/files/styles/member_image/public/Leg%20Portrait-266-Edit%20copy.jpg?itok=teOcAurs,https://www.assembly.nu.ca/node/9717,2026-06-03,brian-koonoo
eac9532b-563b-5f60-9023-5b15993bd7d5,district,NETSILIK,Netsilik,Hon.,Cecile Nelvana,Lyall,representative,Member of the Legislative Assembly,,2025-10-27,2029-10-27,(867) 975-5028,clyall7@gov.nu.ca,https://www.assembly.nu.ca/node/9715,https://www.assembly.nu.ca/sites/default/files/styles/member_image/public/Leg%20Portrait-538-Edit%20copy.jpg?itok=31Pxup12,https://www.assembly.nu.ca/node/9715,2026-06-03,cecile-nelvana-lyall
028bd4c9-865a-5a4a-954a-dc8b31373f86,district,BAKER LAKE,Baker Lake,Hon.,Craig,Simailak,representative,Member of the Legislative Assembly,,2025-10-27,2029-10-27,(867) 793-4949,csimailak7@gov.nu.ca,https://www.assembly.nu.ca/node/10921,https://www.assembly.nu.ca/sites/default/files/styles/member_image/public/Legislative%20new%20MLA-376-Edit%20copy.jpg?itok=UPKYXN8Y,https://www.assembly.nu.ca/node/10921,2026-06-03,craig-simailak
7d04bd94-4d2f-58de-8d99-d84fea6c3ca3,district,RANKIN INLET SOUTH,Rankin Inlet South,Hon.,Annie,Tattuinee,representative,Member of the Legislative Assembly,,2025-10-27,2029-10-27,(867) 975-5070,atattuinee7@gov.nu.ca,https://www.assembly.nu.ca/node/6495,https://www.assembly.nu.ca/sites/default/files/styles/member_image/public/Annie%20Tattuinee.jpg?itok=V2wTlMV9,https://www.assembly.nu.ca/node/6495,2026-06-03,annie-tattuinee
d8c7f8bb-b188-5b16-9e37-01dea3952fda,district,AIVILIK,Aivilik,,Hannah,Angootealuk,representative,Member of the Legislative Assembly,,2025-10-27,2029-10-27,(867) 975-5035,HAngootealuk@assembly.nu.ca,https://www.assembly.nu.ca/node/9691,https://www.assembly.nu.ca/sites/default/files/styles/member_image/public/Hannah%20Angootealuk.jpg?itok=lFUw3rf1,https://www.assembly.nu.ca/node/9691,2026-06-03,hannah-angootealuk
