uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
40faabb8-4cee-5899-ae8b-4010075fbf9a,district,Bay of Quinte,Bay of Quinte,,Tyler,Allsopp,representative,Member of Provincial Parliament,Progressive Conservative Party of Ontario,,,613-962-1144,tyler.allsopp@pc.ola.org,https://www.ola.org/en/members/all/tyler-allsopp,https://www.ola.org/sites/default/files/member/profile-photo/Tyler_Allsopp.jpeg,https://www.ola.org/en/members/all/tyler-allsopp,2026-05-22,tyler-allsopp
f8091be1-f8f2-5467-b123-8d7925c8d4d1,district,Mississauga—Malton,Mississauga—Malton,,Deepak,Anand,representative,Member of Provincial Parliament,Progressive Conservative Party of Ontario,,,905-696-0367,deepak.anandco@pc.ola.org,https://www.ola.org/en/members/all/deepak-anand,https://www.ola.org/sites/default/files/member/profile-photo/Deepak-Anand.jpg,https://www.ola.org/en/members/all/deepak-anand,2026-05-22,deepak-anand
a20fdf44-8d3b-5f03-a714-d7f14f9c397a,district,London—Fanshawe,London—Fanshawe,,Teresa J.,Armstrong,representative,Member of Provincial Parliament,New Democratic Party of Ontario,,,519-668-1104,tarmstrong-co@ndp.on.ca,https://www.ola.org/en/members/all/teresa-j-armstrong,https://www.ola.org/sites/default/files/member/profile-photo/teresa_armstrong_0.jpg,https://www.ola.org/en/members/all/teresa-j-armstrong,2026-05-22,teresa-j-armstrong
a5c6a723-a541-5dae-abe4-f7b497a5dc18,district,Scarborough—Agincourt,Scarborough—Agincourt,,Aris,Babikian,representative,Member of Provincial Parliament,Progressive Conservative Party of Ontario,,,416-297-6568,aris.babikian@pc.ola.org,https://www.ola.org/en/members/all/aris-babikian,https://www.ola.org/sites/default/files/member/profile-photo/aris_babikian_.jpg,https://www.ola.org/en/members/all/aris-babikian,2026-05-22,aris-babikian
c7fcc81a-4a3c-5cbd-9d6b-7ee39f7c4ea7,district,Sarnia—Lambton,Sarnia—Lambton,,Robert,Bailey,representative,Member of Provincial Parliament,Progressive Conservative Party of Ontario,,,519-337-0051,bob.bailey@pc.ola.org,https://www.ola.org/en/members/all/robert-bailey,https://www.ola.org/sites/default/files/member/profile-photo/bob_bailey_0.jpg,https://www.ola.org/en/members/all/robert-bailey,2026-05-22,robert-bailey
5a22b658-be0e-5e66-8c7a-155cf0861627,district,University—Rosedale,University—Rosedale,,Jessica,Bell,representative,Member of Provincial Parliament,New Democratic Party of Ontario,,,416-535-7206,jbell-qp@ndp.on.ca,https://www.ola.org/en/members/all/jessica-bell,https://www.ola.org/sites/default/files/member/profile-photo/jessica_bell.jpg,https://www.ola.org/en/members/all/jessica-bell,2026-05-22,jessica-bell
602d0024-e44a-53c5-915b-41b8d640ceab,district,Pickering—Uxbridge,Pickering—Uxbridge,Hon.,Peter,Bethlenfalvy,representative,Member of Provincial Parliament,Progressive Conservative Party of Ontario,,,905-509-0336,peter.bethlenfalvy@pc.ola.org,https://www.ola.org/en/members/all/peter-bethlenfalvy,https://www.ola.org/sites/default/files/member/profile-photo/peter_bethlenfalvy.jpg,https://www.ola.org/en/members/all/peter-bethlenfalvy,2026-05-22,peter-bethlenfalvy
495ee5cf-aa5e-5722-9bf7-4e7cc718e2fd,district,Orléans,Orléans,,Stephen,Blais,representative,Member of Provincial Parliament,Ontario Liberal Party,,,613-834-8679,sblais.mpp.co@liberal.ola.org,https://www.ola.org/en/members/all/stephen-blais,https://www.ola.org/sites/default/files/member/profile-photo/Stephen_Blais.jpg,https://www.ola.org/en/members/all/stephen-blais,2026-05-22,stephen-blais
b44f40f5-630a-5c0b-a483-4e699701f879,district,Brantford—Brant,Brantford—Brant,,Will,Bouma,representative,Member of Provincial Parliament,Progressive Conservative Party of Ontario,,,519-759-0361,will.bouma@pc.ola.org,https://www.ola.org/en/members/all/will-bouma,https://www.ola.org/sites/default/files/member/profile-photo/will_bouma.jpg,https://www.ola.org/en/members/all/will-bouma,2026-05-22,will-bouma
6fbeb6ad-3dda-50fc-9e8d-5c92120a2117,district,Mushkegowuk—James Bay,Mushkegowuk—James Bay,,Guy,Bourgouin,representative,Member of Provincial Parliament,New Democratic Party of Ontario,,,705-372-6400,,https://www.ola.org/en/members/all/guy-bourgouin,https://www.ola.org/sites/default/files/member/profile-photo/Guy_Bourgouin.jpg,https://www.ola.org/en/members/all/guy-bourgouin,2026-05-22,guy-bourgouin
