uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
a4d11ed6-d814-5cae-aa44-68cb1c0e7063,district,1,Ward 1,,Jennifer,Kyle,representative,Councillor,,,,519.242.0898,jennifer.kyle@brant.ca,https://www.brant.ca/council-and-county-administration/council-and-committees/mayor-and-councillors/,https://www.brant.ca/media/3pcntfiy/2026-council.jpg,https://www.brant.ca/council-and-county-administration/council-and-committees/mayor-and-councillors/,2026-05-28,jennifer-kyle
dfa39536-9adf-5c9a-87ee-b1d3faf5a04e,district,1,Ward 1,,John,MacAlpine,representative,Councillor,,,,519.757.9359,john.macalpine@brant.ca,https://www.brant.ca/council-and-county-administration/council-and-committees/mayor-and-councillors/,https://www.brant.ca/media/3pcntfiy/2026-council.jpg,https://www.brant.ca/council-and-county-administration/council-and-committees/mayor-and-councillors/,2026-05-28,john-macalpine
a963a065-752a-5148-a8e2-e369d24c7fb5,district,2,Ward 2,,Steve,Howes,representative,Councillor,,,,519.442.4955,steve.howes@brant.ca,https://www.brant.ca/council-and-county-administration/council-and-committees/mayor-and-councillors/,https://www.brant.ca/media/3pcntfiy/2026-council.jpg,https://www.brant.ca/council-and-county-administration/council-and-committees/mayor-and-councillors/,2026-05-28,steve-howes
3f2002a7-140d-5fd4-bd4f-5e791c29f784,district,2,Ward 2,,Lukas,Oakley,representative,Councillor,,,,226.387.9763,lukas.oakley@brant.ca,https://www.brant.ca/council-and-county-administration/council-and-committees/mayor-and-councillors/,https://www.brant.ca/media/3pcntfiy/2026-council.jpg,https://www.brant.ca/council-and-county-administration/council-and-committees/mayor-and-councillors/,2026-05-28,lukas-oakley
b619964d-da10-5f93-8284-9d65010ca5e4,district,3,Ward 3,,John,Bell,representative,Councillor,,,,519.209.2277,john.bell@brant.ca,https://www.brant.ca/council-and-county-administration/council-and-committees/mayor-and-councillors/,https://www.brant.ca/media/3pcntfiy/2026-council.jpg,https://www.brant.ca/council-and-county-administration/council-and-committees/mayor-and-councillors/,2026-05-28,john-bell
8f277466-dac9-5709-92d1-6b6171849cab,district,3,Ward 3,,John,Peirce,representative,Councillor,,,,519.442.7134,john.peirce@brant.ca,https://www.brant.ca/council-and-county-administration/council-and-committees/mayor-and-councillors/,https://www.brant.ca/media/3pcntfiy/2026-council.jpg,https://www.brant.ca/council-and-county-administration/council-and-committees/mayor-and-councillors/,2026-05-28,john-peirce
914a972f-4601-5832-bde7-ee53174dca98,district,4,Ward 4,,Robert,Chambers,representative,Councillor,,,,519.449.2633,robert.chambers@brant.ca,https://www.brant.ca/council-and-county-administration/council-and-committees/mayor-and-councillors/,https://www.brant.ca/media/3pcntfiy/2026-council.jpg,https://www.brant.ca/council-and-county-administration/council-and-committees/mayor-and-councillors/,2026-05-28,robert-chambers
36d58a14-de8e-5876-885e-a0416a3a7e48,district,4,Ward 4,,David,Miller,representative,Councillor,,,,519.449.1240,david.miller@brant.ca,https://www.brant.ca/council-and-county-administration/council-and-committees/mayor-and-councillors/,https://www.brant.ca/media/3pcntfiy/2026-council.jpg,https://www.brant.ca/council-and-county-administration/council-and-committees/mayor-and-councillors/,2026-05-28,david-miller
0550e0f5-1fd5-547a-8fbd-6d214f0bb8b5,district,5,Ward 5,,Brian,Coleman,representative,Councillor,,,,519.755.9233,brianatbridgeview@gmail.com,https://www.brant.ca/council-and-county-administration/council-and-committees/mayor-and-councillors/,https://www.brant.ca/media/3pcntfiy/2026-council.jpg,https://www.brant.ca/council-and-county-administration/council-and-committees/mayor-and-councillors/,2026-05-28,brian-coleman
8e3bc425-cbba-5aa3-92b6-b1a5c7caa23f,district,5,Ward 5,,Ella,Haley,representative,Councillor,,,,226.802.2801,ella.haley@brant.ca,https://www.brant.ca/council-and-county-administration/council-and-committees/mayor-and-councillors/,https://www.brant.ca/media/3pcntfiy/2026-council.jpg,https://www.brant.ca/council-and-county-administration/council-and-committees/mayor-and-councillors/,2026-05-28,ella-haley
ffa147d7-212b-55ee-babe-fd1504fd2b9f,role,,,,David,Bailey,executive,Mayor,,,,226-387-2490,david.bailey@brant.ca,https://www.brant.ca/council-and-county-administration/council-and-committees/mayor-and-councillors/,https://www.brant.ca/media/muqd2clt/mayor-david-bailey.jpg,https://www.brant.ca/council-and-county-administration/council-and-committees/mayor-and-councillors/,2026-05-28,david-bailey
