uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
5093c419-93de-562d-82c9-d53898a9ee92,district,1,Ward 1,,Helen,Shwery,representative,Councillor,,,,519-513-7046,shweryh@cambridge.ca,https://www.cambridge.ca/mayor-city-council-government/mayor-council/city-council-members/,https://www.cambridge.ca/media/finhhyzs/helen-shwery.jpg?rmode=max&width=253&height=316,https://www.cambridge.ca/mayor-city-council-government/mayor-council/city-council-members/,2026-06-02,helen-shwery
f6c934aa-0c80-5555-8c31-d967c0fefbbc,district,2,Ward 2,,Mike,Devine,representative,Councillor,,,,519-513-7036,devinem@cambridge.ca,https://www.cambridge.ca/mayor-city-council-government/mayor-council/city-council-members/,https://www.cambridge.ca/media/cgxdue0y/_pp_7570crop.jpg?rmode=max&width=250&height=312,https://www.cambridge.ca/mayor-city-council-government/mayor-council/city-council-members/,2026-06-02,mike-devine
4b562264-a179-57e3-b60f-b69a74e75a1c,district,3,Ward 3,,Corey,Kimpson,representative,Councillor,,,,519-513-7041,kimpsonc@cambridge.ca,https://www.cambridge.ca/mayor-city-council-government/mayor-council/city-council-members/,https://www.cambridge.ca/media/fr0fdaix/_pp_6849crop.jpg?rmode=max&width=250&height=313,https://www.cambridge.ca/mayor-city-council-government/mayor-council/city-council-members/,2026-06-02,corey-kimpson
6464b508-b73c-5bdb-9960-75b7a4b7686a,district,4,Ward 4,,Ross,Earnshaw,representative,Councillor,,,,519-513-7038,earnshawr@cambridge.ca,https://www.cambridge.ca/mayor-city-council-government/mayor-council/city-council-members/,https://www.cambridge.ca/media/ko2oh5pu/_pp_7129crop.jpg?rmode=max&width=218&height=273,https://www.cambridge.ca/mayor-city-council-government/mayor-council/city-council-members/,2026-06-02,ross-earnshaw
82418744-9cd8-5fd4-ba04-02fba73f94bd,district,5,Ward 5,,Sheri,Roberts,representative,Councillor,,,,519-513-7045,robertss@cambridge.ca,https://www.cambridge.ca/mayor-city-council-government/mayor-council/city-council-members/,https://www.cambridge.ca/media/hxlibyaz/_pp_7650crop.jpg?rmode=max&width=256&height=320,https://www.cambridge.ca/mayor-city-council-government/mayor-council/city-council-members/,2026-06-02,sheri-roberts
dc9b4e7c-71c0-584d-bc52-660800912665,district,6,Ward 6,,Adam,Cooper,representative,Councillor,,,,519-513-7035,coopera@cambridge.ca,https://www.cambridge.ca/mayor-city-council-government/mayor-council/city-council-members/,https://www.cambridge.ca/media/ubcnkz4x/_pp_7487crop.jpg?rmode=max&width=249&height=312,https://www.cambridge.ca/mayor-city-council-government/mayor-council/city-council-members/,2026-06-02,adam-cooper
617c3360-e3f4-52ca-8330-9b9c7ad65400,district,7,Ward 7,,Scott,Hamilton,representative,Councillor,,,,519-513-7040,hamiltons@cambridge.ca,https://www.cambridge.ca/mayor-city-council-government/mayor-council/city-council-members/,https://www.cambridge.ca/media/5jrd0lng/_pp_7795crop-copy.jpg?rmode=max&width=252&height=315,https://www.cambridge.ca/mayor-city-council-government/mayor-council/city-council-members/,2026-06-02,scott-hamilton
f95140c3-e1d9-55d2-9993-1b758f8dcf78,district,8,Ward 8,,Nicholas,Ermeta,representative,Councillor,,,,519-513-7039,ermetan@cambridge.ca,https://www.cambridge.ca/mayor-city-council-government/mayor-council/city-council-members/,https://www.cambridge.ca/media/0xaf4k0c/_pp_7320crop.jpg?rmode=max&width=250&height=313,https://www.cambridge.ca/mayor-city-council-government/mayor-council/city-council-members/,2026-06-02,nicholas-ermeta
74acd396-83e7-541a-8353-c4b3995907cc,role,,,,Doug,Craig,misc,Regional Councillor,,,,519-575-4404 ext. 3402,DougCraig@regionofwaterloo.ca,https://www.regionofwaterloo.ca/government-and-council/council/council-members/councillor-doug-craig/,https://www.regionofwaterloo.ca/media/2lbfdwo0/d-craig.jpg,https://www.regionofwaterloo.ca/government-and-council/council/council-members/councillor-doug-craig/,2026-06-02,doug-craig
a68a5a4f-5ee6-594e-a866-f6cb08e142f3,role,,,,Pam,Wolf,misc,Regional Councillor,,,,519-575-4404 ext. 3413,PWolf@regionofwaterloo.ca,https://www.regionofwaterloo.ca/government-and-council/council/council-members/councillor-pam-wolf/,https://www.regionofwaterloo.ca/media/v20jhv0e/p-wolf.jpg,https://www.regionofwaterloo.ca/government-and-council/council/council-members/councillor-pam-wolf/,2026-06-02,pam-wolf
53b02951-d001-58f2-90dd-96c74f82c078,role,,,,Jan,Liggett,executive,Mayor,,2022-11-15,,519-740-4517,mayor@cambridge.ca,https://www.cambridge.ca/mayor-city-council-government/mayor-council/city-council-members/mayor-jan-liggett/,https://www.cambridge.ca/media/eqeaawda/dsc01681.jpg,https://www.cambridge.ca/mayor-city-council-government/mayor-council/city-council-members/mayor-jan-liggett/,2026-06-02,jan-liggett
