uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
c74346a0-9de6-5825-bfad-3cec6d8be2ef,district,1,Ward 1,,Lauren,Anderson,representative,Councillor,,,,226-229-2079,lauren.anderson@chatham-kent.ca,https://www.chatham-kent.ca/localgovernment/councillors/Pages/Lauren-Anderson.aspx,https://www.chatham-kent.ca/localgovernment/councillors/PublishingImages/Lauren%20Anderson.jpg?RenditionID=7,https://www.chatham-kent.ca/localgovernment/councillors/Pages/Lauren-Anderson.aspx,2026-05-29,lauren-anderson
808130a1-dc2c-5d35-94c2-2ba11d34929b,district,1,Ward 1,,Melissa,Harrigan,representative,Councillor,,,,519-350-8254,melissa.harrigan@chatham-kent.ca,https://www.chatham-kent.ca/localgovernment/councillors/Pages/Melissa-Harrigan.aspx,https://www.chatham-kent.ca/localgovernment/councillors/PublishingImages/Melissa%20Harrigan.jpg?RenditionID=7,https://www.chatham-kent.ca/localgovernment/councillors/Pages/Melissa-Harrigan.aspx,2026-05-29,melissa-harrigan
2e7e654e-b419-5317-9254-32c438db1d03,district,2,Ward 2,,Ryan,Doyle,representative,Councillor,,,,226-229-2543,ryan.doyle@chatham-kent.ca,https://www.chatham-kent.ca/localgovernment/councillors/Pages/Ryan-Doyle.aspx,https://www.chatham-kent.ca/localgovernment/councillors/PublishingImages/Ryan%20Doyle.jpg?RenditionID=7,https://www.chatham-kent.ca/localgovernment/councillors/Pages/Ryan-Doyle.aspx,2026-05-29,ryan-doyle
a5fd7d0b-6bd2-5e2d-942b-5ed7c78d6450,district,2,Ward 2,,Trevor,Thompson,representative,Councillor,,,,519-350-3715,trevor.thompson@chatham-kent.ca,https://www.chatham-kent.ca/localgovernment/councillors/Pages/Trevor-Thompson.aspx,https://www.chatham-kent.ca/localgovernment/councillors/PublishingImages/Trevor%20Thompson.jpg?RenditionID=7,https://www.chatham-kent.ca/localgovernment/councillors/Pages/Trevor-Thompson.aspx,2026-05-29,trevor-thompson
d1390cc8-5b3b-5ef6-a4c2-80be83cd9f9d,district,2,Ward 2,,Anthony,Ceccacci,representative,Councillor,,,,519-436-3206,anthony.ceccacci@chatham-kent.ca,https://www.chatham-kent.ca/localgovernment/councillors/Pages/Anthony-Ceccacci.aspx,https://www.chatham-kent.ca/localgovernment/councillors/PublishingImages/Anthony%20Ceccacci.jpg?RenditionID=7,https://www.chatham-kent.ca/localgovernment/councillors/Pages/Anthony-Ceccacci.aspx,2026-05-29,anthony-ceccacci
961e400d-650b-58ca-b36f-9bb8427b1ea0,district,3,Ward 3,,John,Wright,representative,Councillor,,,,519-436-3252,john.wright@chatham-kent.ca,https://www.chatham-kent.ca/localgovernment/councillors/Pages/John-Wright.aspx,https://www.chatham-kent.ca/localgovernment/councillors/PublishingImages/John%20Wright.jpg?RenditionID=7,https://www.chatham-kent.ca/localgovernment/councillors/Pages/John-Wright.aspx,2026-05-29,john-wright
e1e99e86-fdf9-5e93-bccb-36d882d80b62,district,4,Ward 4,,Jamie,McGrail,representative,Councillor,,,,519-436-3221,jamie.mcgrail@chatham-kent.ca,https://www.chatham-kent.ca/localgovernment/councillors/Pages/Jamie-McGrail.aspx,https://www.chatham-kent.ca/localgovernment/councillors/PublishingImages/Jamie%20McGrail.jpg?RenditionID=7,https://www.chatham-kent.ca/localgovernment/councillors/Pages/Jamie-McGrail.aspx,2026-05-29,jamie-mcgrail
8567be5f-3bbb-5525-a3b9-7c42e09d18f6,district,4,Ward 4,,Rhonda,Jubenville,representative,Councillor,,,,519-350-1306,rhonda.jubenville@chatham-kent.ca,https://www.chatham-kent.ca/localgovernment/councillors/Pages/Rhonda-Jubenville.aspx,https://www.chatham-kent.ca/localgovernment/councillors/PublishingImages/Rhonda%20Jubenville.jpg?RenditionID=7,https://www.chatham-kent.ca/localgovernment/councillors/Pages/Rhonda-Jubenville.aspx,2026-05-29,rhonda-jubenville
660fd905-f540-5e2d-b460-ab8d635076fe,district,5,Ward 5,,Aaron,Hall,representative,Councillor,,,,519-436-3229,aaron.hall@chatham-kent.ca,https://www.chatham-kent.ca/localgovernment/councillors/Pages/Aaron-Hall.aspx,https://www.chatham-kent.ca/localgovernment/councillors/PublishingImages/Aaron%20Hall.jpg?RenditionID=7,https://www.chatham-kent.ca/localgovernment/councillors/Pages/Aaron-Hall.aspx,2026-05-29,aaron-hall
ff774e8e-9732-541b-bb56-995851d26664,district,5,Ward 5,,Carmen,McGregor,representative,Councillor,,,,519-350-3659,carmen.mcgregor@chatham-kent.ca,https://www.chatham-kent.ca/localgovernment/councillors/Pages/Carmen-McGregor.aspx,https://www.chatham-kent.ca/localgovernment/councillors/PublishingImages/Carmen%20McGregor.jpg?RenditionID=7,https://www.chatham-kent.ca/localgovernment/councillors/Pages/Carmen-McGregor.aspx,2026-05-29,carmen-mcgregor
9a91a6c8-8d1f-52ec-9767-940e55a9bd06,district,6,Ward 6,,Conor,Allin,representative,Councillor,,,,519-350-5649,conor.allin@chatham-kent.ca,https://www.chatham-kent.ca/localgovernment/councillors/Pages/Conor-Allin.aspx,https://www.chatham-kent.ca/localgovernment/councillors/PublishingImages/Conor%20Allin.jpg?RenditionID=7,https://www.chatham-kent.ca/localgovernment/councillors/Pages/Conor-Allin.aspx,2026-05-29,conor-allin
ada9b999-ad12-58f9-9463-5f3a29579c23,district,6,Ward 6,,Alysson,Storey,representative,Councillor,,,,519-350-5689,alysson.storey@chatham-kent.ca,https://www.chatham-kent.ca/localgovernment/councillors/Pages/Alysson-Storey.aspx,https://www.chatham-kent.ca/localgovernment/councillors/PublishingImages/Alysson%20Storey.jpg?RenditionID=7,https://www.chatham-kent.ca/localgovernment/councillors/Pages/Alysson-Storey.aspx,2026-05-29,alysson-storey
79e64561-2ff6-5513-a292-0f33baee1309,district,6,Ward 6,,Amy,Finn,representative,Councillor,,,,519-436-3216,amy.finn@chatham-kent.ca,https://www.chatham-kent.ca/localgovernment/councillors/Pages/Amy-Finn.aspx,https://www.chatham-kent.ca/localgovernment/councillors/PublishingImages/Amy%20Finn.jpg?RenditionID=7,https://www.chatham-kent.ca/localgovernment/councillors/Pages/Amy-Finn.aspx,2026-05-29,amy-finn
18697f18-6770-5812-93bf-3d98725ad010,district,6,Ward 6,,Brock,McGregor,representative,Councillor,,,,519-350-2537,brock.mcgregor@chatham-kent.ca,https://www.chatham-kent.ca/localgovernment/councillors/Pages/Brock-McGregor.aspx,https://www.chatham-kent.ca/localgovernment/councillors/PublishingImages/Brock%20McGregor.jpg?RenditionID=7,https://www.chatham-kent.ca/localgovernment/councillors/Pages/Brock-McGregor.aspx,2026-05-29,brock-mcgregor
202a1ffa-8579-5c8a-a43e-5415c8b88197,district,6,Ward 6,,Marjorie,Crew,representative,Councillor,,,,519-436-3218,marjorie.crew@chatham-kent.ca,https://www.chatham-kent.ca/localgovernment/councillors/Pages/Marjorie-Crew.aspx,https://www.chatham-kent.ca/localgovernment/councillors/PublishingImages/Marjorie%20Crew.jpg?RenditionID=7,https://www.chatham-kent.ca/localgovernment/councillors/Pages/Marjorie-Crew.aspx,2026-05-29,marjorie-crew
a4916708-1b95-52c0-933d-ec24994a104a,district,6,Ward 6,,Michael,Bondy,representative,Councillor,,,,519-436-3246,michael.bondy@chatham-kent.ca,https://www.chatham-kent.ca/localgovernment/councillors/Pages/Michael-Bondy.aspx,https://www.chatham-kent.ca/localgovernment/councillors/PublishingImages/Michael%20Bondy.jpg?RenditionID=7,https://www.chatham-kent.ca/localgovernment/councillors/Pages/Michael-Bondy.aspx,2026-05-29,michael-bondy
