uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
8609b0cc-f58c-593c-b778-cc70d176e725,district,1.0,Ward 1,,Mark,Signoretti,representative,Councillor,,,,705-698-5579,mark.signoretti@greatersudbury.ca,https://www.greatersudbury.ca/city-hall/mayor-and-council/city-council/councillor-accordion/ward-1-mark-signoretti/,https://www.greatersudbury.ca/sites/sudburyen/assets/Council%20Photos/Councillor%20Signoretti.jpg,https://www.greatersudbury.ca/city-hall/mayor-and-council/city-council/councillor-accordion/ward-1-mark-signoretti/,2026-05-31,mark-signoretti
41f42cef-8131-564b-8112-f07acbc2acb5,district,2.0,Ward 2,,Eric,Benoit,representative,Councillor,,,,705-921-8073,eric.benoit@greatersudbury.ca,https://www.greatersudbury.ca/city-hall/mayor-and-council/city-council/councillor-accordion/ward-2-eric-benoit/,"https://www.greatersudbury.ca/sites/sudburyen/assets/Benoit,-Eric-SQUARE_WEB.jpg",https://www.greatersudbury.ca/city-hall/mayor-and-council/city-council/councillor-accordion/ward-2-eric-benoit/,2026-05-31,eric-benoit
81985b95-06a3-5473-be94-da4848fa1b66,district,3.0,Ward 3,,Michel,Brabant,representative,Councillor,,,,705-921-9788,michel.brabant@greatersudbury.ca,https://www.greatersudbury.ca/city-hall/mayor-and-council/city-council/councillor-accordion/ward-3-michel-brabant/,https://www.greatersudbury.ca/sites/sudburyen/assets/Council%20Photos/clr-Brabant-fotor-20240318144550.jpg,https://www.greatersudbury.ca/city-hall/mayor-and-council/city-council/councillor-accordion/ward-3-michel-brabant/,2026-05-31,michel-brabant
26700a8f-7876-5a4c-8676-4b358300f88d,district,4.0,Ward 4,,Pauline,Fortin,representative,Councillor,,,,249-377-8027,pauline.fortin@greatersudbury.ca,https://www.greatersudbury.ca/city-hall/mayor-and-council/city-council/councillor-accordion/ward-4-pauline-fortin/,https://www.greatersudbury.ca/sites/sudburyen/assets/Council%20Photos/Councillor%20Fortin.jpg,https://www.greatersudbury.ca/city-hall/mayor-and-council/city-council/councillor-accordion/ward-4-pauline-fortin/,2026-05-31,pauline-fortin
a9d782a0-d5c5-5854-b9f1-e1b5b8ed54c6,district,5.0,Ward 5,,Mike,Parent,representative,Councillor,,,,249-377-4476,mike.parent@greatersudbury.ca,https://www.greatersudbury.ca/city-hall/mayor-and-council/city-council/councillor-accordion/ward-5-mike-parent/,https://www.greatersudbury.ca/sites/sudburyen/assets/Council%20Photos/Councillor%20Parent.jpg,https://www.greatersudbury.ca/city-hall/mayor-and-council/city-council/councillor-accordion/ward-5-mike-parent/,2026-05-31,mike-parent
cded63cf-1dcc-5180-9aaa-dfc09748d1c7,district,6.0,Ward 6,,René,Lapierre,representative,Councillor,,,,705-923-5669,rene.lapierre@greatersudbury.ca,https://www.greatersudbury.ca/city-hall/mayor-and-council/city-council/councillor-accordion/ward-6-rene-lapierre/,https://www.greatersudbury.ca/sites/sudburyen/assets/Council%20Photos/Councillor%20Lapierre.jpg,https://www.greatersudbury.ca/city-hall/mayor-and-council/city-council/councillor-accordion/ward-6-rene-lapierre/,2026-05-31,rene-lapierre
d3e3edd6-77bd-5bea-aab3-0809dfd58645,district,7.0,Ward 7,,Natalie,Labbée,representative,Councillor,,,,705-919-3717,natalie.labbee@greatersudbury.ca,https://www.greatersudbury.ca/city-hall/mayor-and-council/city-council/councillor-accordion/ward-7-natalie-labbee/,https://www.greatersudbury.ca/sites/sudburyen/assets/7R405639SQUARE_WEB.jpg,https://www.greatersudbury.ca/city-hall/mayor-and-council/city-council/councillor-accordion/ward-7-natalie-labbee/,2026-05-31,natalie-labbee
a747d604-56ac-5ddd-9688-40b3a7dccf3f,district,8.0,Ward 8,,Al,Sizer,representative,Councillor,,,,705-592-2029,al.sizer@greatersudbury.ca,https://www.greatersudbury.ca/city-hall/mayor-and-council/city-council/councillor-accordion/ward-8-alsizer/,https://www.greatersudbury.ca/sites/sudburyen/assets/Council%20Photos/Councillor%20Sizer.jpg,https://www.greatersudbury.ca/city-hall/mayor-and-council/city-council/councillor-accordion/ward-8-alsizer/,2026-05-31,al-sizer
47bab2d5-97d8-5149-bea4-7c32526278bf,district,9.0,Ward 9,,Deb,McIntosh,representative,Councillor,,,,705-929-2517,deb.mcintosh@greatersudbury.ca,https://www.greatersudbury.ca/city-hall/mayor-and-council/city-council/councillor-accordion/ward-9-deb-mcintosh/,https://www.greatersudbury.ca/sites/sudburyen/assets/Council%20Photos/Councillor%20McIntosh.jpg,https://www.greatersudbury.ca/city-hall/mayor-and-council/city-council/councillor-accordion/ward-9-deb-mcintosh/,2026-05-31,deb-mcintosh
36ee8790-3d04-5cb5-8090-729075dd32df,district,10.0,Ward 10,,Fern,Cormier,representative,Councillor,,,,705-698-7407,fern.cormier@greatersudbury.ca,https://www.greatersudbury.ca/city-hall/mayor-and-council/city-council/councillor-accordion/ward-10-fern-cormier/,https://www.greatersudbury.ca/sites/sudburyen/assets/Image/CCFLS/Councillor%20Cormier.jpg,https://www.greatersudbury.ca/city-hall/mayor-and-council/city-council/councillor-accordion/ward-10-fern-cormier/,2026-05-31,fern-cormier
5a8d11b2-b66c-583a-96ea-2db5e270aa52,district,11.0,Ward 11,,Bill,Leduc,representative,Councillor,,,,705-665-5873,bill.leduc@greatersudbury.ca,https://www.greatersudbury.ca/city-hall/mayor-and-council/city-council/councillor-accordion/ward-11-bill-leduc/,https://www.greatersudbury.ca/sites/sudburyen/assets/Council%20Photos/Councillor%20Leduc.jpg,https://www.greatersudbury.ca/city-hall/mayor-and-council/city-council/councillor-accordion/ward-11-bill-leduc/,2026-05-31,bill-leduc
513c8b21-3b64-57b8-8d25-0f55fb2eb5ea,district,12.0,Ward 12,,Joscelyne,Landry-Altmann,representative,Councillor,,,,705-674-1212,joscelyne.landry-altmann@greatersudbury.ca,https://www.greatersudbury.ca/city-hall/mayor-and-council/city-council/councillor-accordion/ward-12-joscelyne-landry-altmann/,https://www.greatersudbury.ca/sites/sudburyen/assets/Council%20Photos/Councillor%20Landry-Altmann.jpg,https://www.greatersudbury.ca/city-hall/mayor-and-council/city-council/councillor-accordion/ward-12-joscelyne-landry-altmann/,2026-05-31,joscelyne-landry-altmann
