uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
e7450694-82fa-5f03-b613-ffe878895558,district,1,Ward 1,,Dan,Gibson,representative,Councillor,,,,519-827-6407,dan.gibson@guelph.ca,https://guelph.ca/city-government/mayor-and-council/city-council/#ward-1-councillors,https://guelph.ca/wp-content/uploads/Dan-Gibson-2023.jpg,https://guelph.ca/city-government/mayor-and-council/city-council/,2026-05-29,dan-gibson
2dfaf7d4-f9bd-515a-8e6a-e2c7fd72d2d7,district,1,Ward 1,,Erin,Caton,representative,Councillor,,,,226-821-3200,erin.caton@guelph.ca,https://guelph.ca/city-government/mayor-and-council/city-council/#ward-1-councillors,https://guelph.ca/wp-content/uploads/Councillor-Erin-Caton.jpg,https://guelph.ca/city-government/mayor-and-council/city-council/,2026-05-29,erin-caton
4ac64b88-bd80-5e85-866f-827c44beb61c,district,2,Ward 2,,Rodrigo,Goller,representative,Councillor,,,,226-821-1146,rodrigo.goller@guelph.ca,https://guelph.ca/city-government/mayor-and-council/city-council/#ward-2-councillors,https://guelph.ca/wp-content/uploads/rodrigo-goller-2023.jpg,https://guelph.ca/city-government/mayor-and-council/city-council/,2026-05-29,rodrigo-goller
535f36f7-c51e-578a-9dc5-f811b8c63c07,district,2,Ward 2,,Carly,Klassen,representative,Councillor,,,,226-332-1673,carly.klassen@guelph.ca,https://guelph.ca/city-government/mayor-and-council/city-council/#ward-2-councillors,https://guelph.ca/wp-content/uploads/Carly-Klassen.jpg,https://guelph.ca/city-government/mayor-and-council/city-council/,2026-05-29,carly-klassen
60693359-15a7-5fbb-a7b6-240d3d5ff888,district,3,Ward 3,,Phil,Allt,representative,Councillor,,,,519-827-6579,phil.allt@guelph.ca,https://guelph.ca/city-government/mayor-and-council/city-council/#ward-3-councillors,https://guelph.ca/wp-content/uploads/Phil-Allt-2023.jpg,https://guelph.ca/city-government/mayor-and-council/city-council/,2026-05-29,phil-allt
daab1072-a459-594b-8b64-12cbd8bc2f16,district,3,Ward 3,,Michele,Richardson,representative,Councillor,,,,226-332-4513,michele.richardson@guelph.ca,https://guelph.ca/city-government/mayor-and-council/city-council/#ward-3-councillors,https://guelph.ca/wp-content/uploads/Councillor-Michelle-Richardson.jpg,https://guelph.ca/city-government/mayor-and-council/city-council/,2026-05-29,michele-richardson
a5694280-58fc-537a-bb04-1b6b70be781e,district,4,Ward 4,,Linda,Busuttil,representative,Councillor,,,,,linda.busuttil@guelph.ca,https://guelph.ca/city-government/mayor-and-council/city-council/#ward-4-councillors,https://guelph.ca/wp-content/uploads/01-Linda-Busuttil-scaled-e1686080046266-1024x850.jpg,https://guelph.ca/city-government/mayor-and-council/city-council/,2026-05-29,linda-busuttil
b447c5e3-6b5b-5da6-bb2a-98674bb659fc,district,4,Ward 4,,Christine,Billings,representative,Councillor,,,,519-826-0567,christine.billings@guelph.ca,https://guelph.ca/city-government/mayor-and-council/city-council/#ward-4-councillors,https://guelph.ca/wp-content/uploads/Councillor-Christine-Billings-2023.jpg,https://guelph.ca/city-government/mayor-and-council/city-council/,2026-05-29,christine-billings
3a03ae4d-af80-5261-b424-88bd212d358c,district,5,Ward 5,,Leanne,Caron,representative,Councillor,,,,,leanne.caron@guelph.ca,https://guelph.ca/city-government/mayor-and-council/city-council/#ward-5-councillors,https://guelph.ca/wp-content/uploads/Councillor-Leanne-Caron-2023.jpg,https://guelph.ca/city-government/mayor-and-council/city-council/,2026-05-29,leanne-caron
d5b8e523-5d34-53d4-87c0-c4ae1957b68f,district,5,Ward 5,,Cathy,Downer,representative,Councillor,,,,519-827-8390,cathy.downer@guelph.ca,https://guelph.ca/city-government/mayor-and-council/city-council/#ward-5-councillors,https://guelph.ca/wp-content/uploads/Councillor-Cathy-Downer-2023.jpg,https://guelph.ca/city-government/mayor-and-council/city-council/,2026-05-29,cathy-downer
e25f27f0-c68e-5c17-a5b1-7971d0ce9bdc,district,6,Ward 6,,Ken,Yee Chew,representative,Councillor,,,,226-332-5406,ken.chew@guelph.ca,https://guelph.ca/city-government/mayor-and-council/city-council/#ward-6-councillors,https://guelph.ca/wp-content/uploads/Councillor-Ken-Yee-Chew.jpg,https://guelph.ca/city-government/mayor-and-council/city-council/,2026-05-29,ken-yee-chew
e8400bfc-b2a0-5b10-b62c-edfbf05fa0d6,district,6,Ward 6,,Katherine,Hauser,representative,Councillor,,,,,katherine.hauser@guelph.ca,https://guelph.ca/city-government/mayor-and-council/city-council/#ward-6-councillors,https://guelph.ca/wp-content/uploads/Councillor-Katherine-Hauser.jpg,https://guelph.ca/city-government/mayor-and-council/city-council/,2026-05-29,katherine-hauser
226d0bb6-5acf-50c6-aeac-7372441a1b19,role,,,,Cam,Guthrie,executive,Mayor,,2022-10-24,,519-837-5643,mayor@guelph.ca,https://guelph.ca/city-government/mayor-and-council/mayors-office/,https://guelph.ca/wp-content/uploads/mayor_guthrie.jpg,https://guelph.ca/city-government/mayor-and-council/mayors-office/,2026-05-29,cam-guthrie
