uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
07936f80-dd95-5ba1-8c3e-b89c5f0ac47a,district,1,Ward 1,,Maureen,Wilson,representative,Councillor,,,,905-546-2416,ward1@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-1,https://www.hamilton.ca/sites/default/files/styles/hero_lg/public/2022-11/Postcard-ClrMWilson2022.jpg.jpeg?h=1df8a340&itok=4Yg0YmEX,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-1,2026-05-20,maureen-wilson
e610b701-242d-513e-b24d-8f1efc051995,district,2,Ward 2,,Cameron,Kroetsch,representative,Councillor,,,,905-546-2197,ward2@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-2,https://www.hamilton.ca/sites/default/files/styles/hero_lg/public/2022-11/Postcard-ClrKroetsch2022.png.jpeg?h=ce6321c8&itok=tTYB6Lv_,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-2,2026-05-20,cameron-kroetsch
46537e85-3467-51fd-b7c8-cbb7fed8ea68,district,3,Ward 3,,Nrinder,Nann,representative,Councillor,,,,905-546-2702,ward3@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-3,https://www.hamilton.ca/sites/default/files/styles/hero_lg/public/2022-11/Poscard_ClNann2022.jpg.jpeg?h=1df8a340&itok=OLtRq6ZU,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-3,2026-05-20,nrinder-nann
0565c57b-0c91-588a-a8ac-40c8d43eaca6,district,4,Ward 4,,Tammy,Hwang,representative,Councillor,,,,905-546-2113,ward4@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-4,https://www.hamilton.ca/sites/default/files/styles/hero_lg/public/2022-11/Postcard-ClrHwang2022.jpg.jpeg?h=1df8a340&itok=v50_RDjl,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-4,2026-05-20,tammy-hwang
32e529e8-72a6-537b-b8ce-deb117987994,district,5,Ward 5,,Matt,Francis,representative,Councillor,,,,905-546-2716,matt.francis@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-5,https://www.hamilton.ca/sites/default/files/styles/hero_lg/public/2022-11/Poscard_ClrFrancis.jpg.jpeg?h=1df8a340&itok=yKYM9pQF,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-5,2026-05-20,matt-francis
4c3eeda7-89ed-54ab-9205-91b4a82dfb47,district,6,Ward 6,,Tom,Jackson,representative,Councillor,,,,905-546-2707,tom.jackson@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-6,https://www.hamilton.ca/sites/default/files/styles/hero_lg/public/2022-11/Postcard-ClrJackson2022.jpg.jpeg?h=1df8a340&itok=58IaqUdL,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-6,2026-05-20,tom-jackson
2514dba3-1c37-5482-bf30-64b4f678653d,district,7,Ward 7,,Esther,Pauls,representative,Councillor,,,,905-546-2706,esther.pauls@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-7,https://www.hamilton.ca/sites/default/files/styles/hero_lg/public/2022-11/Postcard-ClrPauls-2022.jpg.jpeg?h=1df8a340&itok=n48v95Qh,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-7,2026-05-20,esther-pauls
86f5f2de-ea6a-5fd0-980a-346a47efeae9,district,8,Ward 8,,Rob,Cooper,representative,Councillor,,,,905-546-2164,ward8@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-8,https://www.hamilton.ca/sites/default/files/styles/hero_lg/public/2026-03/Poscard_ClrCooper.jpg.jpeg?h=1980c40d&itok=05kT4EVC,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-8,2026-05-20,rob-cooper
79453b3e-43a4-5654-9069-01607dd97ac4,district,9,Ward 9,,Brad,Clark,representative,Councillor,,,,905-546-2703,brad.clark@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-9,https://www.hamilton.ca/sites/default/files/styles/hero_lg/public/2022-11/Poscard_ClrClark2022.jpg.jpeg?h=1df8a340&itok=TGYb12Tv,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-9,2026-05-20,brad-clark
5594b7c6-bd32-5407-b9c9-073f645de277,district,10,Ward 10,,Jeff,Beattie,representative,Councillor,,,,905-546-2701,jeff.beattie@hamilton.ca,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-10,https://www.hamilton.ca/sites/default/files/styles/hero_lg/public/2022-11/Poscard_ClrBeattie.jpg.jpeg?h=1df8a340&itok=sdg5xPIu,https://www.hamilton.ca/city-council/council-committee/city-council-members/city-councillors/ward-10,2026-05-20,jeff-beattie
