uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
73917cdd-4bd9-5502-a5f1-bdf97e15cd91,district,1,Ward 1,,Scott,Davey,representative,Councillor,,,,519-741-2784,scott.davey@kitchener.ca,https://www.kitchener.ca/council-and-city-administration/mayor-and-council/city-council/councillor-scott-davey/,https://www.kitchener.ca/media/ehvdipyw/cor_omc_sd_headshot.jpg,https://www.kitchener.ca/council-and-city-administration/mayor-and-council/city-council/councillor-scott-davey/,2026-06-01,scott-davey
5b037b18-402c-555d-9505-30c81b624798,district,2,Ward 2,,Dave,Schnider,representative,Councillor,,,,519-741-3424,dave.schnider@kitchener.ca,https://www.kitchener.ca/council-and-city-administration/mayor-and-council/city-council/councillor-dave-schnider/,https://www.kitchener.ca/media/1njmupck/cor_omc_ds_headshot.jpg,https://www.kitchener.ca/council-and-city-administration/mayor-and-council/city-council/councillor-dave-schnider/,2026-06-01,dave-schnider
48822951-e032-5ff9-8f1b-214a8c956f75,district,3,Ward 3,,Jason,Deneault,representative,Councillor,,,,519-741-2790,jason.deneault@kitchener.ca,https://www.kitchener.ca/council-and-city-administration/mayor-and-council/city-council/councillor-jason-deneault/,https://www.kitchener.ca/media/0l4f0bps/cor_omc_jd_headshot.jpg,https://www.kitchener.ca/council-and-city-administration/mayor-and-council/city-council/councillor-jason-deneault/,2026-06-01,jason-deneault
eece62cf-d327-5cca-9007-f400cc2ce2e1,district,4,Ward 4,,Christine,Michaud,representative,Councillor,,,,519-741-2779,christine.michaud@kitchener.ca,https://www.kitchener.ca/council-and-city-administration/mayor-and-council/city-council/councillor-christine-michaud/,https://www.kitchener.ca/media/nuudgwuw/cor_omc_cm_headshot.jpg,https://www.kitchener.ca/council-and-city-administration/mayor-and-council/city-council/councillor-christine-michaud/,2026-06-01,christine-michaud
25858965-fd67-53bc-97d1-f9b9c64e1385,district,5,Ward 5,,Ayo,Owodunni,representative,Councillor,,,,519-741-2791,ayo.owodunni@kitchener.ca,https://www.kitchener.ca/council-and-city-administration/mayor-and-council/city-council/councillor-ayo-owodunni/,https://www.kitchener.ca/media/5vjcf1js/cor_omc_ao_headshot.jpg,https://www.kitchener.ca/council-and-city-administration/mayor-and-council/city-council/councillor-ayo-owodunni/,2026-06-01,ayo-owodunni
bbd32dab-a19e-5ec2-a545-3c845b93e16b,district,6,Ward 6,,Paul,Singh,representative,Councillor,,,,519-741-2793,paul.singh@kitchener.ca,https://www.kitchener.ca/council-and-city-administration/mayor-and-council/city-council/councillor-paul-singh/,https://www.kitchener.ca/media/3vwbphwe/cor_omc_ps_headshot.jpg,https://www.kitchener.ca/council-and-city-administration/mayor-and-council/city-council/councillor-paul-singh/,2026-06-01,paul-singh
f840c7a1-e949-50ac-bb5d-c438e93d450a,district,7,Ward 7,,Bil,Ioannidis,representative,Councillor,,,,519-741-2783,bil.ioannidis@kitchener.ca,https://www.kitchener.ca/council-and-city-administration/mayor-and-council/city-council/councillor-bil-ioannidis/,https://www.kitchener.ca/media/kbia4v4g/cor_omc_bi_headshot.jpg,https://www.kitchener.ca/council-and-city-administration/mayor-and-council/city-council/councillor-bil-ioannidis/,2026-06-01,bil-ioannidis
9c3bff8f-2e93-52bd-a622-613839366a7d,district,8,Ward 8,,Margaret,Johnston,representative,Councillor,,,,519-741-2796,margaret.johnston@kitchener.ca,https://www.kitchener.ca/council-and-city-administration/mayor-and-council/city-council/councillor-margaret-johnston/,https://www.kitchener.ca/media/jmylfo2d/cor_omc_mj_headshot.jpg,https://www.kitchener.ca/council-and-city-administration/mayor-and-council/city-council/councillor-margaret-johnston/,2026-06-01,margaret-johnston
76b7bc9c-799a-5b55-9494-8d3541581e49,district,9,Ward 9,,Debbie,Chapman,representative,Councillor,,,,519-741-2798,debbie.chapman@kitchener.ca,https://www.kitchener.ca/council-and-city-administration/mayor-and-council/city-council/councillor-debbie-chapman/,https://www.kitchener.ca/media/yx2bgn1s/cor_omc_dc_headshot.jpg,https://www.kitchener.ca/council-and-city-administration/mayor-and-council/city-council/councillor-debbie-chapman/,2026-06-01,debbie-chapman
d6eddb3d-670f-5d8e-bfee-3baae622c38f,district,10,Ward 10,,Stephanie,Stretch,representative,Councillor,,,,519-741-2786,stephanie.stretch@kitchener.ca,https://www.kitchener.ca/council-and-city-administration/mayor-and-council/city-council/councillor-stephanie-stretch/,https://www.kitchener.ca/media/kk2n5nc3/cor_omc_ss_headshot.jpg,https://www.kitchener.ca/council-and-city-administration/mayor-and-council/city-council/councillor-stephanie-stretch/,2026-06-01,stephanie-stretch
a5b75815-59df-5704-b72a-76278456c98b,role,,,,Berry,Vrbanovic,executive,Mayor,,2022-11-15,,519-741-2300,mayor@kitchener.ca,https://www.kitchener.ca/council-and-city-administration/mayor-and-council/mayor-berry-vrbanovic/,https://www.kitchener.ca/media/g1nocepl/cor_omc_bv_headshot.jpg,https://www.kitchener.ca/council-and-city-administration/mayor-and-council/mayor-berry-vrbanovic/,2026-06-01,berry-vrbanovic
