uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
a4929a0e-2b18-5216-8a24-f99ec1da8a97,district,1,Ward 1,,Hadleigh,McAlister,representative,Councillor,,,,519-661-2489 ext. 4001,hmcalister@london.ca,https://london.ca/government/council-civic-administration/city-council/councillor-hadleigh-mcalister,https://london.ca/sites/default/files/styles/scale_and_crop_1_1_large/public/2022-12/Hadleigh%20McAlister%201200x676%20px.JPG?h=c74750f6&itok=3GlR7vlx,https://london.ca/government/council-civic-administration/city-council/councillor-hadleigh-mcalister,2026-05-30,hadleigh-mcalister
0a6d4c37-cfe5-5c78-9f97-6e3bbe29b28d,district,2,Ward 2,,Shawn,Lewis,representative,Councillor,,,,519-661-2489 ext. 4002,slewis@london.ca,https://london.ca/government/council-civic-administration/city-council/councillor-shawn-lewis,https://london.ca/sites/default/files/styles/scale_and_crop_1_1_large/public/2022-12/Shawn%20Lewis%201200%20x%20676%20px_0.JPG?h=c74750f6&itok=iqOe_H8v,https://london.ca/government/council-civic-administration/city-council/councillor-shawn-lewis,2026-05-30,shawn-lewis
db049582-cb0e-5f05-8ac9-a58e74c74181,district,3,Ward 3,,Peter,Cuddy,representative,Councillor,,,,519-661-2489 ext. 4003,pcuddy@london.ca,https://london.ca/government/council-civic-administration/city-council/councillor-peter-cuddy,https://london.ca/sites/default/files/styles/scale_and_crop_1_1_large/public/2022-12/Peter%20Cuddy%201200x676%20px.JPG?h=c74750f6&itok=NvSb0VF0,https://london.ca/government/council-civic-administration/city-council/councillor-peter-cuddy,2026-05-30,peter-cuddy
3346e693-36da-51a5-b691-242ef67e4ac9,district,4,Ward 4,,Susan,Stevenson,representative,Councillor,,,,519-661-2489 ext. 4004,sstevenson@london.ca,https://london.ca/government/council-civic-administration/city-council/councillor-susan-stevenson,https://london.ca/sites/default/files/styles/scale_and_crop_1_1_large/public/2022-12/Susan%20Stevenson%201200x676%20px.JPG?h=c74750f6&itok=zeG5ChoC,https://london.ca/government/council-civic-administration/city-council/councillor-susan-stevenson,2026-05-30,susan-stevenson
bcc6f2fd-fcd1-5c41-a204-b2c38b3893a2,district,5,Ward 5,,Jerry,Pribil,representative,Councillor,,,,519-661-2489 ext. 4005,jpribil@london.ca,https://london.ca/government/council-civic-administration/city-council/councillor-jerry-pribil,https://london.ca/sites/default/files/styles/scale_and_crop_1_1_large/public/2022-12/Jerry%20Pribil%201200%20x%20626%20px.JPG?h=c74750f6&itok=D9q54W0E,https://london.ca/government/council-civic-administration/city-council/councillor-jerry-pribil,2026-05-30,jerry-pribil
58f374c6-1071-5e2d-8383-949ae48c194f,district,6,Ward 6,,Sam,Trosow,representative,Councillor,,,,519-661-2489 ext. 4006,strosow@london.ca,https://london.ca/government/council-civic-administration/city-council/councillor-sam-trosow,https://london.ca/sites/default/files/styles/scale_and_crop_1_1_large/public/2022-12/Sam%20Trosow%201200%20x%20626%20px.JPG?h=c74750f6&itok=ebDDP_1G,https://london.ca/government/council-civic-administration/city-council/councillor-sam-trosow,2026-05-30,sam-trosow
adeea3d5-75c2-50a3-be0a-aa8903289bb2,district,7,Ward 7,,Corrine,Rahman,representative,Councillor,,,,519-661-2489 ext. 4007,crahman@london.ca,https://london.ca/government/council-civic-administration/city-council/councillor-corrine-rahman,https://london.ca/sites/default/files/styles/scale_and_crop_1_1_large/public/2022-12/C.%20Rahman%201200%20x%20626%20px%20-%20Copy.JPG?h=c74750f6&itok=6l5GXQBP,https://london.ca/government/council-civic-administration/city-council/councillor-corrine-rahman,2026-05-30,corrine-rahman
f87de274-b45b-5ca4-86e0-69ed30d0466f,district,8,Ward 8,,Steve,Lehman,representative,Councillor,,,,519-661-2489 ext. 4008,slehman@london.ca,https://london.ca/government/council-civic-administration/city-council/councillor-steve-lehman,https://london.ca/sites/default/files/styles/scale_and_crop_1_1_large/public/2022-12/Steve%20Lehman%201200%20x%20626%20px.JPG?h=c74750f6&itok=_M7-6Xp_,https://london.ca/government/council-civic-administration/city-council/councillor-steve-lehman,2026-05-30,steve-lehman
ca9223b5-3299-5c1b-a28a-f548a769c3be,district,9,Ward 9,,Anna,Hopkins,representative,Councillor,,,,519-661-2489 ext. 4009,ahopkins@london.ca,https://london.ca/government/council-civic-administration/city-council/councillor-anna-hopkins,https://london.ca/sites/default/files/styles/scale_and_crop_1_1_large/public/2022-12/Anna%20Hopkins%201200%20x%20676%20px.JPG?h=c74750f6&itok=y_C9Ln-S,https://london.ca/government/council-civic-administration/city-council/councillor-anna-hopkins,2026-05-30,anna-hopkins
7b5aaa5b-087c-578b-ad2a-e7395f7572ef,district,10,Ward 10,,Paul,Van Meerbergen,representative,Councillor,,,,519-661-2489 ext. 4010,pvanmeerbergen@london.ca,https://london.ca/government/council-civic-administration/city-council/councillor-paul-van-meerbergen,https://london.ca/sites/default/files/styles/scale_and_crop_1_1_large/public/2022-12/Paul%20Van%20Meerbergen%20-1200x676px%20_0.JPG?h=c74750f6&itok=Wpc3ZRhD,https://london.ca/government/council-civic-administration/city-council/councillor-paul-van-meerbergen,2026-05-30,paul-van-meerbergen
