uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
0a86b544-6cdc-54d5-8c97-5a58c816ff4b,role,,,,Michael,Chan,misc,Regional Councillor,,,,905.948.5110,michaelchan@markham.ca,https://www.markham.ca/about-city-markham/city-hall/regional-ward-councillors/michael-chan-deputy-mayor-0,https://www.markham.ca/sites/default/files/styles/webp/public/2024-08/RC-Michael-Chan_0.jpg.webp?itok=vSf6cIMs,https://www.markham.ca/about-the-city-of-markham/city-hall/regional-ward-councillors,2026-06-01,michael-chan
3f869db0-af35-555d-ac27-ee2dc67d50bf,role,,,,Jim,Jones,misc,Regional Councillor,,,,905.479.7757,jjones@markham.ca,https://www.markham.ca/about-city-markham/city-hall/regional-ward-councillors/jim-jones-regional-councillor,https://www.markham.ca/sites/default/files/styles/webp/public/2024-08/jim-jones_0.jpeg.webp?itok=Fn-9sNdT,https://www.markham.ca/about-the-city-of-markham/city-hall/regional-ward-councillors,2026-06-01,jim-jones
6ebd0338-a781-5b7a-802b-0993a87adcd3,role,,,,Joe,Li,misc,Regional Councillor,,,,905.479.7749,joeli@markham.ca,https://www.markham.ca/about-city-markham/city-hall/regional-ward-councillors/joe-li-regional-councillor,https://www.markham.ca/sites/default/files/styles/webp/public/2024-08/RC-Joe-Li.jpeg.webp?itok=KZH9_6Yq,https://www.markham.ca/about-the-city-of-markham/city-hall/regional-ward-councillors,2026-06-01,joe-li
6d39f97a-831e-568c-999b-66a828e0bb3f,role,,,,Alan,Ho,misc,Regional Councillor,,,,905.948.5112,alan.ho@markham.ca,https://www.markham.ca/about-city-markham/city-hall/regional-ward-councillors/alan-ho-regional-councillor,https://www.markham.ca/sites/default/files/styles/webp/public/2024-08/RC-Alan-Ho.jpeg.webp?itok=TCP4rTvH,https://www.markham.ca/about-the-city-of-markham/city-hall/regional-ward-councillors,2026-06-01,alan-ho
7f3b145b-8c70-5c22-b430-b0185130a0f3,district,1,Ward 1,,Keith,Irish,representative,Councillor,,,,905.948.5101,kirish@markham.ca,https://www.markham.ca/about-city-markham/city-hall/regional-ward-councillors/keith-irish-ward-1-councillor,https://www.markham.ca/sites/default/files/styles/webp/public/2024-08/W1-Keith-Irish.jpeg.webp?itok=mw5p7n50,https://www.markham.ca/about-the-city-of-markham/city-hall/regional-ward-councillors,2026-06-01,keith-irish
1a58f6c9-98ea-50a8-92dd-6a6f9d87095b,district,2,Ward 2,,Ritch,Lau,representative,Councillor,,,,905.948.5102,RitchLau@markham.ca,https://www.markham.ca/about-city-markham/city-hall/regional-ward-councillors/ritch-lau-ward-2-councillor,https://www.markham.ca/sites/default/files/styles/webp/public/2024-08/W2-Ritch-Lau.jpeg.webp?itok=w3VLD4Mb,https://www.markham.ca/about-the-city-of-markham/city-hall/regional-ward-councillors,2026-06-01,ritch-lau
bd59ab31-1abc-527b-b48e-3e3199f57f5b,district,3,Ward 3,,Reid,McAlpine,representative,Councillor,,,,905.948.5103,rmcalpine@markham.ca,https://www.markham.ca/about-city-markham/city-hall/regional-ward-councillors/reid-mcalpine-ward-3-councillor,https://www.markham.ca/sites/default/files/styles/webp/public/2024-08/W3-Reid-McAlpine.jpeg.webp?itok=5tJjEc3c,https://www.markham.ca/about-the-city-of-markham/city-hall/regional-ward-councillors,2026-06-01,reid-mcalpine
92cb3f0c-ec16-5e99-8c8a-992bce6a897b,district,4,Ward 4,,Karen,Rea,representative,Councillor,,,,905.479.7751,krea@markham.ca,https://www.markham.ca/about-city-markham/city-hall/regional-ward-councillors/karen-rea-ward-4-councillor,https://www.markham.ca/sites/default/files/styles/webp/public/2024-08/W4-Karen-Rea.jpeg.webp?itok=kZlgWejm,https://www.markham.ca/about-the-city-of-markham/city-hall/regional-ward-councillors,2026-06-01,karen-rea
01aca85c-83d1-591d-ac58-d1a946ec0f9a,district,5,Ward 5,,Andrew,Keyes,representative,Councillor,,,,905.948.5105,akeyes@markham.ca,https://www.markham.ca/about-city-markham/city-hall/regional-ward-councillors/andrew-keyes-ward-5-councillor,https://www.markham.ca/sites/default/files/styles/webp/public/2024-08/W5-Andrew-Keyes.jpeg.webp?itok=t4xUnRGu,https://www.markham.ca/about-the-city-of-markham/city-hall/regional-ward-councillors,2026-06-01,andrew-keyes
94d1ec1b-5aac-56b0-a72a-da8840d5f0a1,district,6,Ward 6,,Amanda,Yeung Collucci,representative,Councillor,,,,905.479.7746,acollucci@markham.ca,https://www.markham.ca/about-city-markham/city-hall/regional-ward-councillors/amanda-yeung-collucci-ward-6-councillor,https://www.markham.ca/sites/default/files/styles/webp/public/2024-08/W6-Amanda-Collucci.jpeg.webp?itok=HmI7b8O7,https://www.markham.ca/about-the-city-of-markham/city-hall/regional-ward-councillors,2026-06-01,amanda-yeung-collucci
