uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
449516d7-5dea-5880-adb9-85ec9a57c18f,district,1,Ward 1,,Stephen,Dasko,representative,Councillor,,,,905-896-5100,stephen.dasko@mississauga.ca,https://www.mississauga.ca/council/city-council-members/ward-1-councillor-stephen-dasko/,https://www.mississauga.ca/wp-content/uploads/2019/02/25160323/stephen_dasko.jpg,https://www.mississauga.ca/council/city-council-members/ward-1-councillor-stephen-dasko/,2026-05-26,stephen-dasko
c579008d-0776-5bee-90e3-daab8dbed49d,district,2,Ward 2,,Alvin,Tedjo,representative,Councillor,,,,905-896-5200,alvin.tedjo@mississauga.ca,https://www.mississauga.ca/council/city-council-members/ward-2-councillor-alvin-tedjo/,https://www.mississauga.ca/wp-content/uploads/2023/05/Ward-2-Councillor-Alvin-Tedjo-headshot-scaled.jpeg,https://www.mississauga.ca/council/city-council-members/ward-2-councillor-alvin-tedjo/,2026-05-26,alvin-tedjo
554a5099-a1da-5554-9fd4-198005621d96,district,3,Ward 3,,Chris,Fonseca,representative,Councillor,,,,905-896-5300,chris.fonseca@mississauga.ca,https://www.mississauga.ca/council/city-council-members/ward-3-councillor-chris-fonseca/,https://www.mississauga.ca/wp-content/uploads/2019/05/03101417/ChrisFonseca-145x219.jpg,https://www.mississauga.ca/council/city-council-members/ward-3-councillor-chris-fonseca/,2026-05-26,chris-fonseca
3bf60fe6-2995-5e59-ac2a-93a644cd1ce8,district,4,Ward 4,,John,Kovac,representative,Councillor and Deputy Mayor,,,,905-896-5400,john.kovac@mississauga.ca,https://www.mississauga.ca/council/city-council-members/ward-4-councillor-john-kovac/,https://www.mississauga.ca/wp-content/uploads/2019/05/10094740/JohnKovac-145x219.jpg,https://www.mississauga.ca/council/city-council-members/ward-4-councillor-john-kovac/,2026-05-26,john-kovac
e661634e-05a4-5737-a79e-a68fbca20ba6,district,5,Ward 5,,Natalie,Hart,representative,Councillor,,,,905-896-5500,natalie.hart@mississauga.ca,https://www.mississauga.ca/council/city-council-members/ward-5-councillor-natalie-hart/,https://www.mississauga.ca/wp-content/uploads/2024/10/02171046/NatalieHart-145x219-1.jpg,https://www.mississauga.ca/council/city-council-members/ward-5-councillor-natalie-hart/,2026-05-26,natalie-hart
f89d0341-7365-52d7-9430-389adc0f3c7f,district,6,Ward 6,,Joe,Horneck,representative,Councillor,,,,905-896-5600,joe.horneck@mississauga.ca,https://www.mississauga.ca/council/city-council-members/ward-6-councillor-joe-horneck/,https://www.mississauga.ca/wp-content/uploads/2023/03/Joe-Horneck-Headshot-lightly-top-cropped-scaled.jpg,https://www.mississauga.ca/council/city-council-members/ward-6-councillor-joe-horneck/,2026-05-26,joe-horneck
1a60a964-fdb0-5b07-b73d-29946ab8f634,district,7,Ward 7,,Dipika,Damerla,representative,Councillor,,,,905-896-5700,dipika.damerla@mississauga.ca,https://www.mississauga.ca/council/city-council-members/ward-7-councillor-dipika-damerla/,https://www.mississauga.ca/wp-content/uploads/2019/03/12135437/DipikaDamerla-145x219.jpg,https://www.mississauga.ca/council/city-council-members/ward-7-councillor-dipika-damerla/,2026-05-26,dipika-damerla
f2237d08-cdf3-5f78-99e1-e2f3994536d1,district,8,Ward 8,,Matt,Mahoney,representative,Councillor and Deputy Mayor,,,,905-896-5800,matt.mahoney@mississauga.ca,https://www.mississauga.ca/council/city-council-members/ward-8-councillor-matt-mahoney/,https://www.mississauga.ca/wp-content/uploads/2023/10/Matt-Mahoney-Official-Pic-optimized.jpg,https://www.mississauga.ca/council/city-council-members/ward-8-councillor-matt-mahoney/,2026-05-26,matt-mahoney
f66ce773-b6bb-50e8-9912-7a55aea04d7c,district,9,Ward 9,,Martin,Reid,representative,Councillor,,,,905-896-5900,martin.reid@mississauga.ca,https://www.mississauga.ca/council/city-council-members/ward-9-councillor-martin-reid/,https://www.mississauga.ca/wp-content/uploads/2023/05/W9_MartinReid_COM_2022-scaled.jpeg,https://www.mississauga.ca/council/city-council-members/ward-9-councillor-martin-reid/,2026-05-26,martin-reid
33c522ea-7f50-5bfb-9075-47bc64a58347,district,10,Ward 10,,Sue,McFadden,representative,Councillor,,,,905-896-5010,sue.mcfadden@mississauga.ca,https://www.mississauga.ca/council/city-council-members/ward-10-councillor-sue-mcfadden/,https://www.mississauga.ca/wp-content/uploads/2019/03/12135643/SueMcFadden-145x219.jpg,https://www.mississauga.ca/council/city-council-members/ward-10-councillor-sue-mcfadden/,2026-05-26,sue-mcfadden
c6622b8c-a236-501f-8485-3b05918eda87,district,11,Ward 11,,Brad,Butt,representative,Councillor,,,,905-896-5011,brad.butt@mississauga.ca,https://www.mississauga.ca/council/city-council-members/ward-11-councillor-brad-butt/,https://www.mississauga.ca/wp-content/uploads/2023/05/Councillor_Brad_Butt-scaled.jpg,https://www.mississauga.ca/council/city-council-members/ward-11-councillor-brad-butt/,2026-05-26,brad-butt
88b29678-265c-51e4-8c0a-fc56250b8ec2,role,,,,Carolyn,Parrish,executive,Mayor,,2024-06-10,,905-896-5555,mayor@mississauga.ca,http://www.carolynparrish.ca,https://www.mississauga.ca/wp-content/uploads/2025/12/17090320/Mayor-Parrish-Headshot-Nov-2025-scaled.jpeg,https://www.mississauga.ca/council/city-council-members/mayor-carolyn-parrish/,2026-05-26,carolyn-parrish
