uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
218c0ea5-b677-5f1d-b8a0-0abaa085a4e5,district,1,Ward 1,,Jonathan,McNeice,representative,Town Councillor,,,,905-827-1101,jonathan.mcneice@oakville.ca,https://www.oakville.ca/town-hall/mayor-council-administration/mayor-council/councillor-jonathan-mcneice/,https://www.oakville.ca/getmedia/87455b26-68e1-4e2e-ac6e-02524da6dba7/570-McNeice.jpg?width=570&height=950&ext=.jpg,https://www.oakville.ca/town-hall/mayor-council-administration/mayor-council/councillor-jonathan-mcneice/,2026-06-02,jonathan-mcneice
4632e753-1c54-5411-962c-7cf7404ec227,district,1,Ward 1,,Sean,O'Meara,representative,Town and Regional Councillor,,,,1-905-847-3987,sean.omeara@oakville.ca,https://www.oakville.ca/town-hall/mayor-council-administration/mayor-council/councillor-sean-o-meara/,https://www.oakville.ca/getmedia/021077e8-7d44-4205-ac15-e7f5ffe3d7f6/570-omeara.jpg?width=570&height=950&ext=.jpg,https://www.oakville.ca/town-hall/mayor-council-administration/mayor-council/councillor-sean-o-meara/,2026-06-02,sean-omeara
ebaf988e-bdec-5e1b-8a1c-15b155a36e28,district,2,Ward 2,,Ray,Chisholm,representative,Town Councillor,,,,905-815-6004,ray.chisholm@oakville.ca,https://www.oakville.ca/town-hall/mayor-council-administration/mayor-council/councillor-ray-chisholm/,https://www.oakville.ca/getmedia/29e36bc7-4fcb-437d-b911-76cb9ef22bba/570-chisholm.jpg?width=570&height=950&ext=.jpg,https://www.oakville.ca/town-hall/mayor-council-administration/mayor-council/councillor-ray-chisholm/,2026-06-02,ray-chisholm
79fac683-84e8-5bbd-8745-2cab46624087,district,2,Ward 2,,Cathy,Duddeck,representative,Town and Regional Councillor,,,,905-845-8374,cathy.duddeck@oakville.ca,https://www.oakville.ca/town-hall/mayor-council-administration/mayor-council/councillor-cathy-duddeck/,https://www.oakville.ca/getmedia/30faf4a1-1763-44f9-8931-4876260e876f/570-duddeck.jpg?width=570&height=950&ext=.jpg,https://www.oakville.ca/town-hall/mayor-council-administration/mayor-council/councillor-cathy-duddeck/,2026-06-02,cathy-duddeck
9f0b5d7c-ef84-5743-8b23-44d14524225b,district,3,Ward 3,,Dave,Gittings,representative,Town Councillor,,,,905-844-5513,dave.gittings@oakville.ca,https://www.oakville.ca/town-hall/mayor-council-administration/mayor-council/councillor-dave-gittings/,https://www.oakville.ca/getmedia/bbde714c-e2c4-4dd3-a657-dde24044a119/570-gittings.jpg?width=570&height=950&ext=.jpg,https://www.oakville.ca/town-hall/mayor-council-administration/mayor-council/councillor-dave-gittings/,2026-06-02,dave-gittings
a7865bee-80e3-5f98-8e60-bfcc615e2bf3,district,3,Ward 3,,Janet,Haslett-Theall,representative,Town and Regional Councillor,,,,289-837-3923,janet.haslett-theall@oakville.ca,https://www.oakville.ca/town-hall/mayor-council-administration/mayor-council/councillor-janet-haslett-theall/,https://www.oakville.ca/getmedia/cb961161-05fc-484e-aa57-56871c3ff1f4/570-haslett-theall.jpg?width=570&height=950&ext=.jpg,https://www.oakville.ca/town-hall/mayor-council-administration/mayor-council/councillor-janet-haslett-theall/,2026-06-02,janet-haslett-theall
743fa665-8428-5908-a4fe-ee4199f64439,district,4,Ward 4,,Peter,Longo,representative,Town Councillor,,,,647-286-4900,peter.longo@oakville.ca,https://www.oakville.ca/town-hall/mayor-council-administration/mayor-council/councillor-peter-longo/,https://www.oakville.ca/getmedia/c9da2b03-e7e9-4989-9755-26d18dfe5c4d/570-Longo.jpg?width=570&height=950&ext=.jpg,https://www.oakville.ca/town-hall/mayor-council-administration/mayor-council/councillor-peter-longo/,2026-06-02,peter-longo
2a3b2815-eeef-5502-8058-b13b17ce5485,district,4,Ward 4,,Allan,Elgar,representative,Town and Regional Councillor,,,,416-709-0082,allan.elgar@oakville.ca,https://www.oakville.ca/town-hall/mayor-council-administration/mayor-council/councillor-allan-elgar/,https://www.oakville.ca/getmedia/67941486-0131-446f-ba63-5e7abfdb1f9f/570-elgar.jpg?width=570&height=950&ext=.jpg,https://www.oakville.ca/town-hall/mayor-council-administration/mayor-council/councillor-allan-elgar/,2026-06-02,allan-elgar
bec863c7-2799-5de7-9281-4fdd01c00101,district,5,Ward 5,,Marc,Grant,representative,Town Councillor,,,,905-815-6001,marc.grant@oakville.ca,https://www.oakville.ca/town-hall/mayor-council-administration/mayor-council/councillor-marc-grant/,https://www.oakville.ca/getmedia/a72ece52-cdc9-4a10-a191-ad441c887431/570-Councillor-Grant.jpg?width=570&height=950&ext=.jpg,https://www.oakville.ca/town-hall/mayor-council-administration/mayor-council/councillor-marc-grant/,2026-06-02,marc-grant
e2e02072-7b24-59b8-9961-5c21d01ba1cf,district,5,Ward 5,,Jeff,Knoll,representative,Town and Regional Councillor,,,,905-815-6000,jeff.knoll@oakville.ca,https://www.oakville.ca/town-hall/mayor-council-administration/mayor-council/councillor-jeff-knoll/,https://www.oakville.ca/getmedia/37e7b8b9-6575-4dc1-bb2e-c7af74d2ee9f/570-Councillor-Knoll.jpg?width=570&height=950&ext=.jpg,https://www.oakville.ca/town-hall/mayor-council-administration/mayor-council/councillor-jeff-knoll/,2026-06-02,jeff-knoll
82505398-c5e6-5c87-815c-a1dc689e79a0,district,6,Ward 6,,Natalia,Lishchyna,representative,Town Councillor,,,,905-815-6010,natalia.lishchyna@oakville.ca,https://www.oakville.ca/town-hall/mayor-council-administration/mayor-council/councillor-natalia-lishchyna/,https://www.oakville.ca/getmedia/fb847e53-8a10-4561-90f6-321674c6fa57/570-Councillor-Lishchyna.jpg?width=570&height=950&ext=.jpg,https://www.oakville.ca/town-hall/mayor-council-administration/mayor-council/councillor-natalia-lishchyna/,2026-06-02,natalia-lishchyna
5cb99c3f-d5d3-55c8-8727-55361478e0bf,district,6,Ward 6,,Tom,Adams,representative,Town and Regional Councillor,,,,905-849-7915,tom.adams@oakville.ca,https://www.oakville.ca/town-hall/mayor-council-administration/mayor-council/councillor-tom-adams/,https://www.oakville.ca/getmedia/44eedc63-6dea-444a-81df-36aa1756ece9/570-Councillor-Adams.jpg?width=570&height=950&ext=.jpg,https://www.oakville.ca/town-hall/mayor-council-administration/mayor-council/councillor-tom-adams/,2026-06-02,tom-adams
fb118266-3d54-5309-bc35-974ea57f74b7,district,7,Ward 7,,Scott,Xie,representative,Town Councillor,,,,905-815-6012,scott.xie@oakville.ca,https://www.oakville.ca/town-hall/mayor-council-administration/mayor-council/councillor-scott-xie/,https://www.oakville.ca/getmedia/4dfad808-668c-4b55-8a4a-3102961fd1a5/570-Councillor-Xie.jpg?width=570&height=950&ext=.jpg,https://www.oakville.ca/town-hall/mayor-council-administration/mayor-council/councillor-scott-xie/,2026-06-02,scott-xie
acc1900d-f8c2-5fed-9cf7-1508a7a8deff,district,7,Ward 7,,Nav,Nanda,representative,Town and Regional Councillor,,,,905-815-6013,nav.nanda@oakville.ca,https://www.oakville.ca/town-hall/mayor-council-administration/mayor-council/councillor-nav-nanda/,https://www.oakville.ca/getmedia/f3f3860a-2ab9-4bbc-81f8-ae10f0b7d5cd/570-Councillor-Nanda.jpg?width=570&height=950&ext=.jpg,https://www.oakville.ca/town-hall/mayor-council-administration/mayor-council/councillor-nav-nanda/,2026-06-02,nav-nanda
3738d3ab-963a-5be1-af5c-60e6d1fd9c1f,role,,,,Rob,Burton,executive,Mayor,,2022-11-15,,905-845-6601,mayor@oakville.ca,https://www.oakville.ca/town-hall/mayor-council-administration/mayor-council/mayor-rob-burton/,https://www.oakville.ca/getmedia/7cb77fe4-aff0-4ce6-b983-5c19febc4fba/570-mayor-burton.jpg?width=570&height=950&ext=.jpg,https://www.oakville.ca/town-hall/mayor-council-administration/mayor-council/mayor-rob-burton/,2026-06-02,rob-burton
