uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
a03c4683-bbba-5949-9efe-8fd4406bdd94,district,1,Ward 1,,John,Neal,representative,Regional and City Councillor,,,,905-436-5610,jneal@oshawa.ca,https://www.oshawa.ca/city-hall/city-council/council-members/,https://www.oshawa.ca/media/3jybxrhd/councillor-neal.jpg,https://www.oshawa.ca/city-hall/city-council/council-members/,2026-05-30,john-neal
e18e88bd-fb0d-5c16-b5a8-e0e890f0f9a4,district,1,Ward 1,,Rosemary,McConkey,representative,Councillor,,,,905-436-5615,RMcConkey@oshawa.ca,https://www.oshawa.ca/city-hall/city-council/council-members/,https://www.oshawa.ca/media/ri3gz0cd/councillor-mcconkey.jpg,https://www.oshawa.ca/city-hall/city-council/council-members/,2026-05-30,rosemary-mcconkey
715e173d-0ff0-5335-afbe-ab737ef0dbd0,district,2,Ward 2,,Tito-Dante,Marimpietri,representative,Regional and City Councillor,,,,905-436-5613,TDMarimpietri@oshawa.ca,https://www.oshawa.ca/city-hall/city-council/council-members/,https://www.oshawa.ca/media/1dhfbgsq/councillor-marimpietri.jpg,https://www.oshawa.ca/city-hall/city-council/council-members/,2026-05-30,tito-dante-marimpietri
2be5b3ba-3d6c-5577-a29d-c9219f660a63,district,2,Ward 2,,Jim,Lee,representative,Councillor,,,,905-436-5616,jalee@oshawa.ca,https://www.oshawa.ca/city-hall/city-council/council-members/,https://www.oshawa.ca/media/eewjchpy/councillor-lee2.jpg,https://www.oshawa.ca/city-hall/city-council/council-members/,2026-05-30,jim-lee
35a601a9-c9af-50c5-b4c1-9a99b18e68f3,district,3,Ward 3,,Bob,Chapman,representative,Regional and City Councillor,,,,905-436-5619,BChapman@oshawa.ca,https://www.oshawa.ca/city-hall/city-council/council-members/,https://www.oshawa.ca/media/tncm1hr0/councillor-chapman.jpg,https://www.oshawa.ca/city-hall/city-council/council-members/,2026-05-30,bob-chapman
2e1f1cc5-49c9-57e9-a4c7-dc4fffe502fd,district,3,Ward 3,,Bradley,Marks,representative,Councillor,,,,905-436-5612,BMarks@oshawa.ca,https://www.oshawa.ca/city-hall/city-council/council-members/,https://www.oshawa.ca/media/fzmn4faq/councillor-marks.jpg,https://www.oshawa.ca/city-hall/city-council/council-members/,2026-05-30,bradley-marks
2c715823-f8ef-5c5f-9698-a718915e7c91,district,4,Ward 4,,Rick,Kerr,representative,Regional and City Councillor,,,,905-436-5632,RKerr@oshawa.ca,https://www.oshawa.ca/city-hall/city-council/council-members/,https://www.oshawa.ca/media/zwohixr3/councillor-kerr3.jpg,https://www.oshawa.ca/city-hall/city-council/council-members/,2026-05-30,rick-kerr
1de20549-1a07-5074-943a-20b3f65dcd8a,district,4,Ward 4,,Derek,Giberson,representative,Councillor,,,,905-436-5624,DGiberson@oshawa.ca,https://www.oshawa.ca/city-hall/city-council/council-members/,https://www.oshawa.ca/media/m5jgqllm/councillor-giberson-r.png,https://www.oshawa.ca/city-hall/city-council/council-members/,2026-05-30,derek-giberson
56f76094-8f4d-56a5-94d6-d54df3117a1f,district,5,Ward 5,,Brian,Nicholson,representative,Regional and City Councillor,,,,905-436-5603,BNicholson@oshawa.ca,https://www.oshawa.ca/city-hall/city-council/council-members/,https://www.oshawa.ca/media/bcbp4tte/councillor-nicholson2.jpg,https://www.oshawa.ca/city-hall/city-council/council-members/,2026-05-30,brian-nicholson
f61ca957-a85e-5f81-bd87-558ffebe048b,district,5,Ward 5,,John,Gray,representative,Councillor,,,,905-436-5605,JGray@oshawa.ca,https://www.oshawa.ca/city-hall/city-council/council-members/,https://www.oshawa.ca/media/tfbfhap3/councillor-gray.jpg,https://www.oshawa.ca/city-hall/city-council/council-members/,2026-05-30,john-gray
96e5a0f0-d3fb-53f6-94b8-fda2c1895c67,role,,,,Dan,Carter,executive,Mayor,,2022-11-15,,905-436-5674,mayor@oshawa.ca,https://www.oshawa.ca/city-hall/city-council/office-of-the-mayor/,https://www.oshawa.ca/media/dq0pbkde/mayor-carter.jpg,https://www.oshawa.ca/city-hall/city-council/office-of-the-mayor/,2026-05-30,dan-carter
