uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
769a4a68-776f-58ea-8236-901b1e013098,district,Otonabee Ward 1,Ward 1 - Otonabee,,Kevin,Duguay,representative,Councillor,,,,705-742-7777 ext. 4619,kduguay@peterborough.ca,https://www.peterborough.ca/council-city-hall/mayor-and-council/,https://www.peterborough.ca/media/3wbllj0i/dsc_4238.jpg,https://www.peterborough.ca/council-city-hall/mayor-and-council/,2026-05-30,kevin-duguay
cff01c58-a7a5-5eeb-b583-919175fa73fd,district,Otonabee Ward 1,Ward 1 - Otonabee,,Lesley,Parnell,representative,Councillor,,,,705-742-7777 ext. 4641,lparnell@peterborough.ca,https://www.peterborough.ca/council-city-hall/mayor-and-council/,https://www.peterborough.ca/media/mldpceuy/lesley-parnell.jpg,https://www.peterborough.ca/council-city-hall/mayor-and-council/,2026-05-30,lesley-parnell
05e7e2de-2f75-50ee-94d3-e033046b8685,district,Monaghan Ward 2,Ward 2 - Monaghan,,Matt,Crowley,representative,Councillor,,,,705-742-7777 ext. 4620,mcrowley@peterborough.ca,https://www.peterborough.ca/council-city-hall/mayor-and-council/,https://www.peterborough.ca/media/c5wfnd4u/4a0a1901.jpg,https://www.peterborough.ca/council-city-hall/mayor-and-council/,2026-05-30,matt-crowley
31184a76-e3c9-5004-a790-76110fef6c49,district,Monaghan Ward 2,Ward 2 - Monaghan,,Don,Vassiliadis,representative,Councillor,,,,705-742-7777 ext. 4645,dvassiliadis@peterborough.ca,https://www.peterborough.ca/council-city-hall/mayor-and-council/,https://www.peterborough.ca/media/3sepdiuk/dsc_4071-2.jpg,https://www.peterborough.ca/council-city-hall/mayor-and-council/,2026-05-30,don-vassiliadis
99c06d60-0619-55b3-9e2e-a54d69354875,district,Town Ward 3,Ward 3 - Town,,Alex,Bierk,representative,Councillor,,,,705-742-7777 ext. 4616,abierk@peterborough.ca,https://www.peterborough.ca/council-city-hall/mayor-and-council/,https://www.peterborough.ca/media/22lhxzno/4a0a2005.jpg,https://www.peterborough.ca/council-city-hall/mayor-and-council/,2026-05-30,alex-bierk
2d8e245a-632d-590a-98ae-ae810a8e53a9,district,Town Ward 3,Ward 3 - Town,,Joy,Lachica,representative,Councillor,,,,705-742-7777 ext. 4618,jlachica@peterborough.ca,https://www.peterborough.ca/council-city-hall/mayor-and-council/,https://www.peterborough.ca/media/3fifxsur/4a0a1987.jpg,https://www.peterborough.ca/council-city-hall/mayor-and-council/,2026-05-30,joy-lachica
c186252e-1867-5a79-b939-7cd66d4d494b,district,Ashburnham Ward 4,Ward 4 - Ashburnham,,Gary,Baldwin,representative,Councillor,,,,705-742-7777 ext. 4647,gbaldwin@peterborough.ca,https://www.peterborough.ca/council-city-hall/mayor-and-council/,https://www.peterborough.ca/media/ie2lv0jm/4a0a1952.jpg,https://www.peterborough.ca/council-city-hall/mayor-and-council/,2026-05-30,gary-baldwin
ecae79a4-b18b-501b-816a-f580dc72aa60,district,Ashburnham Ward 4,Ward 4 - Ashburnham,,Keith,Riel,representative,Councillor,,,,705-742-7777 ext. 4640,kriel@peterborough.ca,https://www.peterborough.ca/council-city-hall/mayor-and-council/,https://www.peterborough.ca/media/3mtg5cjj/4a0a1945.jpg,https://www.peterborough.ca/council-city-hall/mayor-and-council/,2026-05-30,keith-riel
7f56b54b-358e-59d5-8d4d-accf4ef09208,district,Northcrest Ward 5,Ward 5 - Northcrest,,Andrew,Beamer,representative,Councillor,,,,705-742-7777 ext. 4642,arbeamer@peterborough.ca,https://www.peterborough.ca/council-city-hall/mayor-and-council/,https://www.peterborough.ca/media/qjkfpjmc/4a0a1966.jpg,https://www.peterborough.ca/council-city-hall/mayor-and-council/,2026-05-30,andrew-beamer
79265f2f-5996-5bc8-89ae-f368d9e71c08,district,Northcrest Ward 5,Ward 5 - Northcrest,,Dave,Haacke,representative,Councillor,,,,705-742-7777 ext. 4617,dhaacke@peterborough.ca,https://www.peterborough.ca/council-city-hall/mayor-and-council/,https://www.peterborough.ca/media/marjbyd2/4a0a1962.jpg,https://www.peterborough.ca/council-city-hall/mayor-and-council/,2026-05-30,dave-haacke
bd4f32e4-6e45-592c-b11b-baa237b267fb,role,,,,Jeff,Leal,executive,Mayor,,,,705-742-7777 ext. 1870,mayor@peterborough.ca,https://www.peterborough.ca/council-city-hall/mayor-and-council/mayors-office/,https://www.peterborough.ca/media/d45dbm0q/mayor-jeff-leal-headshot-1.jpg,https://www.peterborough.ca/council-city-hall/mayor-and-council/mayors-office/,2026-05-30,jeff-leal
