uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
0376cc19-b6aa-54db-9cb2-efd32c1abd25,district,1,Ward 1,,Jackie,Lindal,representative,City Councillor,,,,905.327.0484,jlindal@stcatharines.ca,https://www.stcatharines.ca/en/council-and-administration/ward-councillors.aspx,https://www.stcatharines.ca/en/council-and-administration/resources/Images/Councillors/Lindal.jpg,https://www.stcatharines.ca/en/council-and-administration/ward-councillors.aspx,2026-06-02,jackie-lindal
ee282bdb-f38f-5700-b641-3a10e3cf9794,district,1,Ward 1,,Greg,Miller,representative,City Councillor,,,,905.327.0442,gmiller@stcatharines.ca,https://www.stcatharines.ca/en/council-and-administration/ward-councillors.aspx,https://www.stcatharines.ca/en/council-and-administration/resources/Images/Councillors/Councillor-Greg-Miller.jpg,https://www.stcatharines.ca/en/council-and-administration/ward-councillors.aspx,2026-06-02,greg-miller
ec4815c4-ce77-5261-9903-ed72b0598701,district,2,Ward 2,,Matt,Harris,representative,City Councillor,,,,905.329.6802,mharris@stcatharines.ca,https://www.stcatharines.ca/en/council-and-administration/ward-councillors.aspx,https://www.stcatharines.ca/en/council-and-administration/resources/Images/Councillors/Councillor-Matt-Harris.jpg,https://www.stcatharines.ca/en/council-and-administration/ward-councillors.aspx,2026-06-02,matt-harris
da3476b7-19cb-56ca-9135-85b6abbe7f82,district,2,Ward 2,,Joe,Kushner,representative,City Councillor,,,,905.327.9638,jkushner@stcatharines.ca,https://www.stcatharines.ca/en/council-and-administration/ward-councillors.aspx,https://www.stcatharines.ca/en/council-and-administration/resources/Images/Councillors/Councillor-Joe-Kushner.jpg,https://www.stcatharines.ca/en/council-and-administration/ward-councillors.aspx,2026-06-02,joe-kushner
eff13e11-b525-564f-b713-31f15c75ac61,district,3,Ward 3,,Mark,Stevens,representative,City Councillor,,,,289.696.3673,mstevens@stcatharines.ca,https://www.stcatharines.ca/en/council-and-administration/ward-councillors.aspx,https://www.stcatharines.ca/en/council-and-administration/resources/Images/Councillors/Stevens.jpg,https://www.stcatharines.ca/en/council-and-administration/ward-councillors.aspx,2026-06-02,mark-stevens
538429e4-5e53-5751-8260-292c365cac64,district,3,Ward 3,,Kevin,Townsend,representative,City Councillor,,,,905.327.0401,ktownsend@stcatharines.ca,https://www.stcatharines.ca/en/council-and-administration/ward-councillors.aspx,https://www.stcatharines.ca/en/council-and-administration/resources/Images/Councillors/Councillor-Kevin-Townsend.jpg,https://www.stcatharines.ca/en/council-and-administration/ward-councillors.aspx,2026-06-02,kevin-townsend
bffd421d-b621-54e0-b414-a9f50cf5ccba,district,4,Ward 4,,Caleb,Ratzlaff,representative,City Councillor,,,,905.327.0473,cratzlaff@stcatharines.ca,https://www.stcatharines.ca/en/council-and-administration/ward-councillors.aspx,https://www.stcatharines.ca/en/council-and-administration/resources/Images/Councillors/Ratzlaff.jpg,https://www.stcatharines.ca/en/council-and-administration/ward-councillors.aspx,2026-06-02,caleb-ratzlaff
f6bd74b1-d5be-5c9c-bc47-eacc92da6948,district,4,Ward 4,,Robin,McPherson,representative,City Councillor,,,,905.328.0003,rmcpherson@stcatharines.ca,https://www.stcatharines.ca/en/council-and-administration/ward-councillors.aspx,https://www.stcatharines.ca/en/council-and-administration/resources/Images/Councillors/McPherson.jpg,https://www.stcatharines.ca/en/council-and-administration/ward-councillors.aspx,2026-06-02,robin-mcpherson
8dcf9dae-cfae-5398-9ec4-30d13d577c9d,district,5,Ward 5,,Dawn,Dodge,representative,City Councillor,,,,905.933.0373,ddodge@stcatharines.ca,https://www.stcatharines.ca/en/council-and-administration/ward-councillors.aspx,https://www.stcatharines.ca/en/council-and-administration/resources/Images/Councillors/Councillor-Dawn-Dodge.jpg,https://www.stcatharines.ca/en/council-and-administration/ward-councillors.aspx,2026-06-02,dawn-dodge
69df473d-a943-5340-88f1-0225818097b6,district,5,Ward 5,,Bill,Phillips,representative,City Councillor,,,,905.327.5363,bphillips@stcatharines.ca,https://www.stcatharines.ca/en/council-and-administration/ward-councillors.aspx,https://www.stcatharines.ca/en/council-and-administration/resources/Images/Councillors/Councillor-Bill-Phillips.jpg,https://www.stcatharines.ca/en/council-and-administration/ward-councillors.aspx,2026-06-02,bill-phillips
75976b05-c6d0-5de5-aa93-461190e8350d,district,6,Ward 6,,Marty,Mako,representative,City Councillor,,,,289.697.2749,mmako@stcatharines.ca,https://www.stcatharines.ca/en/council-and-administration/ward-councillors.aspx,https://www.stcatharines.ca/en/council-and-administration/resources/Images/Councillors/Councillor-Marty-Mako3.jpg,https://www.stcatharines.ca/en/council-and-administration/ward-councillors.aspx,2026-06-02,marty-mako
9254af29-269f-5639-b585-4501f67cb6bb,district,6,Ward 6,,Bruce,Williamson,representative,City Councillor,,,,905.934.2787,bwilliamson@stcatharines.ca,https://www.stcatharines.ca/en/council-and-administration/ward-councillors.aspx,https://www.stcatharines.ca/en/council-and-administration/resources/Images/Councillors/Councillor-Bruce-Williamson.jpg,https://www.stcatharines.ca/en/council-and-administration/ward-councillors.aspx,2026-06-02,bruce-williamson
993d760c-3bfe-5a69-9691-0392c6fd3a93,role,,,,Mat,Siscoe,executive,Mayor,,2022-11-15,,905-688-5600 ext. 1540,mayor@stcatharines.ca,https://www.stcatharines.ca/en/council-and-administration/mayors-office.aspx,https://www.stcatharines.ca/en/council-and-administration/resources/Images/Mayor-Siscoe-Chain_testresize2.jpg,https://www.stcatharines.ca/en/council-and-administration/mayors-office.aspx,2026-06-02,mat-siscoe
