uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
5bbd6065-0303-58ba-b8de-ef3eeeabfc79,district,Souris - Elmira,Souris - Elmira,Hon.,Robin,Croucher,representative,Member of the Legislative Assembly,Progressive Conservative Party,,,902-368-4610,rdcroucherminister@gov.pe.ca,https://www.assembly.pe.ca/members/robin-croucher,https://www.assembly.pe.ca/sites/www.assembly.pe.ca/files/2024-11/Croucher%2C%20Robin-for%20web.jpg,https://www.assembly.pe.ca/members,2026-06-03,robin-croucher
23bbeadf-7b4b-5030-b794-fbb6fc2ee8e4,district,Georgetown - Pownal,Georgetown - Pownal,,Brendan,Curran,representative,Member of the Legislative Assembly,Progressive Conservative Party,,,,,https://www.assembly.pe.ca/members/brendan-curran,https://www.assembly.pe.ca/sites/www.assembly.pe.ca/files/MLA%20Photos/Curran%20Brendan-scaled.jpg,https://www.assembly.pe.ca/members,2026-06-03,brendan-curran
2ff87156-68e7-51cf-af44-497f720b552f,district,Montague - Kilmuir,Montague - Kilmuir,Hon.,Cory,Deagle,representative,Member of the Legislative Assembly,Progressive Conservative Party,,,902-368-5250,slacorn@gov.pe.ca,https://www.assembly.pe.ca/members/cory-deagle,https://www.assembly.pe.ca/sites/www.assembly.pe.ca/files/2022-12/Cory%20Deagle%202022-resized.jpg,https://www.assembly.pe.ca/members,2026-06-03,cory-deagle
a9c73926-5bb8-547e-b832-453a75016b9f,district,Belfast - Murray River,Belfast - Murray River,Hon.,Darlene,Compton,representative,Member of the Legislative Assembly,Progressive Conservative Party,,,902-620-3646,MinisterLE@gov.pe.ca,https://www.assembly.pe.ca/members/darlene-compton,https://www.assembly.pe.ca/sites/www.assembly.pe.ca/files/MLA%20Photos/Darlene%20Compton-with%20background.jpg,https://www.assembly.pe.ca/members,2026-06-03,darlene-compton
a911e847-62f5-521e-b2a3-a0c46238d5ab,district,Mermaid - Stratford,Mermaid - Stratford,Hon.,Jenn,Redmond,representative,Member of the Legislative Assembly,Progressive Conservative Party,,,,,https://www.assembly.pe.ca/members/jenn-redmond,https://www.assembly.pe.ca/sites/www.assembly.pe.ca/files/2024-11/Redmond%2C%20Jenn-for%20web.jpg,https://www.assembly.pe.ca/members,2026-06-03,jenn-redmond
8b6ea7c6-f4f7-52d2-9a9b-66875d6a1040,district,Stratford - Keppoch,Stratford - Keppoch,Hon.,Jill,Burridge,representative,Member of the Legislative Assembly,Progressive Conservative Party,,,902-368-4050,tdmacguigan@gov.pe.ca,https://www.assembly.pe.ca/members/jill-burridge,https://www.assembly.pe.ca/sites/www.assembly.pe.ca/files/2024-11/Burridge%2C%20Jill-for%20web.jpg,https://www.assembly.pe.ca/members,2026-06-03,jill-burridge
60626b1a-c269-5b02-828d-b8811fd759d7,district,Morell - Donagh,Morell - Donagh,Hon.,Sidney,MacEwen,representative,Member of the Legislative Assembly,Progressive Conservative Party,,,,,https://www.assembly.pe.ca/members/sidney-macewen,https://www.assembly.pe.ca/sites/www.assembly.pe.ca/files/MLA%20Photos/Sidney_MacEwen-%20scaled.jpg,https://www.assembly.pe.ca/members,2026-06-03,sidney-macewen
5b38314a-d8cb-5e92-84c3-5154da2de2b6,district,Stanhope - Marshfield,Stanhope - Marshfield,Hon.,Bloyce,Thompson,representative,Member of the Legislative Assembly,Progressive Conservative Party,,,,,https://www.assembly.pe.ca/members/bloyce-thompson,https://www.assembly.pe.ca/sites/www.assembly.pe.ca/files/2024-11/Thompson%2C%20Bloyce-for%20web_2.jpg,https://www.assembly.pe.ca/members,2026-06-03,bloyce-thompson
17e84dad-32a2-593f-8e2c-1c2374ba424b,district,Charlottetown - Hillsborough Park,Charlottetown - Hillsborough Park,,Carolyn,Simpson,representative,Member of the Legislative Assembly,Prince Edward Island Liberal Party,,,,,https://www.assembly.pe.ca/members/carolyn-simpson,https://www.assembly.pe.ca/sites/www.assembly.pe.ca/files/MLA%20Photos/Simpson%20Carolyn-scaled.jpg,https://www.assembly.pe.ca/members,2026-06-03,carolyn-simpson
9441b53c-1da3-581b-b492-fd008a9de4ee,district,Charlottetown - Winsloe,Charlottetown - Winsloe,Hon.,Zack,Bell,representative,Member of the Legislative Assembly,Progressive Conservative Party,,,902-368-4230,jenjeffrey@gov.pe.ca,https://www.assembly.pe.ca/members/zack-bell,https://www.assembly.pe.ca/sites/www.assembly.pe.ca/files/2024-11/Bell%2C%20Zack%20-%20for%20web.jpg,https://www.assembly.pe.ca/members,2026-06-03,zack-bell
