uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
8fbb8a2a-9089-5862-98c9-43952e43ec86,district,Richmond,Richmond,,André,Bachand,representative,Member of the National Assembly,Coalition Avenir Québec,2022-10-03,2026-10-05,418-263-0546,Andre.Bachand.RICM@assnat.qc.ca,https://www.assnat.qc.ca/en/deputes/bachand-andre-17859/index.html,https://www.assnat.qc.ca/Media/Process.aspx?process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz&asset=ANQ.Vigie.Bll.Image_31079,https://www.assnat.qc.ca/en/deputes/bachand-andre-17859/index.html,2026-05-31,andre-bachand
d1ce9743-b2d9-5ef0-bd90-4d235cee70b7,district,Viau,Viau,,Frantz,Benjamin,representative,Member of the National Assembly,Quebec Liberal Party,2022-10-03,2026-10-05,418-644-1007,Frantz.Benjamin.VIAU@assnat.qc.ca,https://www.assnat.qc.ca/en/deputes/benjamin-frantz-17909/index.html,https://www.assnat.qc.ca/Media/Process.aspx?process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz&asset=ANQ.Vigie.Bll.Image_31085,https://www.assnat.qc.ca/en/deputes/benjamin-frantz-17909/index.html,2026-05-31,frantz-benjamin
b22c0ee5-b2f0-5b85-a8b6-2f95a49539e5,district,Saint-Hyacinthe,Saint-Hyacinthe,,Chantal,Soucy,representative,Member of the National Assembly,Coalition Avenir Québec,2022-10-03,2026-10-05,418-643-2810,Chantal.Soucy.SAHY@assnat.qc.ca,https://www.assnat.qc.ca/en/deputes/soucy-chantal-15417/index.html,https://www.assnat.qc.ca/Media/Process.aspx?process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz&asset=ANQ.Vigie.Bll.Image_7635,https://www.assnat.qc.ca/en/deputes/soucy-chantal-15417/index.html,2026-05-31,chantal-soucy
07e3ca58-54f0-58eb-9712-7817f12e5b13,district,Mirabel,Mirabel,,Sylvie,D'Amours,representative,Member of the National Assembly,Coalition Avenir Québec,2022-10-03,2026-10-05,418-643-2750,Sylvie.DAmours.MIRA@assnat.qc.ca,https://www.assnat.qc.ca/en/deputes/d-amours-sylvie-15399/index.html,https://www.assnat.qc.ca/Media/Process.aspx?process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz&asset=ANQ.Vigie.Bll.Image_7853,https://www.assnat.qc.ca/en/deputes/d-amours-sylvie-15399/index.html,2026-05-31,sylvie-damours
bfa64f11-9564-588d-981a-65e6610c9fbd,district,Sherbrooke,Sherbrooke,,Christine,Labrie,representative,Member of the National Assembly,Québec solidaire,2022-10-03,2026-10-05,819-569-5646,Christine.Labrie.SHER@assnat.qc.ca,https://www.assnat.qc.ca/en/deputes/labrie-christine-17889/index.html,https://www.assnat.qc.ca/Media/Process.aspx?process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz&asset=ANQ.Vigie.Bll.Image_31105,https://www.assnat.qc.ca/en/deputes/labrie-christine-17889/index.html,2026-05-31,christine-labrie
a5b03dea-3afd-59aa-b799-98e80722bce1,district,Saint-Jean,Saint-Jean,,Louis,Lemieux,representative,Member of the National Assembly,Coalition Avenir Québec,2022-10-03,2026-10-05,450-346-3040,Louis.Lemieux.SAJE@assnat.qc.ca,https://www.assnat.qc.ca/en/deputes/lemieux-louis-17879/index.html,https://www.assnat.qc.ca/Media/Process.aspx?process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz&asset=ANQ.Vigie.Bll.Image_31011,https://www.assnat.qc.ca/en/deputes/lemieux-louis-17879/index.html,2026-05-31,louis-lemieux
b7cf96e7-7d87-55e1-9ba2-c010d5f88336,district,Les Plaines,Les Plaines,,Lucie,Lecours,representative,Member of the National Assembly,Coalition Avenir Québec,2022-10-03,2026-10-05,450-838-7493,Lucie.Lecours.LPLA@assnat.qc.ca,https://www.assnat.qc.ca/en/deputes/lecours-lucie-17949/index.html,https://www.assnat.qc.ca/Media/Process.aspx?process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz&asset=ANQ.Vigie.Bll.Image_31013,https://www.assnat.qc.ca/en/deputes/lecours-lucie-17949/index.html,2026-05-31,lucie-lecours
27c9f67f-64e0-5d0c-bce9-0c530e88ad36,district,Maskinongé,Maskinongé,,Simon,Allaire,representative,Member of the National Assembly,Coalition Avenir Québec,2022-10-03,2026-10-05,418-644-0617,Simon.Allaire.MASK@assnat.qc.ca,https://www.assnat.qc.ca/en/deputes/allaire-simon-17941/index.html,https://www.assnat.qc.ca/Media/Process.aspx?process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz&asset=ANQ.Vigie.Bll.Image_31083,https://www.assnat.qc.ca/en/deputes/allaire-simon-17941/index.html,2026-05-31,simon-allaire
7fbb5811-2cb0-57c1-838b-68fe8c5faabb,district,Vaudreuil,Vaudreuil,,Marie-Claude,Nichols,representative,Member of the National Assembly,Quebec Liberal Party,2022-10-03,2026-10-05,418-646-7623,Marie-Claude.Nichols.VAUD@assnat.qc.ca,https://www.assnat.qc.ca/en/deputes/nichols-marie-claude-15439/index.html,https://www.assnat.qc.ca/Media/Process.aspx?process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz&asset=ANQ.Vigie.Bll.Image_7767,https://www.assnat.qc.ca/en/deputes/nichols-marie-claude-15439/index.html,2026-05-31,marie-claude-nichols
a6d3e4a2-20d5-54d4-ab5f-b63773c06d7c,district,Drummond–Bois-Francs,Drummond–Bois-Francs,,Sébastien,Schneeberger,representative,Member of the National Assembly,Coalition Avenir Québec,2022-10-03,2026-10-05,418-644-1052,Sebastien.Schneeberger.DRUM@assnat.qc.ca,https://www.assnat.qc.ca/en/deputes/schneeberger-sebastien-5909/index.html,https://www.assnat.qc.ca/Media/Process.aspx?process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz&asset=ANQ.Vigie.Bll.Image_4897,https://www.assnat.qc.ca/en/deputes/schneeberger-sebastien-5909/index.html,2026-05-31,sebastien-schneeberger
6375f4dc-cb38-52f1-ae19-92d415ac70fa,district,Matane-Matapédia,Matane-Matapédia,,Pascal,Bérubé,representative,Member of the National Assembly,Parti Québécois,2022-10-03,2026-10-05,418-644-0912,Pascal.Berube.MATN@assnat.qc.ca,https://www.assnat.qc.ca/en/deputes/berube-pascal-991/index.html,https://www.assnat.qc.ca/Media/Process.aspx?process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz&asset=ANQ.Vigie.Bll.Image_447,https://www.assnat.qc.ca/en/deputes/berube-pascal-991/index.html,2026-05-31,pascal-berube
478d823a-1a7a-54c4-8cb1-9fd7beef116f,district,Abitibi-Ouest,Abitibi-Ouest,,Suzanne,Blais,representative,Member of the National Assembly,Coalition Avenir Québec,2022-10-03,2026-10-05,581-628-1857,Suzanne.Blais.ABOU@assnat.qc.ca,https://www.assnat.qc.ca/en/deputes/blais-suzanne-17825/index.html,https://www.assnat.qc.ca/Media/Process.aspx?process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz&asset=ANQ.Vigie.Bll.Image_31075,https://www.assnat.qc.ca/en/deputes/blais-suzanne-17825/index.html,2026-05-31,suzanne-blais
16db2a5f-c88d-5049-ae63-18b7b23758ec,district,Saint-Jérôme,Saint-Jérôme,,Youri,Chassin,representative,Member of the National Assembly,,2022-10-03,2026-10-05,450-569-7436,Youri.Chassin.STJE@assnat.qc.ca,https://www.assnat.qc.ca/en/deputes/chassin-youri-17881/index.html,https://www.assnat.qc.ca/Media/Process.aspx?process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz&asset=ANQ.Vigie.Bll.Image_31059,https://www.assnat.qc.ca/en/deputes/chassin-youri-17881/index.html,2026-05-31,youri-chassin
417b269d-9768-59cf-b81b-cebf018c214f,district,Portneuf,Portneuf,,Vincent,Caron,representative,Member of the National Assembly,Coalition Avenir Québec,2022-10-03,2026-10-05,418-644-1473,Vincent.Caron.PORT@assnat.qc.ca,https://www.assnat.qc.ca/en/deputes/caron-vincent-17849/index.html,https://www.assnat.qc.ca/Media/Process.aspx?process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz&asset=ANQ.Vigie.Bll.Image_31065,https://www.assnat.qc.ca/en/deputes/caron-vincent-17849/index.html,2026-05-31,vincent-caron
5af75381-159c-5299-962f-62bb0c658637,district,Richelieu,Richelieu,,Jean-Bernard,Émond,representative,Member of the National Assembly,Coalition Avenir Québec,2022-10-03,2026-10-05,418-263-0660,Jean-Bernard.Emond.RICL@assnat.qc.ca,https://www.assnat.qc.ca/en/deputes/emond-jean-bernard-17857/index.html,https://www.assnat.qc.ca/Media/Process.aspx?process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz&asset=ANQ.Vigie.Bll.Image_31053,https://www.assnat.qc.ca/en/deputes/emond-jean-bernard-17857/index.html,2026-05-31,jean-bernard-emond
ea9255b1-be24-5e6d-b0a5-0df7574f2c68,district,Abitibi-Est,Abitibi-Est,,Pierre,Dufour,representative,Member of the National Assembly,,2022-10-03,2026-10-05,819-824-3333,Pierre.Dufour.ABES@assnat.qc.ca,https://www.assnat.qc.ca/en/deputes/dufour-pierre-17823/index.html,https://www.assnat.qc.ca/Media/Process.aspx?process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz&asset=ANQ.Vigie.Bll.Image_31055,https://www.assnat.qc.ca/en/deputes/dufour-pierre-17823/index.html,2026-05-31,pierre-dufour
