uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
59b5a3fc-f777-58b6-b749-167f2c32a854,district,Saint-François,Saint-François,,Isabelle,Piché,representative,Conseillère,Action Laval,,,438 886-7254,i.piche@laval.ca,https://www.laval.ca/vie-democratique/hotel-de-ville-personnes-elues/membres-conseil-municipal/isabelle-piche/,https://www.laval.ca/wp-content/uploads/2025/12/isabelle-piche-609x350-1.jpg,https://www.laval.ca/vie-democratique/hotel-de-ville-personnes-elues/membres-conseil-municipal/isabelle-piche/,2026-06-19,isabelle-piche
bc4d9d07-8a2b-59e2-8707-b91bd7f972db,district,Saint-Vincent-de-Paul,Saint-Vincent-de-Paul,,Annick,Senghor,representative,Conseillère,Mouvement lavallois – Équipe Stéphane Boyer,,,263 378-1818,am.senghor@laval.ca,https://www.laval.ca/vie-democratique/hotel-de-ville-personnes-elues/membres-conseil-municipal/annick-senghor/,https://www.laval.ca/wp-content/uploads/2025/12/annick-senghor-609x350-1.jpg,https://www.laval.ca/vie-democratique/hotel-de-ville-personnes-elues/membres-conseil-municipal/annick-senghor/,2026-06-19,annick-senghor
761ef56a-38a1-5108-9d43-3cc347f6294c,district,Duvernay,Duvernay,,Anick,Brunet,representative,Conseillère,Mouvement lavallois – Équipe Stéphane Boyer,,,450 341-3093,an.brunet@laval.ca,https://www.laval.ca/vie-democratique/hotel-de-ville-personnes-elues/membres-conseil-municipal/anick-brunet/,https://www.laval.ca/wp-content/uploads/2025/12/anick-brunet-609x350-1.jpg,https://www.laval.ca/vie-democratique/hotel-de-ville-personnes-elues/membres-conseil-municipal/anick-brunet/,2026-06-19,anick-brunet
a946d0e7-79c9-5487-8543-7f59562ffca8,district,Pont-Viau,Pont-Viau,,Christine,Poirier,representative,Conseillère,Mouvement lavallois – Équipe Stéphane Boyer,,,438 831-2106,c.poirier@laval.ca,https://www.laval.ca/vie-democratique/hotel-de-ville-personnes-elues/membres-conseil-municipal/christine-poirier/,https://www.laval.ca/wp-content/uploads/2025/12/christine-poirier-609x350-1.jpg,https://www.laval.ca/vie-democratique/hotel-de-ville-personnes-elues/membres-conseil-municipal/christine-poirier/,2026-06-19,christine-poirier
d357c783-f6af-55b7-b8bf-3c4982d0af2f,district,Marigot,Marigot,,Cecilia,Macedo,representative,Conseillère,Mouvement lavallois – Équipe Stéphane Boyer,,,514 944-0020,c.macedo@laval.ca,https://www.laval.ca/vie-democratique/hotel-de-ville-personnes-elues/membres-conseil-municipal/cecilia-macedo/,https://www.laval.ca/wp-content/uploads/2025/12/cecilia-macedo-609x350-1.jpg,https://www.laval.ca/vie-democratique/hotel-de-ville-personnes-elues/membres-conseil-municipal/cecilia-macedo/,2026-06-19,cecilia-macedo
612f2217-67bb-57f3-9a96-7247e9d1e535,district,Laval-des-Rapides,Laval-des-Rapides,,Martin,Fiola,representative,Conseiller,Mouvement lavallois – Équipe Stéphane Boyer,,,514 604-5669,m.fiola@laval.ca,https://www.laval.ca/vie-democratique/hotel-de-ville-personnes-elues/membres-conseil-municipal/martin-fiola/,https://www.laval.ca/wp-content/uploads/2025/12/martin-fiola-609x350-1.jpg,https://www.laval.ca/vie-democratique/hotel-de-ville-personnes-elues/membres-conseil-municipal/martin-fiola/,2026-06-19,martin-fiola
ec02b4f9-c08c-578c-ab88-97d6a62e9f0b,district,Renaud-Coursol,Renaud-Coursol,,Seta,Topouzian,representative,Conseillère,Mouvement lavallois – Équipe Stéphane Boyer,,,514 862-1402,s.topouzian@laval.ca,https://www.laval.ca/vie-democratique/hotel-de-ville-personnes-elues/membres-conseil-municipal/seta-topouzian/,https://www.laval.ca/wp-content/uploads/2025/12/seta-topouzian-609x350-1.jpg,https://www.laval.ca/vie-democratique/hotel-de-ville-personnes-elues/membres-conseil-municipal/seta-topouzian/,2026-06-19,seta-topouzian
b971388c-fed2-5619-8113-fc3848833317,district,Vimont,Vimont,,Pierre,Brabant,representative,Conseiller,Mouvement lavallois – Équipe Stéphane Boyer,,,514 929-8187,p.brabant@laval.ca,https://www.laval.ca/vie-democratique/hotel-de-ville-personnes-elues/membres-conseil-municipal/pierre-brabant/,https://www.laval.ca/wp-content/uploads/2025/12/pierre-brabant-609x350-1.jpg,https://www.laval.ca/vie-democratique/hotel-de-ville-personnes-elues/membres-conseil-municipal/pierre-brabant/,2026-06-19,pierre-brabant
a7a0facf-dc16-5f9d-98c5-95412448000f,district,Saint-Bruno,Saint-Bruno,,David,De Cotis,representative,Conseiller,Action Laval,,,514 467-1712,d.decotis@laval.ca,https://www.laval.ca/vie-democratique/hotel-de-ville-personnes-elues/membres-conseil-municipal/david-de-cotis/,https://www.laval.ca/wp-content/uploads/2025/12/david-de-cotis-609x350-1.jpg,https://www.laval.ca/vie-democratique/hotel-de-ville-personnes-elues/membres-conseil-municipal/david-de-cotis/,2026-06-19,david-de-cotis
1e499c90-7f72-5c02-8f04-c4f940687034,district,Auteuil,Auteuil,,Sylvain,Yelle,representative,Conseiller,Mouvement lavallois – Équipe Stéphane Boyer,,,514 829-1640,s.yelle@laval.ca,https://www.laval.ca/vie-democratique/hotel-de-ville-personnes-elues/membres-conseil-municipal/sylvain-yelle/,https://www.laval.ca/wp-content/uploads/2025/12/sylvain-yelle-609x350-1.jpg,https://www.laval.ca/vie-democratique/hotel-de-ville-personnes-elues/membres-conseil-municipal/sylvain-yelle/,2026-06-19,sylvain-yelle
f0c8e563-8f64-59ac-8f02-6768c9bd5ab0,district,Le Carrefour,Le Carrefour,,Mohamed,Bâ,representative,Conseiller,Mouvement lavallois – Équipe Stéphane Boyer,,,438 405-6173,m.ba@laval.ca,https://www.laval.ca/vie-democratique/hotel-de-ville-personnes-elues/membres-conseil-municipal/mohamed-ba/,https://www.laval.ca/wp-content/uploads/2025/12/mohamed-ba-609x350-1.jpg,https://www.laval.ca/vie-democratique/hotel-de-ville-personnes-elues/membres-conseil-municipal/mohamed-ba/,2026-06-19,mohamed-ba
504d0b91-00b0-5abb-b601-85ebb527878d,district,Souvenir-Labelle,Souvenir-Labelle,,Sandra,El-Helou,representative,Conseillère,Mouvement lavallois – Équipe Stéphane Boyer,,,514 702-2225,s.el-helou@laval.ca,https://www.laval.ca/vie-democratique/hotel-de-ville-personnes-elues/membres-conseil-municipal/sandra-el-helou/,https://www.laval.ca/wp-content/uploads/2025/12/sandra-el-helou-609x350-1.jpg,https://www.laval.ca/vie-democratique/hotel-de-ville-personnes-elues/membres-conseil-municipal/sandra-el-helou/,2026-06-19,sandra-el-helou
74828fbc-56ed-56cb-a72e-de7fa24eb1a0,district,L'Abord-à-Plouffe,L'Abord-à-Plouffe,,Vasilios,Karidogiannis,representative,Conseiller,Mouvement lavallois – Équipe Stéphane Boyer,,,514 887-2455,v.karidogiannis@laval.ca,https://www.laval.ca/vie-democratique/hotel-de-ville-personnes-elues/membres-conseil-municipal/vasilios-karidogiannis/,https://www.laval.ca/wp-content/uploads/2025/12/vasilios-karidogiannis-609x350-1.jpg,https://www.laval.ca/vie-democratique/hotel-de-ville-personnes-elues/membres-conseil-municipal/vasilios-karidogiannis/,2026-06-19,vasilios-karidogiannis
84006f2a-e1c3-51de-bcde-ffc996f5b5db,district,Chomedey,Chomedey,,Aglaia,Revelakis,representative,Conseillère,,,,514 242-5761,a.revelakis@laval.ca,https://www.laval.ca/vie-democratique/hotel-de-ville-personnes-elues/membres-conseil-municipal/aglaia-revelakis/,https://www.laval.ca/wp-content/uploads/2025/12/aglaia-revelakis-609x350-1.jpg,https://www.laval.ca/vie-democratique/hotel-de-ville-personnes-elues/membres-conseil-municipal/aglaia-revelakis/,2026-06-19,aglaia-revelakis
b891131b-c2da-5477-8659-b7080c129d6e,district,Saint-Martin,Saint-Martin,,Aline,Dib,representative,Conseillère,Mouvement lavallois – Équipe Stéphane Boyer,,,514 577-6088,a.dib@laval.ca,https://www.laval.ca/vie-democratique/hotel-de-ville-personnes-elues/membres-conseil-municipal/aline-dib/,https://www.laval.ca/wp-content/uploads/2025/12/aline-dib-609x350-1.jpg,https://www.laval.ca/vie-democratique/hotel-de-ville-personnes-elues/membres-conseil-municipal/aline-dib/,2026-06-19,aline-dib
01c1605b-bd91-59a8-8cce-401ec0b161fa,district,Sainte-Dorothée,Sainte-Dorothée,,Ray,Khalil,representative,Conseiller,Mouvement lavallois – Équipe Stéphane Boyer,,,514 825-2493,r.khalil@laval.ca,https://www.laval.ca/vie-democratique/hotel-de-ville-personnes-elues/membres-conseil-municipal/ray-khalil/,https://www.laval.ca/wp-content/uploads/2025/12/ray-khalil-609x350-1.jpg,https://www.laval.ca/vie-democratique/hotel-de-ville-personnes-elues/membres-conseil-municipal/ray-khalil/,2026-06-19,ray-khalil
d8cf5492-bc6d-570c-9fb4-ca8d8fd1b77a,district,Laval-les-Îles,Laval-les-Îles,,Nicholas,Borne,representative,Conseiller,Mouvement lavallois – Équipe Stéphane Boyer,,,450 978-6888 poste 4126,n.borne@laval.ca,https://www.laval.ca/vie-democratique/hotel-de-ville-personnes-elues/membres-conseil-municipal/nicholas-borne/,https://www.laval.ca/wp-content/uploads/2025/12/nicholas-borne-609x350-1.jpg,https://www.laval.ca/vie-democratique/hotel-de-ville-personnes-elues/membres-conseil-municipal/nicholas-borne/,2026-06-19,nicholas-borne
d94f3188-c228-5d1c-91e6-14c813a8efa6,district,L'Orée-des-Bois,L'Orée-des-Bois,,Yannick,Langlois,representative,Conseiller,Mouvement lavallois – Équipe Stéphane Boyer,,,514 979-5343,y.langlois@laval.ca,https://www.laval.ca/vie-democratique/hotel-de-ville-personnes-elues/membres-conseil-municipal/yannick-langlois/,https://www.laval.ca/wp-content/uploads/2025/12/yannick-langlois-609x350-1.jpg,https://www.laval.ca/vie-democratique/hotel-de-ville-personnes-elues/membres-conseil-municipal/yannick-langlois/,2026-06-19,yannick-langlois
db646efa-064d-5960-8141-d45cd3a9be40,district,Marc-Aurèle-Fortin,Marc-Aurèle-Fortin,,Louise,Lortie,representative,Conseillère,Parti Laval,,,514 962-1090,l.lortie@laval.ca,https://www.laval.ca/vie-democratique/hotel-de-ville-personnes-elues/membres-conseil-municipal/louise-lortie/,https://www.laval.ca/wp-content/uploads/2025/12/louise-lortie-609x350-1.jpg,https://www.laval.ca/vie-democratique/hotel-de-ville-personnes-elues/membres-conseil-municipal/louise-lortie/,2026-06-19,louise-lortie
c463fcdc-4897-56b2-bb15-cb52e7410157,district,Champfleury,Champfleury,,Carole,St-Denis,representative,Conseillère,Mouvement lavallois – Équipe Stéphane Boyer,,,438 543-8457,c.st-denis@laval.ca,https://www.laval.ca/vie-democratique/hotel-de-ville-personnes-elues/membres-conseil-municipal/carole-st-denis/,https://www.laval.ca/wp-content/uploads/2025/12/carole-st-denis-609x350-1.jpg,https://www.laval.ca/vie-democratique/hotel-de-ville-personnes-elues/membres-conseil-municipal/carole-st-denis/,2026-06-19,carole-st-denis
e9e60d86-5d47-5da1-8492-83b7a9db2561,district,Sainte-Rose,Sainte-Rose,,Flavia Alexandra,Novac,representative,Conseillère,Mouvement lavallois – Équipe Stéphane Boyer,,,438 875-8337,fa.novac@laval.ca,https://www.laval.ca/vie-democratique/hotel-de-ville-personnes-elues/membres-conseil-municipal/flavia-alexandra-novac/,https://www.laval.ca/wp-content/uploads/2025/12/flavia-alexandra-novac-609x350-1.jpg,https://www.laval.ca/vie-democratique/hotel-de-ville-personnes-elues/membres-conseil-municipal/flavia-alexandra-novac/,2026-06-19,flavia-alexandra-novac
332db4df-c3d2-559f-98ce-6f5e93d75c17,district,Fabreville-Sud,Fabreville-Sud,,Martin,Vaillancourt,representative,Conseiller,Parti Laval,,,514 862-1175,ma.vaillancourt@laval.ca,https://www.laval.ca/vie-democratique/hotel-de-ville-personnes-elues/membres-conseil-municipal/martin-vaillancourt/,https://www.laval.ca/wp-content/uploads/2025/12/martin-vaillancourt-609x350-1.jpg,https://www.laval.ca/vie-democratique/hotel-de-ville-personnes-elues/membres-conseil-municipal/martin-vaillancourt/,2026-06-19,martin-vaillancourt
20e101b2-de62-5fb6-89af-a6432d0b8c92,role,,,,Stéphane,Boyer,executive,Maire,Mouvement lavallois,2025-11-02,,450 662-4140,bdm.laval@laval.ca,https://www.laval.ca/vie-democratique/hotel-de-ville-personnes-elues/membres-conseil-municipal/stephane-boyer/,https://www.laval.ca/wp-content/uploads/2025/12/stephane-boyer-609x350-1.jpg,https://www.laval.ca/vie-democratique/hotel-de-ville-personnes-elues/,2026-06-19,stephane-boyer
