uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
c09b301e-02b9-5a71-912c-7263cf6222ff,district,Antoinette-Robidoux,Antoinette-Robidoux,,Marie-Michèle,Drolet,representative,Conseillère,Coalition Longueuil,,,438 523-5988,marie-michele.drolet@longueuil.quebec,https://longueuil.quebec/fr/services/elus/marie-michele-drolet,https://cms.longueuil.quebec/sites/default/files/inline-images/Marie-Mich%C3%A8le%20Drolet_CL_Antoinette-Robidoux.png,https://longueuil.quebec/fr/services/elus/marie-michele-drolet,2026-06-19,marie-michele-drolet
af3e13e3-8c93-5e5c-9ee9-cbeaf162de04,district,Boisé-Du Tremblay,Boisé-Du Tremblay,,Lysa,Bélaicha,representative,Conseillère,Coalition Longueuil,,,438 355-6461,lysa.belaicha@longueuil.quebec,https://longueuil.quebec/fr/services/elus/lysa-belaicha,https://cms.longueuil.quebec/sites/default/files/inline-images/Lysa%20Belaicha_CL_Bois%C3%A9-Du%20Tremblay.png,https://longueuil.quebec/fr/services/elus/lysa-belaicha,2026-06-19,lysa-belaicha
2fe45ee0-d28e-5adb-8eaa-1c1ee29c8bb9,district,Boisé-Fonrouge,Boisé-Fonrouge,,Reine,Bombo-Allara,representative,Conseillère,Coalition Longueuil,,,450 463-7100,reine.bombo-allara@longueuil.quebec,https://longueuil.quebec/fr/services/elus/reine-bombo-allara,https://cms.longueuil.quebec/sites/default/files/inline-images/Reine%20Bombo-Allara_CL_Boise-Fonrouge.png,https://longueuil.quebec/fr/services/elus/reine-bombo-allara,2026-06-19,reine-bombo-allara
dbcbf9e9-24a3-592c-b33c-146d3ec09582,district,Boisé-Pilon,Boisé-Pilon,,Chrep,Lok,representative,Conseillère,Coalition Longueuil,,,450 463-7311,chrep.lok@longueuil.quebec,https://longueuil.quebec/fr/services/elus/chrep-lok,https://cms.longueuil.quebec/sites/default/files/inline-images/Chrep%20Lok_CL_Bois%C3%A9-Pilon.png,https://longueuil.quebec/fr/services/elus/chrep-lok,2026-06-19,chrep-lok
9d590271-d6f1-5741-b493-1e475540ae27,district,Coteau-Rouge,Coteau-Rouge,,Carl,Lévesque,representative,Conseiller,Coalition Longueuil,,,514 754-0193,carl.levesque@longueuil.quebec,https://longueuil.quebec/fr/services/elus/carl-levesque,https://cms.longueuil.quebec/sites/default/files/inline-images/Carl%20L%C3%A9vesque_CL_Coteau-Rouge.png,https://longueuil.quebec/fr/services/elus/carl-levesque,2026-06-19,carl-levesque
36d7cef0-b07f-5b6f-b3d2-7b6e0d879b67,district,Croydon-Iberville,Croydon-Iberville,,Alvaro,Cueto,representative,Conseiller,Coalition Longueuil,,,514 743-0101,alvaro.cueto@longueuil.quebec,https://longueuil.quebec/fr/services/elus/alvaro-cueto,https://cms.longueuil.quebec/sites/default/files/inline-images/Alvaro%20Cueto_CL_Croydon-Iberville.png,https://longueuil.quebec/fr/services/elus/alvaro-cueto,2026-06-19,alvaro-cueto
70b56437-9cd5-59de-839b-44285a93e325,district,Fatima-Parcours-du-Cerf,Fatima-Parcours-du-Cerf,,Marc-Antoine,Azouz,representative,Conseiller,Coalition Longueuil,,,514 432-3100,marc-antoine.azouz@longueuil.quebec,https://longueuil.quebec/fr/services/elus/marc-antoine-azouz,https://cms.longueuil.quebec/sites/default/files/inline-images/Marc-Antoine%20Azouz_CL_Fatima-Parcours%20du%20Cerf_0.png,https://longueuil.quebec/fr/services/elus/marc-antoine-azouz,2026-06-19,marc-antoine-azouz
fc5f312c-59af-5032-9f8c-66c3b3947603,district,Georges-Dor,Georges-Dor,,Nicola,Grenon,representative,Conseiller,Coalition Longueuil,,,450 463-7100,nicola.grenon@longueuil.quebec,https://longueuil.quebec/fr/services/elus/nicola-grenon,https://cms.longueuil.quebec/sites/default/files/inline-images/Nicola%20Grenon_CL_Georges-Dor.png,https://longueuil.quebec/fr/services/elus/nicola-grenon,2026-06-19,nicola-grenon
2a3e9d60-f4ef-5ae5-8baa-eeefb83c2595,district,Greenfield Park,Greenfield Park,,Sylvain,Joly,representative,Conseiller,Coalition Longueuil,,,450 463-7100,sylvain.joly@longueuil.quebec,https://longueuil.quebec/fr/services/elus/sylvain-joly,https://cms.longueuil.quebec/sites/default/files/inline-images/Sylvain%20Joly_CL_Greenfield%20Park.png,https://longueuil.quebec/fr/services/elus/sylvain-joly,2026-06-19,sylvain-joly
e1bf5490-3c99-585b-baa4-c00398293805,district,Laflèche,Laflèche,,Sophie,Paquette,representative,Conseillère,Coalition Longueuil,,,450 463-7100,sophie.paquette@longueuil.quebec,https://longueuil.quebec/fr/services/elus/sophie-paquette,https://cms.longueuil.quebec/sites/default/files/inline-images/Sophie%20Paquette_CL_Lafl%C3%A8che.png,https://longueuil.quebec/fr/services/elus/sophie-paquette,2026-06-19,sophie-paquette
