uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
5c62eaad-0e8d-5074-8abc-c0d7ac980be0,role,,Ahuntsic-Cartierville,,Maude,Théroux-Séguin,representative,Maire d'arrondissement,Ensemble Montréal,2025-11-02,,Cell. : Fax : 514-868-3324,maude.theroux-seguin@montreal.ca,,,https://donnees.montreal.ca/dataset/listes-des-elus-de-la-ville-de-montreal,2026-06-19,maude-theroux-seguin
028e1e71-0001-54bc-9758-61a132bae28b,district,Ahuntsic,Ahuntsic,,Nathalie,Goulet,representative,Conseiller de la ville,Projet Montréal,2025-11-02,,Cell. : Fax : 514-868-3324,nathalie.goulet@montreal.ca,,,https://donnees.montreal.ca/dataset/listes-des-elus-de-la-ville-de-montreal,2026-06-19,nathalie-goulet
450876ab-a59e-56cf-9595-6931d0da6cb6,district,Sault-au-Récollet,Sault-au-Récollet,,Carla,Beauvais,representative,Conseiller de la ville,Projet Montréal,2025-11-02,,Cell. : Fax : 514-868-3324,carla.beauvais@montreal.ca,,,https://donnees.montreal.ca/dataset/listes-des-elus-de-la-ville-de-montreal,2026-06-19,carla-beauvais
e964955e-e32e-5d68-bc07-f22f396d69c2,district,Saint-Sulpice,Saint-Sulpice,,Victor,Esposito,representative,Conseiller de la ville,Ensemble Montréal,2025-11-02,,Cell. : Fax : 514-868-3324,victor.esposito@montreal.ca,,,https://donnees.montreal.ca/dataset/listes-des-elus-de-la-ville-de-montreal,2026-06-19,victor-esposito
17d31538-38c2-5264-b757-0559e72fe510,district,Bordeaux-Cartierville,Bordeaux-Cartierville,,Effie,Giannou,representative,Conseiller de la ville,Ensemble Montréal,2025-11-02,,Cell. : 514-895-7427 Fax : 514-868-3324,effie.giannou@montreal.ca,,,https://donnees.montreal.ca/dataset/listes-des-elus-de-la-ville-de-montreal,2026-06-19,effie-giannou
eb1bc7cf-c759-5a4d-b3c5-a9e5e5662a93,role,,Anjou,,Luis,Miranda,representative,Maire d'arrondissement,Équipe Anjou,2025-11-02,,Tél. : 514-493-8010 Fax : 514-493-8013,luis.miranda@montreal.ca,,,https://donnees.montreal.ca/dataset/listes-des-elus-de-la-ville-de-montreal,2026-06-19,luis-miranda
f5b5ba40-0ea3-541b-838c-21c56d34f917,role,,Anjou,,Andrée,Hénault,representative,Conseiller de la ville,Équipe Anjou,2025-11-02,,Tél. : 514-493-8051 Fax : 514-493-8013,andree.henault@montreal.ca,,,https://donnees.montreal.ca/dataset/listes-des-elus-de-la-ville-de-montreal,2026-06-19,andree-henault
fbe0b1ea-418a-5e2c-a2cb-f8eabb8722f8,district,Saint-Sulpice,Saint-Sulpice,,Richard,Leblanc,representative,Conseiller d'arrondissement,Équipe Anjou,2025-11-02,,Tél. : 514-493-8017 Fax : 514-493-8013,richard.leblanc@montreal.ca,,,https://donnees.montreal.ca/dataset/listes-des-elus-de-la-ville-de-montreal,2026-06-19,richard-leblanc
007a9862-2a22-5d02-8d78-756afed738d9,district,Centre,Centre,,Kristine,Marsolais,representative,Conseiller d'arrondissement,Équipe Anjou,2025-11-02,,Tél. : 514-493-8085 Fax : 514-493-8013,kristine.marsolais@montreal.ca,,,https://donnees.montreal.ca/dataset/listes-des-elus-de-la-ville-de-montreal,2026-06-19,kristine-marsolais
f26db19b-878c-5102-8a14-9fb3951bf2fd,district,Ouest,Ouest,,Marie-Josée,Dubé,representative,Conseiller d'arrondissement,Équipe Anjou,2025-11-02,,Tél. : 514-493-8019 Fax : 514-493-8013,mariejosee.dube@montreal.ca,,,https://donnees.montreal.ca/dataset/listes-des-elus-de-la-ville-de-montreal,2026-06-19,marie-josee-dube
