uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
bae53891-3376-5418-80e4-a257fc591ac6,district,du Golf,District du Golf,,Pierre,Avard,representative,Conseiller,,,,819 349-2373,pierre.avard@sherbrooke.ca,https://www.sherbrooke.ca/fr/vie-municipale/elues-et-elus-municipaux/district-du-golf,https://www.sherbrooke.ca/Fichiers/3337a882-4a53-e611-80ea-00155d09650f/Sites/333dd3d3-915d-e611-80ea-00155d09650f/Images/%C3%89lus%20et%20%C3%A9lues/pierre_avard.jpg,https://www.sherbrooke.ca/fr/vie-municipale/elues-et-elus-municipaux/district-du-golf,2026-06-19,pierre-avard
992779ce-6ed3-572e-9208-24b9dc0baa42,district,des Quatre-Saisons,District des Quatre-Saisons,,Joanie,Bellerose,representative,Conseillère,,,,819 347-9218,joanie.bellerose@sherbrooke.ca,https://www.sherbrooke.ca/fr/vie-municipale/elues-et-elus-municipaux/district-des-quatre-saisons,https://www.sherbrooke.ca/Fichiers/3337a882-4a53-e611-80ea-00155d09650f/Sites/333dd3d3-915d-e611-80ea-00155d09650f/Images/%C3%89lus%20et%20%C3%A9lues/joanie_bellerose.jpg,https://www.sherbrooke.ca/fr/vie-municipale/elues-et-elus-municipaux/district-des-quatre-saisons,2026-06-19,joanie-bellerose
57f06bb2-0fcd-58f6-b384-745b0e78bdac,district,de Desranleau,District de Desranleau,,Danielle,Berthold,representative,Conseillère,,,,819 574-0991,danielle.berthold@sherbrooke.ca,https://www.sherbrooke.ca/fr/vie-municipale/elues-et-elus-municipaux/district-de-desranleau,https://www.sherbrooke.ca/Fichiers/3337a882-4a53-e611-80ea-00155d09650f/Sites/333dd3d3-915d-e611-80ea-00155d09650f/Images/%C3%89lus%20et%20%C3%A9lues/danielle_berthold.jpg,https://www.sherbrooke.ca/fr/vie-municipale/elues-et-elus-municipaux/district-de-desranleau,2026-06-19,danielle-berthold
6dab9d81-5fe8-586f-a2af-be2d7ef921ea,district,de Brompton,District de Brompton,,Catherine,Boileau,representative,Conseillère,,,,819 674-5817,catherine.boileau@sherbrooke.ca,https://www.sherbrooke.ca/fr/vie-municipale/elues-et-elus-municipaux/district-de-brompton,https://www.sherbrooke.ca/Fichiers/3337a882-4a53-e611-80ea-00155d09650f/Sites/333dd3d3-915d-e611-80ea-00155d09650f/Images/%C3%89lus%20et%20%C3%A9lues/catherine_boileau.jpg,https://www.sherbrooke.ca/fr/vie-municipale/elues-et-elus-municipaux/district-de-brompton,2026-06-19,catherine-boileau
b94aa3d2-5f0b-54e7-880d-0e1c41e66501,district,d’Uplands (district d’arrondissement),District d’Uplands,,Claude,Charron,representative,Conseiller,,,,819 434-2194,claude.charron@sherbrooke.ca,https://www.sherbrooke.ca/fr/vie-municipale/elues-et-elus-municipaux/district-d-uplands,https://www.sherbrooke.ca/Fichiers/3337a882-4a53-e611-80ea-00155d09650f/Sites/333dd3d3-915d-e611-80ea-00155d09650f/Images/%C3%89lus%20et%20%C3%A9lues/claude_charron.jpg,https://www.sherbrooke.ca/fr/vie-municipale/elues-et-elus-municipaux/district-d-uplands,2026-06-19,claude-charron
d8663d68-9867-50ae-b1da-fba51706ff9f,district,de Lennoxville,District de Lennoxville,,Bertrand,Collins,representative,Conseiller,,,,819 574-6650,bertrand.collins@sherbrooke.ca,https://www.sherbrooke.ca/fr/vie-municipale/elues-et-elus-municipaux/district-de-lennoxville,https://www.sherbrooke.ca/Fichiers/3337a882-4a53-e611-80ea-00155d09650f/Sites/333dd3d3-915d-e611-80ea-00155d09650f/Images/%C3%89lus%20et%20%C3%A9lues/bertrand_collins.jpg,https://www.sherbrooke.ca/fr/vie-municipale/elues-et-elus-municipaux/district-de-lennoxville,2026-06-19,bertrand-collins
8fb7d962-6190-5665-a0e5-c2203abef20b,district,de Rock Forest,District de Rock Forest,,François-Olivier,Desmarais,representative,Conseiller,,,,819 349-3440,francois-olivier.desmarais@sherbrooke.ca,https://www.sherbrooke.ca/fr/vie-municipale/elues-et-elus-municipaux/district-de-rock-forest,https://www.sherbrooke.ca/Fichiers/3337a882-4a53-e611-80ea-00155d09650f/Sites/333dd3d3-915d-e611-80ea-00155d09650f/Images/%C3%89lus%20et%20%C3%A9lues/francois-olivier_desmarais.jpg,https://www.sherbrooke.ca/fr/vie-municipale/elues-et-elus-municipaux/district-de-rock-forest,2026-06-19,francois-olivier-desmarais
9c3e456f-b50e-5c65-aa73-04dedaf9c144,district,du Lac-Magog,District du Lac-Magog,,Annie,Faucher,representative,Conseillère,,,,819 678-4467,annie.faucher@sherbrooke.ca,https://www.sherbrooke.ca/fr/vie-municipale/elues-et-elus-municipaux/district-du-lac-magog,https://www.sherbrooke.ca/Fichiers/3337a882-4a53-e611-80ea-00155d09650f/Sites/333dd3d3-915d-e611-80ea-00155d09650f/Images/%C3%89lus%20et%20%C3%A9lues/annie_faucher.jpg,https://www.sherbrooke.ca/fr/vie-municipale/elues-et-elus-municipaux/district-du-lac-magog,2026-06-19,annie-faucher
cc5253ab-de5c-5ec7-8777-598eb3076365,district,de Fairview (district d’arrondissement),District de Fairview,,François,Gilbert,representative,Conseiller,,,,819 674-5539,francois.gilbert@sherbrooke.ca,https://www.sherbrooke.ca/fr/vie-municipale/elues-et-elus-municipaux/district-de-fairview,https://www.sherbrooke.ca/Fichiers/3337a882-4a53-e611-80ea-00155d09650f/Sites/333dd3d3-915d-e611-80ea-00155d09650f/Images/%C3%89lus%20et%20%C3%A9lues/francois_gilbert.jpg,https://www.sherbrooke.ca/fr/vie-municipale/elues-et-elus-municipaux/district-de-fairview,2026-06-19,francois-gilbert
09750411-3499-55c4-b88f-b9f547b646a8,district,de l’Université,District de l’Université,,Paul,Gingues,representative,Conseiller,,,,819 345-3755,paul.gingues@sherbrooke.ca,https://www.sherbrooke.ca/fr/vie-municipale/elues-et-elus-municipaux/district-de-l-universite,https://www.sherbrooke.ca/Fichiers/3337a882-4a53-e611-80ea-00155d09650f/Sites/333dd3d3-915d-e611-80ea-00155d09650f/Images/%C3%89lus%20et%20%C3%A9lues/paul_gingues.jpg,https://www.sherbrooke.ca/fr/vie-municipale/elues-et-elus-municipaux/district-de-l-universite,2026-06-19,paul-gingues
469a23a3-f18b-5606-941e-ddc4ac7ae812,district,du Lac-des-Nations,District du Lac-des-Nations,,Karine,Godbout,representative,Conseillère,,,,819 678-6085,karine.godbout@sherbrooke.ca,https://www.sherbrooke.ca/fr/vie-municipale/elues-et-elus-municipaux/district-du-lac-des-nations,https://www.sherbrooke.ca/Fichiers/3337a882-4a53-e611-80ea-00155d09650f/Sites/333dd3d3-915d-e611-80ea-00155d09650f/Images/%C3%89lus%20et%20%C3%A9lues/karine_godbout.jpg,https://www.sherbrooke.ca/fr/vie-municipale/elues-et-elus-municipaux/district-du-lac-des-nations,2026-06-19,karine-godbout
0534cff8-82f4-5a5a-9f9f-0fe2070275c3,district,d’Ascot,District d’Ascot,,Geneviève,La Roche,representative,Conseillère,,,,819 674-5850,genevieve.laroche@sherbrooke.ca,https://www.sherbrooke.ca/fr/vie-municipale/elues-et-elus-municipaux/district-d-ascot,https://www.sherbrooke.ca/Fichiers/3337a882-4a53-e611-80ea-00155d09650f/Sites/333dd3d3-915d-e611-80ea-00155d09650f/Images/%C3%89lus%20et%20%C3%A9lues/genevieve_laroche.jpg,https://www.sherbrooke.ca/fr/vie-municipale/elues-et-elus-municipaux/district-d-ascot,2026-06-19,genevieve-la-roche
