uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
59aff503-f0b8-5996-a4e1-ea1b1498b26c,district,de Saint-Louis-de-France,District de Saint-Louis-de-France,,Guy,Daigle,representative,Conseiller,,,,819 374-2002,guy.daigle@v3r.net,https://www.v3r.net/a-propos-de-la-ville/vie-democratique/conseil-municipal/maire-et-conseillers-municipaux/district-de-saint-louis-de-france,https://www.v3r.net/wp-content/uploads/2025/11/8180-Guy-scaled.jpg,https://www.v3r.net/a-propos-de-la-ville/vie-democratique/conseil-municipal/maire-et-conseillers-municipaux/district-de-saint-louis-de-france,2026-06-19,guy-daigle
cb9afc78-b521-55fd-8e30-bb2819651cff,district,de Sainte-Marthe,District de Sainte-Marthe,,Jean-François,Lasnier,representative,Conseiller,,,,819 374-2002,jf.lasnier@v3r.net,https://www.v3r.net/a-propos-de-la-ville/vie-democratique/conseil-municipal/maire-et-conseillers-municipaux/district-de-sainte-marthe,https://www.v3r.net/wp-content/uploads/2025/11/8327-Jean-Franc%CC%A7ois-scaled.jpg,https://www.v3r.net/a-propos-de-la-ville/vie-democratique/conseil-municipal/maire-et-conseillers-municipaux/district-de-sainte-marthe,2026-06-19,jean-francois-lasnier
d53bad6c-77ed-5330-9481-a888f36ceda4,district,de la Madeleine,District de la Madeleine,,Sabrina,Roy,representative,Conseillère,,,,819 374-2002,sabrina.roy@v3r.net,https://www.v3r.net/a-propos-de-la-ville/vie-democratique/conseil-municipal/maire-et-conseillers-municipaux/district-de-la-madeleine,https://www.v3r.net/wp-content/uploads/2025/11/8313-Sabrina-scaled.jpg,https://www.v3r.net/a-propos-de-la-ville/vie-democratique/conseil-municipal/maire-et-conseillers-municipaux/district-de-la-madeleine,2026-06-19,sabrina-roy
fa1a0f89-5a20-5cd7-af3a-7b6ca3ee7257,district,de Châteaudun,District de Châteaudun,,Jean-Denis,Girard,representative,Conseiller,,,,819 374-2002,jd.girard@v3r.net,https://www.v3r.net/a-propos-de-la-ville/vie-democratique/conseil-municipal/maire-et-conseillers-municipaux/district-de-chateaudun,https://www.v3r.net/wp-content/uploads/2025/11/8156-Jean-Denis-scaled.jpg,https://www.v3r.net/a-propos-de-la-ville/vie-democratique/conseil-municipal/maire-et-conseillers-municipaux/district-de-chateaudun,2026-06-19,jean-denis-girard
df7f09f1-7e3f-515f-83eb-fff60f700bf2,district,des Estacades,District des Estacades,,Pierre-Luc,Fortin,representative,Conseiller,,,,819 374-2002,plfortin@v3r.net,https://www.v3r.net/a-propos-de-la-ville/vie-democratique/conseil-municipal/maire-et-conseillers-municipaux/district-des-estacades,https://www.v3r.net/wp-content/uploads/2025/11/8359-Pierre-Luc-scaled.jpg,https://www.v3r.net/a-propos-de-la-ville/vie-democratique/conseil-municipal/maire-et-conseillers-municipaux/district-des-estacades,2026-06-19,pierre-luc-fortin
d24829f0-f27b-5b0f-9f91-23c10c910c24,district,de Pointe-du-Lac,District de Pointe-du-Lac,,François,Bélisle,representative,Conseiller,,,,819 374-2002,fbelisle@v3r.net,https://www.v3r.net/a-propos-de-la-ville/vie-democratique/conseil-municipal/maire-et-conseillers-municipaux/district-de-pointe-du-lac,https://www.v3r.net/wp-content/uploads/2025/11/8262-Franc%CC%A7ois-scaled.jpg,https://www.v3r.net/a-propos-de-la-ville/vie-democratique/conseil-municipal/maire-et-conseillers-municipaux/district-de-pointe-du-lac,2026-06-19,francois-belisle
7f3c0b3c-2a10-53a2-84a5-f6b01074aa77,district,des Carrefours,District des Carrefours,,René,Martin,representative,Conseiller,,,,819 374-2002,rene.martin@v3r.net,https://www.v3r.net/a-propos-de-la-ville/vie-democratique/conseil-municipal/maire-et-conseillers-municipaux/district-des-carrefours,https://www.v3r.net/wp-content/uploads/2025/11/8094-Rene%CC%81-scaled.jpg,https://www.v3r.net/a-propos-de-la-ville/vie-democratique/conseil-municipal/maire-et-conseillers-municipaux/district-des-carrefours,2026-06-19,rene-martin
c45db483-bdb4-5726-95b9-c38e5154ec62,district,des Forges,District des Forges,,Pierre,Piché,representative,Conseiller,,,,819 374-2002,pierre.piche@v3r.net,https://www.v3r.net/a-propos-de-la-ville/vie-democratique/conseil-municipal/maire-et-conseillers-municipaux/district-des-forges,https://www.v3r.net/wp-content/uploads/2025/11/8280-Pierre-scaled.jpg,https://www.v3r.net/a-propos-de-la-ville/vie-democratique/conseil-municipal/maire-et-conseillers-municipaux/district-des-forges,2026-06-19,pierre-piche
07958135-fde0-5871-b2d8-a7c7b258e7d6,district,des Rivières,District des Rivières,,Nancy,Sabourin,representative,Conseillère,,,,819 374-2002,nancy.sabourin@v3r.net,https://www.v3r.net/a-propos-de-la-ville/vie-democratique/conseil-municipal/maire-et-conseillers-municipaux/district-des-rivieres,https://www.v3r.net/wp-content/uploads/2025/11/8195-Nancy-scaled.jpg,https://www.v3r.net/a-propos-de-la-ville/vie-democratique/conseil-municipal/maire-et-conseillers-municipaux/district-des-rivieres,2026-06-19,nancy-sabourin
74f0b3f1-54ce-5ce4-a74c-f96c7c5296c8,district,du Carmel,District du Carmel,,Annie,Provencher,representative,Conseillère,,,,819 374-2002,annie.provencher@v3r.net,https://www.v3r.net/a-propos-de-la-ville/vie-democratique/conseil-municipal/maire-et-conseillers-municipaux/district-du-carmel,https://www.v3r.net/wp-content/uploads/2025/11/8123-Annie-scaled.jpg,https://www.v3r.net/a-propos-de-la-ville/vie-democratique/conseil-municipal/maire-et-conseillers-municipaux/district-du-carmel,2026-06-19,annie-provencher
