uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
430e8743-2b74-5bd8-92b5-a664ffe1ca13,district,1,Ward 1,,Dan,Rashovich,representative,Councillor,,2024-11-13,,306-520-5014,DRASHOVICH@regina.ca,https://www.regina.ca/city-government/city-council/city-councillors/ward-1/,,https://www.regina.ca/city-government/city-council/city-councillors/ward-1/,2026-06-03,dan-rashovich
07e9d1b3-450c-55e2-b22c-052ff06bb792,district,2,Ward 2,,George,Tsiklis,representative,Councillor,,2024-11-13,,306-520-5015,GTSIKLIS@regina.ca,https://www.regina.ca/city-government/city-council/city-councillors/ward-2/,,https://www.regina.ca/city-government/city-council/city-councillors/ward-2/,2026-06-03,george-tsiklis
395d1398-c58f-55e7-9be8-688e93ef93d9,district,3,Ward 3,,David,Froh,representative,Councillor,,2024-11-13,,306-520-5016,DFROH@regina.ca,https://www.regina.ca/city-government/city-council/city-councillors/ward-3/,,https://www.regina.ca/city-government/city-council/city-councillors/ward-3/,2026-06-03,david-froh
a728a35d-d448-5680-9d87-272e5f13c96d,district,4,Ward 4,,Mark,Burton,representative,Councillor,,2024-11-13,,306-537-4411,MBURTON@regina.ca,https://www.regina.ca/city-government/city-council/city-councillors/ward-4/,,https://www.regina.ca/city-government/city-council/city-councillors/ward-4/,2026-06-03,mark-burton
1151fd63-c048-57d8-89e8-90c06e8d8ab8,district,5,Ward 5,,Sarah,Turnbull,representative,Councillor,,2024-11-13,,306-520-5021,STURNBULL@regina.ca,https://www.regina.ca/city-government/city-council/city-councillors/ward-5/,,https://www.regina.ca/city-government/city-council/city-councillors/ward-5/,2026-06-03,sarah-turnbull
86f135aa-7581-53fa-9e71-ebafdbd98b7c,district,6,Ward 6,,Victoria,Flores,representative,Councillor,,2024-11-13,,306-520-5022,VFLORES@regina.ca,https://www.regina.ca/city-government/city-council/city-councillors/ward-6/,,https://www.regina.ca/city-government/city-council/city-councillors/ward-6/,2026-06-03,victoria-flores
b9b8f784-fd38-5802-a137-73bd38a51e64,district,7,Ward 7,,Shobna,Radons,representative,Councillor,,2024-11-13,,306-520-5024,SRADONS@regina.ca,https://www.regina.ca/city-government/city-council/city-councillors/ward-7/,,https://www.regina.ca/city-government/city-council/city-councillors/ward-7/,2026-06-03,shobna-radons
5ed92130-e965-54dd-a4ab-fb47ecd6a5c7,district,8,Ward 8,,Shanon,Zachidniak,representative,Councillor,,2024-11-13,,306-552-5932,SZACHIDN@regina.ca,https://www.regina.ca/city-government/city-council/city-councillors/ward-8/,,https://www.regina.ca/city-government/city-council/city-councillors/ward-8/,2026-06-03,shanon-zachidniak
d1f6b3d4-d671-5096-92c2-8fea8ea251fe,district,9,Ward 9,,Jason,Mancinelli,representative,Councillor,,2024-11-13,,306-519-0078,JMANCINE@regina.ca,https://www.regina.ca/city-government/city-council/city-councillors/ward-9/,,https://www.regina.ca/city-government/city-council/city-councillors/ward-9/,2026-06-03,jason-mancinelli
7ac1023b-bbd4-551d-bbad-5c3aa5b80091,district,10,Ward 10,,Clark,Bezo,representative,Councillor,,2024-11-13,,306-520-5025,CBEZO@regina.ca,https://www.regina.ca/city-government/city-council/city-councillors/ward-10/,,https://www.regina.ca/city-government/city-council/city-councillors/ward-10/,2026-06-03,clark-bezo
814de40c-eb61-5163-83dc-487fa71509b5,role,,,,Chad,Bachynski,executive,Mayor,,2024-11-13,,306-777-7339,mayor@regina.ca,https://www.regina.ca/city-government/city-council/mayors-office/,,,2026-06-03,chad-bachynski
