uuid,role_scope,district_id,district_name,honorific,first_name,last_name,standard_role,specific_title,party_name,date_elected,next_election,phone,email,website,photo_url,source_url,last_verified,slug
7d066723-cd53-56da-9f36-817b4f3660dd,district,Porter Creek North,Porter Creek North,,Doris,Anderson,representative,Member of the Legislative Assembly,Yukon Party,2025-11-03,,,Doris.Anderson@yla.gov.yk.ca,https://yukonassembly.ca/member/doris-anderson,https://web.archive.org/web/20251128235511im_/https://yukonassembly.ca/sites/default/files/2025-11/yg_pu_eco_20251120_8536.jpg,https://web.archive.org/web/20251128235511/https://yukonassembly.ca/fr/membres,2026-06-03,doris-anderson
b553363b-3109-515d-b011-da065e0b4f13,district,Mayo - Tatchun,Mayo - Tatchun,Hon.,Cory,Bellmore,representative,Member of the Legislative Assembly,Yukon Party,2025-11-03,,,Cory.Bellmore@yla.gov.yk.ca,https://yukonassembly.ca/member/cory-bellmore,https://web.archive.org/web/20251128235511im_/https://yukonassembly.ca/sites/default/files/2025-11/yg_pu_eco_20251120_8535.jpg,https://web.archive.org/web/20251128235511/https://yukonassembly.ca/fr/membres,2026-06-03,cory-bellmore
df39965d-2952-51fa-af03-3eaf46bd87d0,district,Whistle Bend South,Whistle Bend South,Hon.,Linda,Benoit,representative,Member of the Legislative Assembly,Yukon Party,2025-11-03,,,Linda.Benoit@yla.gov.yk.ca,https://yukonassembly.ca/member/linda-benoit,https://web.archive.org/web/20251128235511im_/https://yukonassembly.ca/sites/default/files/2025-11/yg_pu_eco_20251120_8548.jpg,https://web.archive.org/web/20251128235511/https://yukonassembly.ca/fr/membres,2026-06-03,linda-benoit
9e297fbb-f3e0-5d2a-9da5-b67f77d39f73,district,Lake Laberge,Lake Laberge,Hon.,Brad,Cathers,representative,Member of the Legislative Assembly,Yukon Party,2025-11-03,,867-667-8625,Brad.Cathers@yla.gov.yk.ca,https://yukonassembly.ca/member/brad-cathers,https://web.archive.org/web/20251128235511im_/https://yukonassembly.ca/sites/default/files/2025-11/yg_pu_eco_20251120_8684.jpg,https://web.archive.org/web/20251128235511/https://yukonassembly.ca/fr/membres,2026-06-03,brad-cathers
f45c2080-beed-583c-a5a9-f1860abb6d2d,district,Whistle Bend North,Whistle Bend North,Hon.,Yvonne,Clarke,representative,Member of the Legislative Assembly,Yukon Party,2025-11-03,,867-393-7104,Yvonne.Clarke@yla.gov.yk.ca,https://yukonassembly.ca/member/yvonne-clarke,https://web.archive.org/web/20251128235511im_/https://yukonassembly.ca/sites/default/files/2025-11/yg_pu_eco_20251120_8557.jpg,https://web.archive.org/web/20251128235511/https://yukonassembly.ca/fr/membres,2026-06-03,yvonne-clarke
bb780808-ead3-542d-bd66-1e2c7947ee71,district,Copperbelt North,Copperbelt North,Hon.,Currie,Dixon,representative,Member of the Legislative Assembly,Yukon Party,2025-11-03,,867-393-7467,Currie.Dixon@yukon.ca,https://yukonassembly.ca/member/currie-dixon,https://web.archive.org/web/20251128235511im_/https://yukonassembly.ca/sites/default/files/2025-11/yg_pu_eco_20251120_8520.jpg,https://web.archive.org/web/20251128235511/https://yukonassembly.ca/fr/membres,2026-06-03,currie-dixon
c9dd11dd-31aa-5bc8-badc-8b3a1e5ef5c5,district,Marsh Lake - Mount Lorne - Golden Horn,Marsh Lake - Mount Lorne - Golden Horn,Hon.,Jen,Gehmair,representative,Member of the Legislative Assembly,Yukon Party,2025-11-03,,,Jen.Gehmair@yla.gov.yk.ca,https://yukonassembly.ca/member/jen-gehmair,https://web.archive.org/web/20251128235511im_/https://yukonassembly.ca/sites/default/files/2025-11/yg_pu_eco_20251120_8692.jpg,https://web.archive.org/web/20251128235511/https://yukonassembly.ca/fr/membres,2026-06-03,jen-gehmair
cfc72b96-45b5-5654-8871-21727494bfbb,district,Porter Creek South,Porter Creek South,,Adam,Gerle,representative,Member of the Legislative Assembly,Yukon Party,2025-11-03,,867-335-2084,Adam.Gerle@yukon.ca,https://yukonassembly.ca/member/adam-gerle,https://web.archive.org/web/20251128235511im_/https://yukonassembly.ca/sites/default/files/2025-11/yg_pu_eco_20251120_8698.jpg,https://web.archive.org/web/20251128235511/https://yukonassembly.ca/fr/membres,2026-06-03,adam-gerle
7af71816-8373-5518-bc85-50e31e9d538f,district,Riverdale North,Riverdale North,,Carmen,Gustafson,representative,Member of the Legislative Assembly,New Democratic Party,2025-11-03,,,Carmen.Gustafson@yla.gov.yk.ca,https://yukonassembly.ca/member/carmen-gustafson,https://web.archive.org/web/20251128235511im_/https://yukonassembly.ca/sites/default/files/2025-11/yg_pu_eco_20251119_8421.jpg,https://web.archive.org/web/20251128235511/https://yukonassembly.ca/fr/membres,2026-06-03,carmen-gustafson
8350fb84-e8d2-55dc-b7ce-0cd6549f7a24,district,Kluane,Kluane,Hon.,Wade,Istchenko,representative,Member of the Legislative Assembly,Yukon Party,2025-11-03,,867-393-7104,Wade.Istchenko@yla.gov.yk.ca,https://yukonassembly.ca/member/wade-istchenko,https://web.archive.org/web/20251128235511im_/https://yukonassembly.ca/sites/default/files/2025-11/yg_pu_eco_20251120_8541.jpg,https://web.archive.org/web/20251128235511/https://yukonassembly.ca/fr/membres,2026-06-03,wade-istchenko
